name,card_id,rare
結束と絆の魔導師,PHNI-JP000,Quarter Century Secret
スピリット・オブ・ユベル,PHNI-JP001,Super
スピリット・オブ・ユベル,PHNI-JP001,Secret
ガイストーチ・ゴーレム,PHNI-JP002,nomal
サクリファイス・Ｄ・ロータス,PHNI-JP003,Rare
ＲＲ－ノアール・レイニアス,PHNI-JP004,nomal
ＲＲ－ブルーム・ヴァルチャー,PHNI-JP005,Rare
白曼波,PHNI-JP006,nomal
白鰯,PHNI-JP007,Rare
百鬼羅刹 特攻ダグ,PHNI-JP008,Super
百鬼羅刹 特攻ダグ,PHNI-JP008,Secret
百鬼羅刹 爆音クラッタ,PHNI-JP009,nomal
百鬼羅刹 神速ブーン,PHNI-JP010,nomal
百鬼羅刹 冷血ミアンダ,PHNI-JP011,Rare
蛇眼の炎燐,PHNI-JP012,Super
蛇眼の炎燐,PHNI-JP012,Secret
闇の守護神－ダーク・ガーディアン,PHNI-JP013,Rare
幻魔の召喚神,PHNI-JP014,nomal
ゴーティスの朧キーフ,PHNI-JP015,nomal
ゴーティスの月夜サイクス,PHNI-JP016,nomal
メメント・ウラモン,PHNI-JP017,nomal
ホルスの黒炎神,PHNI-JP018,Super
ホルスの黒炎神,PHNI-JP018,Secret
粛声の祈り手ロー,PHNI-JP019,Super
粛声の祈り手ロー,PHNI-JP019,Secret
粛声の竜賢姫サフィラ,PHNI-JP020,Rare
粛声の竜賢聖サウラヴィス,PHNI-JP021,nomal
アロマリリス－ロザリーナ,PHNI-JP022,Super
アロマリリス－ロザリーナ,PHNI-JP022,Secret
マジェスペクター・ポーキュパイン,PHNI-JP023,nomal
無窮機竜カルノール,PHNI-JP024,Ultra
無窮機竜カルノール,PHNI-JP024,Ultimate
無窮機竜カルノール,PHNI-JP024,Secret
マグマッチョ・ドラゴン,PHNI-JP025,nomal
タイム・リワインダー,PHNI-JP026,nomal
バーサーク・デーモン,PHNI-JP027,nomal
異星戦隊 ビッグ・バン,PHNI-JP028,nomal
ゴブリン降下部隊,PHNI-JP029,nomal
幻蝋館の使者,PHNI-JP030,Rare
童妖 茶壺,PHNI-JP031,nomal
ＥＭ：Ｐグレニャード,PHNI-JP032,Rare
モコモッコ,PHNI-JP033,nomal
プリンシパグ,PHNI-JP034,nomal
ジョングルグールの幻術師,PHNI-JP035,N-Rare
犀子の王様,PHNI-JP036,N-Rare
粛声なる守護者ローガーディアン,PHNI-JP037,Ultra
粛声なる守護者ローガーディアン,PHNI-JP037,Ultimate
粛声なる守護者ローガーディアン,PHNI-JP037,Secret
ユベル－Ｄａｓ Ｅｗｉｇ Ｌｉｅｂｅ Ｗａｃｈｔｅｒ,PHNI-JP038,Ultra
ユベル－Ｄａｓ Ｅｗｉｇ Ｌｉｅｂｅ Ｗａｃｈｔｅｒ,PHNI-JP038,Ultimate
ユベル－Ｄａｓ Ｅｗｉｇ Ｌｉｅｂｅ Ｗａｃｈｔｅｒ,PHNI-JP038,Secret
ユベル－Ｄａｓ Ｅｗｉｇ Ｌｉｅｂｅ Ｗａｃｈｔｅｒ,PHNI-JP038,Holographic
アロマリリス－マグノリア,PHNI-JP039,Rare
マスター・オブ・ＨＡＭ,PHNI-JP040,nomal
白闘気砂滑,PHNI-JP041,Rare
エニグマスター・パックビット,PHNI-JP042,Ultra
エニグマスター・パックビット,PHNI-JP042,Ultimate
エニグマスター・パックビット,PHNI-JP042,Secret
月朧龍ヴァグナワ,PHNI-JP043,nomal
灯魚,PHNI-JP044,nomal
ＲＲ－ライジング・リベリオン・ファルコン,PHNI-JP045,Ultra
ＲＲ－ライジング・リベリオン・ファルコン,PHNI-JP045,Ultimate
ＲＲ－ライジング・リベリオン・ファルコン,PHNI-JP045,Secret
ＲＲ－ブレイブ・ストリクス,PHNI-JP046,Super
ＲＲ－ブレイブ・ストリクス,PHNI-JP046,Secret
百鬼羅刹 巨魁ガボンガ,PHNI-JP047,Ultra
百鬼羅刹 巨魁ガボンガ,PHNI-JP047,Ultimate
百鬼羅刹 巨魁ガボンガ,PHNI-JP047,Secret
百鬼羅刹の大饕獣,PHNI-JP048,Rare
マジェスペクター・ドラコ,PHNI-JP049,Ultra
マジェスペクター・ドラコ,PHNI-JP049,Ultimate
マジェスペクター・ドラコ,PHNI-JP049,Secret
アロマリリス－ローズマリー,PHNI-JP050,Ultra
アロマリリス－ローズマリー,PHNI-JP050,Ultimate
アロマリリス－ローズマリー,PHNI-JP050,Secret
マジェスペクター・オルト,PHNI-JP051,Rare
賜炎の咎姫,PHNI-JP052,Ultra
賜炎の咎姫,PHNI-JP052,Ultimate
賜炎の咎姫,PHNI-JP052,Secret
セベクの魔導士,PHNI-JP053,nomal
ナイトメア・ペイン,PHNI-JP054,Rare
マチュア・クロニクル,PHNI-JP055,nomal
ЯＲＵＭ－レイド・ラプターズ・フォース,PHNI-JP056,Super
ЯＲＵＭ－レイド・ラプターズ・フォース,PHNI-JP056,Secret
ＲＲ－ルースト,PHNI-JP057,nomal
白の輪廻,PHNI-JP058,nomal
幾星霜,PHNI-JP059,Rare
百鬼羅刹大集会,PHNI-JP060,nomal
百鬼羅刹大参上,PHNI-JP061,Rare
スネークアイ追走劇,PHNI-JP062,nomal
ダーク・エレメント,PHNI-JP063,nomal
地縛融合,PHNI-JP064,nomal
王墓の石壁,PHNI-JP065,nomal
粛声なる祈り,PHNI-JP066,nomal
粛声なる結界,PHNI-JP067,Rare
アロマブレンド,PHNI-JP068,Rare
マジェスペクター・ウィンド,PHNI-JP069,nomal
突然回帰,PHNI-JP070,Super
突然回帰,PHNI-JP070,Secret
変幻,PHNI-JP071,nomal
目白圧し,PHNI-JP072,N-Rare
エターナル・フェイバリット,PHNI-JP073,Rare
ＲＲ－グロリアス・ブライト,PHNI-JP074,nomal
百鬼羅刹大暴走,PHNI-JP075,nomal
粛声なる威光,PHNI-JP076,nomal
アロマヒーリング,PHNI-JP077,nomal
嗤う黒山羊,PHNI-JP078,Rare
幽世離レ,PHNI-JP079,Super
幽世離レ,PHNI-JP079,Secret
鉄騎の雷鎚,PHNI-JP080,Super
鉄騎の雷鎚,PHNI-JP080,Secret
ユベル,PHNI-JPS01,Quarter Century Secret
