name,card_id,rare
レイダーズ・ウィング,PHRA-JP001,Rare
幻影騎士団ステンドグリーブ,PHRA-JP002,nomal
幻影騎士団ティアースケイル,PHRA-JP003,Rare
ＲＲ－ヒール・イーグル,PHRA-JP004,nomal
ＲＲ－ストラングル・レイニアス,PHRA-JP005,Rare
鉄獣戦線 ナーベル,PHRA-JP006,nomal
鉄獣戦線 ケラス,PHRA-JP007,nomal
鉄獣戦線 フラクトール,PHRA-JP008,Rare
教導の神徒,PHRA-JP009,nomal
電脳堺媛－瑞々,PHRA-JP010,Super
電脳堺媛－瑞々,PHRA-JP010,Secret
電脳堺悟－老々,PHRA-JP011,Rare
電脳堺豸－豸々,PHRA-JP012,nomal
電脳堺麟－麟々,PHRA-JP013,nomal
双天拳の熊羆,PHRA-JP014,Rare
双天脚の鴻鵠,PHRA-JP015,Rare
インフェルニティ・コンジュラー,PHRA-JP016,Rare
インフェルニティ・ワイルドキャット,PHRA-JP017,nomal
Ｕ.Ａ.リベロスパイカー,PHRA-JP018,nomal
Ｕ.Ａ.プレイングマネージャー,PHRA-JP019,Rare
憑依覚醒－ガギゴバイト,PHRA-JP020,nomal
憑依覚醒－ラセンリュウ,PHRA-JP021,nomal
機巧牙－御神尊真神,PHRA-JP022,Ultra
機巧牙－御神尊真神,PHRA-JP022,Ultimate
機巧牙－御神尊真神,PHRA-JP022,Secret
獣王アルファ,PHRA-JP023,Ultra
獣王アルファ,PHRA-JP023,Ultimate
獣王アルファ,PHRA-JP023,Secret
奇采のプルフィネス,PHRA-JP024,nomal
巌帯の美技－ゼノギタム,PHRA-JP025,Rare
魔導闇商人,PHRA-JP026,nomal
貪食魚グリーディス,PHRA-JP027,nomal
コウ・キューピット,PHRA-JP028,N-Rare
禰須三破鳴比,PHRA-JP029,N-Rare
ネフティスの繋ぎ手,PHRA-JP030,Rare
痕喰竜ブリガンド,PHRA-JP031,Rare
双天拳 鎧阿,PHRA-JP032,nomal
双天脚 鎧吽,PHRA-JP033,nomal
双天将 金剛,PHRA-JP034,Ultra
双天将 金剛,PHRA-JP034,Ultimate
双天将 金剛,PHRA-JP034,Secret
混沌幻魔アーミタイル－虚無幻影羅生悶,PHRA-JP035,Ultra
混沌幻魔アーミタイル－虚無幻影羅生悶,PHRA-JP035,Ultimate
混沌幻魔アーミタイル－虚無幻影羅生悶,PHRA-JP035,Secret
電脳堺狐－仙々,PHRA-JP036,Ultra
電脳堺狐－仙々,PHRA-JP036,Ultimate
電脳堺狐－仙々,PHRA-JP036,Secret
インフェルニティ・ヘル・デーモン,PHRA-JP037,Super
インフェルニティ・ヘル・デーモン,PHRA-JP037,Secret
焔聖騎士将－オリヴィエ,PHRA-JP038,Rare
ペンギン勇者,PHRA-JP039,nomal
レイダーズ・ナイト,PHRA-JP040,Super
レイダーズ・ナイト,PHRA-JP040,Secret
アーク・リベリオン・エクシーズ・ドラゴン,PHRA-JP041,Ultra
アーク・リベリオン・エクシーズ・ドラゴン,PHRA-JP041,Ultimate
アーク・リベリオン・エクシーズ・ドラゴン,PHRA-JP041,Secret
電脳堺甲－甲々,PHRA-JP042,nomal
電脳堺凰－凰々,PHRA-JP043,Super
電脳堺凰－凰々,PHRA-JP043,Secret
わくわくメルフィーズ,PHRA-JP044,Super
わくわくメルフィーズ,PHRA-JP044,Secret
天霆號アーゼウス,PHRA-JP045,Ultra
天霆號アーゼウス,PHRA-JP045,Ultimate
天霆號アーゼウス,PHRA-JP045,Secret
天霆號アーゼウス,PHRA-JP045,Holographic
鉄獣戦線 徒花のフェリジット,PHRA-JP046,Super
鉄獣戦線 徒花のフェリジット,PHRA-JP046,Secret
鉄獣戦線 銀弾のルガル,PHRA-JP047,Rare
鉄獣戦線 凶鳥のシュライグ,PHRA-JP048,Ultra
鉄獣戦線 凶鳥のシュライグ,PHRA-JP048,Ultimate
鉄獣戦線 凶鳥のシュライグ,PHRA-JP048,Secret
プランキッズ・ミュー,PHRA-JP049,nomal
転晶のコーディネラル,PHRA-JP050,nomal
ＲＵＭ－ファントム・フォース,PHRA-JP051,Super
ＲＵＭ－ファントム・フォース,PHRA-JP051,Secret
鉄獣の戦線,PHRA-JP052,nomal
鉄獣の凶襲,PHRA-JP053,Super
鉄獣の凶襲,PHRA-JP053,Secret
教導神理,PHRA-JP054,nomal
電脳堺都－九竜,PHRA-JP055,Rare
電脳堺門－青龍,PHRA-JP056,nomal
双天招来,PHRA-JP057,Rare
阿吽の呼吸,PHRA-JP058,nomal
双天の調伏,PHRA-JP059,nomal
インフェルニティ・パラノイア,PHRA-JP060,nomal
Ｕ.Ａ.ハイパー・スタジアム,PHRA-JP061,Rare
Ｕ.Ａ.ロッカールーム,PHRA-JP062,nomal
暗黒界の援軍,PHRA-JP063,Rare
アルカナリーディング,PHRA-JP064,nomal
新風の空牙団,PHRA-JP065,nomal
エクシーズ・インポート,PHRA-JP066,nomal
ジャック・イン・ザ・ハンド,PHRA-JP067,N-Rare
レイダーズ・アンブレイカブル・マインド,PHRA-JP068,nomal
ＲＲ－ファントム・クロー,PHRA-JP069,Super
ＲＲ－ファントム・クロー,PHRA-JP069,Secret
鉄獣の抗戦,PHRA-JP070,nomal
鉄獣の血盟,PHRA-JP071,nomal
電脳堺門－朱雀,PHRA-JP072,nomal
双天の再来,PHRA-JP073,nomal
双天の使命,PHRA-JP074,nomal
インフェルニティ・サプレッション,PHRA-JP075,nomal
Ｕ.Ａ.マン・オブ・ザ・マッチ,PHRA-JP076,nomal
魍魎跋扈,PHRA-JP077,nomal
ワーニングポイント,PHRA-JP078,Super
ワーニングポイント,PHRA-JP078,Secret
魔獣の大餌,PHRA-JP079,nomal
一か八か,PHRA-JP080,N-Rare
ダーク・レクイエム・エクシーズ・ドラゴン,PHRA-JPS01,Prismatic Secret
