name,card_id,rare
フォトン・エンペラー,PHHY-JP001,Rare
銀河の召喚師,PHHY-JP002,nomal
ギャラクリボー,PHHY-JP003,nomal
深淵の獣バルドレイク,PHHY-JP004,nomal
深淵の相剣龍,PHHY-JP005,Super
深淵の相剣龍,PHHY-JP005,Secret
クシャトリラ・ライズハート,PHHY-JP006,Super
クシャトリラ・ライズハート,PHHY-JP006,Secret
スケアクロー・クシャトリラ,PHHY-JP007,nomal
ティアラメンツ・クシャトリラ,PHHY-JP008,nomal
カオス・ウィッチ－混沌の魔女－,PHHY-JP009,Super
カオス・ウィッチ－混沌の魔女－,PHHY-JP009,Secret
混沌殻,PHHY-JP010,nomal
混沌核,PHHY-JP011,nomal
メンタル・チューナー,PHHY-JP012,nomal
カオス・ミラージュ・ドラゴン,PHHY-JP013,Rare
昆虫機甲鎧,PHHY-JP014,nomal
ジャイアント・メサイア,PHHY-JP015,nomal
魔界劇団－リバティ・ドラマチスト,PHHY-JP016,nomal
重の忍者－磁翁,PHHY-JP017,nomal
グリム・リチュア,PHHY-JP018,nomal
呪眼の眷属 バジリコック,PHHY-JP019,nomal
王の呪 ヴァラ,PHHY-JP020,nomal
樹冠の甲帝ベアグラム,PHHY-JP021,Ultra
樹冠の甲帝ベアグラム,PHHY-JP021,Ultimate
樹冠の甲帝ベアグラム,PHHY-JP021,Secret
樹冠の甲帝ベアグラム,PHHY-JP021,Holographic
震天のマンティコア,PHHY-JP022,nomal
チョウジュ・ゴッド,PHHY-JP023,nomal
猛虎モンフー,PHHY-JP024,nomal
円喚師フェアリ,PHHY-JP025,Rare
銀翼のＡＸＥ－サリー,PHHY-JP026,nomal
Ｃｏｕｐｌｅ ｏｆ Ａｃｅｓ,PHHY-JP027,nomal
次元同異体ヴァリス,PHHY-JP028,nomal
流星連打－シロクロイド,PHHY-JP029,N-Rare
潜伏するＧ,PHHY-JP030,N-Rare
凶導の白き天底,PHHY-JP031,Super
凶導の白き天底,PHHY-JP031,Secret
イビリチュア・ネーレイマナス,PHHY-JP032,Ultra
イビリチュア・ネーレイマナス,PHHY-JP032,Ultimate
イビリチュア・ネーレイマナス,PHHY-JP032,Secret
赫焉竜グランギニョル,PHHY-JP033,Ultra
赫焉竜グランギニョル,PHHY-JP033,Ultimate
赫焉竜グランギニョル,PHHY-JP033,Secret
撃鉄竜リンドブルム,PHHY-JP034,Super
撃鉄竜リンドブルム,PHHY-JP034,Secret
完全態・グレート・インセクト,PHHY-JP035,Super
完全態・グレート・インセクト,PHHY-JP035,Secret
冑の忍者－櫓丸,PHHY-JP036,Rare
針淵のヴァリアンツ－アルクトスＸＩＩ,PHHY-JP037,Super
針淵のヴァリアンツ－アルクトスＸＩＩ,PHHY-JP037,Secret
氷水啼エジル・ギュミル,PHHY-JP038,Super
氷水啼エジル・ギュミル,PHHY-JP038,Secret
カオス・デーモン－混沌の魔神－,PHHY-JP039,Ultra
カオス・デーモン－混沌の魔神－,PHHY-JP039,Ultimate
カオス・デーモン－混沌の魔神－,PHHY-JP039,Secret
カオス・ビースト－混沌の魔獣－,PHHY-JP040,Rare
海造賊－荘重のヨルズ号,PHHY-JP041,Rare
サークル・オブ・フェアリー,PHHY-JP042,Rare
ＣＮｏ.６２ 超銀河眼の光子龍皇,PHHY-JP043,Ultra
ＣＮｏ.６２ 超銀河眼の光子龍皇,PHHY-JP043,Ultimate
ＣＮｏ.６２ 超銀河眼の光子龍皇,PHHY-JP043,Secret
銀河光子竜,PHHY-JP044,Rare
ギガンティック“チャンピオン”サルガス,PHHY-JP045,Ultra
ギガンティック“チャンピオン”サルガス,PHHY-JP045,Ultimate
ギガンティック“チャンピオン”サルガス,PHHY-JP045,Secret
クシャトリラ・アライズハート,PHHY-JP046,Ultra
クシャトリラ・アライズハート,PHHY-JP046,Ultimate
クシャトリラ・アライズハート,PHHY-JP046,Secret
影の王 レイヴァーテイン,PHHY-JP047,Super
影の王 レイヴァーテイン,PHHY-JP047,Secret
鉄獣式強襲機動兵装改“ＢｕｃｅｐｈａｌｕｓＩＩ”,PHHY-JP048,Ultra
鉄獣式強襲機動兵装改“ＢｕｃｅｐｈａｌｕｓＩＩ”,PHHY-JP048,Ultimate
鉄獣式強襲機動兵装改“ＢｕｃｅｐｈａｌｕｓＩＩ”,PHHY-JP048,Secret
魔界劇団－スーパー・プロデューサー,PHHY-JP049,Rare
大儺主水,PHHY-JP050,nomal
銀河百式,PHHY-JP051,Rare
ヌメロン・クリエイション,PHHY-JP052,nomal
氷水大剣現,PHHY-JP053,Rare
タリホー！スプリガンズ！,PHHY-JP054,Rare
凶導の聖告,PHHY-JP055,nomal
烙印の光,PHHY-JP056,nomal
クシャトリラ・オーバーラップ,PHHY-JP057,nomal
六世壊他化自在天,PHHY-JP058,nomal
六世壊＝パライゾス,PHHY-JP059,Rare
界放せし肆世壊,PHHY-JP060,nomal
嫋々たる漣歌姫の壱世壊,PHHY-JP061,Rare
Ｇ・ボール・シュート,PHHY-JP062,nomal
魔界劇団のゲネプロ,PHHY-JP063,Super
魔界劇団のゲネプロ,PHHY-JP063,Secret
魔界台本「ドラマチック・ストーリー」,PHHY-JP064,nomal
天地晦冥,PHHY-JP065,nomal
リチュアの氷魔鏡,PHHY-JP066,Rare
儀水鏡の集光,PHHY-JP067,nomal
災誕の呪眼,PHHY-JP068,Rare
三戦の号,PHHY-JP069,Rare
土地ころがし,PHHY-JP070,N-Rare
フォトン・リタデイション,PHHY-JP071,nomal
ギガンティック・サンダークロス,PHHY-JP072,nomal
導かれし烙印,PHHY-JP073,nomal
トリヴィカルマ,PHHY-JP074,nomal
六世壊根清浄,PHHY-JP075,nomal
混沌変幻,PHHY-JP076,nomal
ビッグウェルカム・ラビュリンス,PHHY-JP077,Rare
台貫計量,PHHY-JP078,nomal
赤酢の踏切,PHHY-JP079,nomal
威迫鉱石－サモナイト,PHHY-JP080,N-Rare
Ｎｏ.６２ 銀河眼の光子竜皇,PHHY-JPS01,Prismatic Secret
