name,card_id,rare
Ｅ・ＨＥＲＯ スピリット・オブ・ネオス,POTE-JP001,Super
Ｅ・ＨＥＲＯ スピリット・オブ・ネオス,POTE-JP001,Secret
クロス・キーパー,POTE-JP002,nomal
スプライト・ブルー,POTE-JP003,Super
スプライト・ブルー,POTE-JP003,Secret
スプライト・ジェット,POTE-JP004,Rare
スプライト・ピクシーズ,POTE-JP005,nomal
スプライト・レッド,POTE-JP006,nomal
スプライト・キャロット,POTE-JP007,nomal
セリオンズ“エンプレス”アラシア,POTE-JP008,nomal
セリオンズ・イレギュラー,POTE-JP009,Ultra
セリオンズ・イレギュラー,POTE-JP009,Ultimate
セリオンズ・イレギュラー,POTE-JP009,Secret
氷水艇エーギロカシス,POTE-JP010,Rare
灰燼のアルバス,POTE-JP011,Super
灰燼のアルバス,POTE-JP011,Secret
ティアラメンツ・メイルゥ,POTE-JP012,nomal
ティアラメンツ・ハゥフニス,POTE-JP013,nomal
ティアラメンツ・シェイレーン,POTE-JP014,Super
ティアラメンツ・シェイレーン,POTE-JP014,Secret
ティアラメンツ・レイノハート,POTE-JP015,Rare
丘と芽吹の春化精,POTE-JP016,Super
丘と芽吹の春化精,POTE-JP016,Secret
森と目覚の春化精,POTE-JP017,Rare
花と野原の春化精,POTE-JP018,nomal
山と雪解の春化精,POTE-JP019,nomal
ジェムナイト・クォーツ,POTE-JP020,nomal
ブリリアント・ローズ,POTE-JP021,nomal
メルフィー・ワラビィ,POTE-JP022,nomal
メルフィー・ラッシィ,POTE-JP023,nomal
スカー・ヴェンデット,POTE-JP024,nomal
エクソシスター・マルファ,POTE-JP025,Rare
赤しゃりの軍貫,POTE-JP026,nomal
六花のしらひめ,POTE-JP027,nomal
斬機サーキュラー,POTE-JP028,Rare
クローラー・ソゥマ,POTE-JP029,nomal
はぐれ・もけもけ,POTE-JP030,nomal
倶利伽羅天童,POTE-JP031,Ultra
倶利伽羅天童,POTE-JP031,Ultimate
倶利伽羅天童,POTE-JP031,Secret
倶利伽羅天童,POTE-JP031,Holographic
地霊媒師アウス,POTE-JP032,Ultra
地霊媒師アウス,POTE-JP032,Ultimate
地霊媒師アウス,POTE-JP032,Secret
グランドタスク・ドラゴン,POTE-JP033,Rare
炎獣使いエーカ,POTE-JP034,nomal
プロパ・ガンダケ,POTE-JP035,nomal
水界の秘石－カトリン,POTE-JP036,Rare
お代狸様の代算様,POTE-JP037,nomal
悪醒師ナイトメルト,POTE-JP038,N-Rare
ハイドランダー・オービット,POTE-JP039,N-Rare
ヴェンデット・スカヴェンジャー,POTE-JP040,Super
ヴェンデット・スカヴェンジャー,POTE-JP040,Secret
Ｅ・ＨＥＲＯ シャイニング・ネオス・ウィングマン,POTE-JP041,Ultra
Ｅ・ＨＥＲＯ シャイニング・ネオス・ウィングマン,POTE-JP041,Ultimate
Ｅ・ＨＥＲＯ シャイニング・ネオス・ウィングマン,POTE-JP041,Secret
ティアラメンツ・キトカロス,POTE-JP042,Super
ティアラメンツ・キトカロス,POTE-JP042,Secret
ティアラメンツ・カレイドハート,POTE-JP043,Ultra
ティアラメンツ・カレイドハート,POTE-JP043,Ultimate
ティアラメンツ・カレイドハート,POTE-JP043,Secret
ジェムナイトレディ・ローズ・ダイヤ,POTE-JP044,Super
ジェムナイトレディ・ローズ・ダイヤ,POTE-JP044,Secret
うきうきメルフィーズ,POTE-JP045,Rare
Ｐ.Ｕ.Ｎ.Ｋ.ＪＡＭドラゴン・ドライブ,POTE-JP046,Rare
ギガンティック・スプライト,POTE-JP047,Ultra
ギガンティック・スプライト,POTE-JP047,Ultimate
ギガンティック・スプライト,POTE-JP047,Secret
亜種羅王,POTE-JP048,Rare
スプライト・エルフ,POTE-JP049,Super
スプライト・エルフ,POTE-JP049,Secret
スケアクロー・ライトハート,POTE-JP050,Rare
ＥＮ－エンゲージ・ネオスペース,POTE-JP051,Super
ＥＮ－エンゲージ・ネオスペース,POTE-JP051,Secret
インスタント・コンタクト,POTE-JP052,Rare
ＥＮウェーブ,POTE-JP053,nomal
融合超渦,POTE-JP054,nomal
スプライト・スターター,POTE-JP055,Rare
スプライト・ガンマ・バースト,POTE-JP056,nomal
スプライト・スマッシャーズ,POTE-JP057,nomal
烙印の命数,POTE-JP058,nomal
肆世壊からの天跨,POTE-JP059,nomal
壱世壊＝ペルレイノ,POTE-JP060,Rare
春化精の花冠,POTE-JP061,nomal
スキャッター・フュージョン,POTE-JP062,nomal
メルフィーとにらめっこ,POTE-JP063,nomal
ラヴェナス・ヴェンデット,POTE-JP064,nomal
Ｐ.Ｕ.Ｎ.Ｋ.ＪＡＭエクストリーム・セッション,POTE-JP065,nomal
六花来々,POTE-JP066,Rare
月女神の鏃,POTE-JP067,Ultra
月女神の鏃,POTE-JP067,Ultimate
月女神の鏃,POTE-JP067,Secret
無千ジャミング,POTE-JP068,N-Rare
フェイバリット・コンタクト,POTE-JP069,Rare
分かつ烙印,POTE-JP070,nomal
壱世壊に軋む爪音,POTE-JP071,nomal
壱世壊に奏でる哀唱,POTE-JP072,nomal
壱世壊に澄み渡る残響,POTE-JP073,nomal
春化精の暦替,POTE-JP074,nomal
春化精と花蕾,POTE-JP075,nomal
エクソシスター・リタニア,POTE-JP076,nomal
Ａ・∀・ＴＴ,POTE-JP077,nomal
現世離レ,POTE-JP078,Rare
龍皇の波動,POTE-JP079,Ultra
龍皇の波動,POTE-JP079,Ultimate
龍皇の波動,POTE-JP079,Secret
砂塵の大ハリケーン,POTE-JP080,N-Rare
Ｅ・ＨＥＲＯ フレイム・ウィングマン,POTE-JPS01,Prismatic Secret
