name,card_id,rare
剛炎の剣士,19PP-JP001,Ultra
剛炎の剣士,19PP-JP001,Secret
剛炎の剣士,19PP-JP001,20th Secret
おジャマ・エンペラー,19PP-JP002,Normal
おジャマ・エンペラー,19PP-JP002,Ultra
おジャマ・エンペラー,19PP-JP002,Secret
決闘竜 デュエル・リンク・ドラゴン,19PP-JP003,Ultra
決闘竜 デュエル・リンク・ドラゴン,19PP-JP003,Secret
決闘竜 デュエル・リンク・ドラゴン,19PP-JP003,20th Secret
ギミック・パペット－キメラ・ドール,19PP-JP004,Normal
ギミック・パペット－キメラ・ドール,19PP-JP004,Ultra
ギミック・パペット－キメラ・ドール,19PP-JP004,Secret
超重武者カカ－Ｃ,19PP-JP005,Normal
超重武者カカ－Ｃ,19PP-JP005,Ultra
超重武者カカ－Ｃ,19PP-JP005,Secret
転生炎獣アルミラージ,19PP-JP006,Ultra
転生炎獣アルミラージ,19PP-JP006,Secret
転生炎獣アルミラージ,19PP-JP006,20th Secret
SRビーダマシーン,19PP-JP007,Normal
SRビーダマシーン,19PP-JP007,Ultra
SRビーダマシーン,19PP-JP007,Secret
SRヘキサソーサー,19PP-JP008,Normal
SRヘキサソーサー,19PP-JP008,Ultra
SRヘキサソーサー,19PP-JP008,Secret
EMクリボーダー,19PP-JP009,Normal
EMクリボーダー,19PP-JP009,Ultra
EMクリボーダー,19PP-JP009,Secret
ダーク・アンセリオン・ドラゴン,19PP-JP010,Normal
ダーク・アンセリオン・ドラゴン,19PP-JP010,Ultra
ダーク・アンセリオン・ドラゴン,19PP-JP010,Secret
スターヴ・ヴェネミー・リーサルドーズ・ドラゴン,19PP-JP011,Normal
スターヴ・ヴェネミー・リーサルドーズ・ドラゴン,19PP-JP011,Ultra
スターヴ・ヴェネミー・リーサルドーズ・ドラゴン,19PP-JP011,Secret
デンジャラス・デストーイ・ナイトメアリー,19PP-JP012,Normal
デンジャラス・デストーイ・ナイトメアリー,19PP-JP012,Ultra
デンジャラス・デストーイ・ナイトメアリー,19PP-JP012,Secret
幻魔帝トリロジーグ,19PP-JP013,Normal
幻魔帝トリロジーグ,19PP-JP013,Ultra
幻魔帝トリロジーグ,19PP-JP013,Secret
No.XX インフィニティ・ダークホープ,19PP-JP014,Normal
No.XX インフィニティ・ダークホープ,19PP-JP014,Ultra
No.XX インフィニティ・ダークホープ,19PP-JP014,Secret
天啓の薔薇の鐘,19PP-JP015,Normal
天啓の薔薇の鐘,19PP-JP015,Ultra
天啓の薔薇の鐘,19PP-JP015,Secret
シンクロ・トランセンド,19PP-JP016,Normal
シンクロ・トランセンド,19PP-JP016,Ultra
シンクロ・トランセンド,19PP-JP016,Secret
希望の記憶,19PP-JP017,Normal
希望の記憶,19PP-JP017,Ultra
希望の記憶,19PP-JP017,Secret
闇の増産工場,19PP-JP018,Normal
闇の増産工場,19PP-JP018,Ultra
闇の増産工場,19PP-JP018,Secret
魂のさまよう墓場,19PP-JP019,Normal
魂のさまよう墓場,19PP-JP019,Ultra
魂のさまよう墓場,19PP-JP019,Secret
バイバイダメージ,19PP-JP020,Normal
バイバイダメージ,19PP-JP020,Ultra
バイバイダメージ,19PP-JP020,Secret
