name,card_id,rare
ＺＳ－幻影賢者,PRIO-JP001,nomal
銀河魔鏡士,PRIO-JP002,nomal
銀河暴竜,PRIO-JP003,Rare
防覇龍ヘリオスフィア,PRIO-JP004,nomal
マーメイド・シャーク,PRIO-JP005,Rare
ゲイザー・シャーク,PRIO-JP006,nomal
ブリザード・サンダーバード,PRIO-JP007,nomal
ＢＫ ビッグバンテージ,PRIO-JP008,nomal
ＢＫ ベイル,PRIO-JP009,nomal
アンブラル・ゴースト,PRIO-JP010,nomal
アーティファクト－モラルタ,PRIO-JP011,Rare
アーティファクト－ベガルタ,PRIO-JP012,nomal
アーティファクト－フェイルノート,PRIO-JP013,nomal
アーティファクト－アイギス,PRIO-JP014,nomal
アーティファクト－アキレウス,PRIO-JP015,nomal
アーティファクト－ラブリュス,PRIO-JP016,nomal
アーティファクト－カドケウス,PRIO-JP017,Super
森羅の神芽 スプラウト,PRIO-JP018,nomal
森羅の隠蜜 スナッフ,PRIO-JP019,nomal
森羅の渡し守 ロータス,PRIO-JP020,nomal
森羅の賢樹 シャーマン,PRIO-JP021,Rare
ゴーストリックの人形,PRIO-JP022,nomal
ゴーストリック・ワーウルフ,PRIO-JP023,nomal
武神－ヒルメ,PRIO-JP024,Super
ティオの蟲惑魔,PRIO-JP025,Rare
幻獣機オライオン,PRIO-JP026,Rare
陽炎獣 ヒュドラー,PRIO-JP027,nomal
マドルチェ・エンジェリー,PRIO-JP028,nomal
ガスタの神裔 ピリカ,PRIO-JP029,nomal
剣闘獣アウグストル,PRIO-JP030,Rare
暗黒界の鬼神 ケルト,PRIO-JP031,nomal
古代の機械箱,PRIO-JP032,nomal
曙光の騎士,PRIO-JP033,Rare
威光魔人,PRIO-JP034,Rare
爆炎帝テスタロス,PRIO-JP035,Rare
鰤っ子姫,PRIO-JP036,nomal
否定ペンギン,PRIO-JP037,nomal
失楽の聖女,PRIO-JP038,N-Rare
スターダストン,PRIO-JP039,N-Rare
Ｎｏ.６２ 銀河眼の光子竜皇,PRIO-JP040,Ultra
Ｎｏ.６２ 銀河眼の光子竜皇,PRIO-JP040,Ultimate(Secret)
Ｎｏ.６２ 銀河眼の光子竜皇,PRIO-JP040,Holographic
ＣＮｏ.１０７ 超銀河眼の時空龍,PRIO-JP041,Ultra
ＣＮｏ.１０７ 超銀河眼の時空龍,PRIO-JP041,Ultimate(Secret)
Ｎｏ.１０３ 神葬零嬢ラグナ・ゼロ,PRIO-JP042,Rare
ＣＮｏ.１０３ 神葬零嬢ラグナ・インフィニティ,PRIO-JP043,Super
ＣＮｏ.１０２ 光堕天使ノーブル・デーモン,PRIO-JP044,Ultra
ＣＮｏ.１０２ 光堕天使ノーブル・デーモン,PRIO-JP044,Ultimate(Secret)
Ｎｏ.８０ 狂装覇王ラプソディ・イン・バーサーク,PRIO-JP045,Rare
ＣＮｏ.８０ 葬装覇王レクイエム・イン・バーサーク,PRIO-JP046,Super
Ｎｏ.４３ 魂魄傀儡鬼ソウル・マリオネッター,PRIO-JP047,nomal
ＣＮｏ.４３ 魂魄傀儡鬼神カオス・マリオネッター,PRIO-JP048,Rare
アーティファクト－デュランダル,PRIO-JP049,Ultra
アーティファクト－デュランダル,PRIO-JP049,Ultimate(Secret)
森羅の鎮神 オレイア,PRIO-JP050,Super
ゴーストリック・サキュバス,PRIO-JP051,nomal
武神姫－アマテラス,PRIO-JP052,Ultra
武神姫－アマテラス,PRIO-JP052,Ultimate(Secret)
幻子力空母エンタープラズニル,PRIO-JP053,Rare
暗遷士 カンゴルゴーム,PRIO-JP054,Super
波動竜フォノン・ドラゴン,PRIO-JP055,Super
リバース・ブレイカー,PRIO-JP056,nomal
銀河の施し,PRIO-JP057,nomal
ＲＵＭ－七皇の剣,PRIO-JP058,Ultra
ＲＵＭ－七皇の剣,PRIO-JP058,Ultimate(Secret)
ドン・サウザンドの玉座,PRIO-JP059,Rare
アーティファクト・ムーブメント,PRIO-JP060,Rare
アーティファクトの解放,PRIO-JP061,nomal
森羅の施し,PRIO-JP062,nomal
ゴーストリック・パレード,PRIO-JP063,nomal
武神決戦,PRIO-JP064,nomal
コアキメイルの金剛核,PRIO-JP065,nomal
スクラップ・ファクトリー,PRIO-JP066,nomal
禁じられた聖典,PRIO-JP067,Super
ジャックポット７,PRIO-JP068,N-Rare
双龍降臨,PRIO-JP069,nomal
時空混沌渦,PRIO-JP070,nomal
ラスト・カウンター,PRIO-JP071,nomal
アーティファクトの神智,PRIO-JP072,Rare
森羅の滝滑り,PRIO-JP073,nomal
ゴーストリック・ナイト,PRIO-JP074,nomal
武神隠,PRIO-JP075,nomal
帝王の溶撃,PRIO-JP076,nomal
進化の特異点,PRIO-JP077,nomal
エクシーズ・ユニバース,PRIO-JP078,Rare
召喚制限－ディスコードセクター,PRIO-JP079,nomal
三位一択,PRIO-JP080,N-Rare
ガガガシスター,PRIO-JP081,Rare
Ｎｏ.５５ ゴゴゴゴライアス,PRIO-JP082,Rare
ドドドドロー,PRIO-JP083,nomal
銀河眼の雲篭,PRIO-JP084,nomal
銀河戦士,PRIO-JP085,Super
破滅のフォトン・ストリーム,PRIO-JP086,nomal
タキオン・トランスミグレイション,PRIO-JP087,nomal
ＢＫ シャドー,PRIO-JP088,nomal
Ｎｏ.７９ ＢＫ 新星のカイザー,PRIO-JP089,Super
ジョルト・カウンター,PRIO-JP090,nomal
