name,card_id,rare
オシリスの天空竜,PAC1-JP001,Prismatic Secret
オベリスクの巨神兵,PAC1-JP002,Prismatic Secret
ラーの翼神竜,PAC1-JP003,Prismatic Secret
ブラック・マジシャン,PAC1-JP004,nomal
Ｅ・ＨＥＲＯ ネオス,PAC1-JP005,nomal
スターダスト・ドラゴン,PAC1-JP006,nomal
Ｎｏ.３９ 希望皇ホープ,PAC1-JP007,nomal
オッドアイズ・ペンデュラム・ドラゴン,PAC1-JP008,nomal
デコード・トーカー,PAC1-JP009,nomal
クリボー,PAC1-JP010,nomal
ハネクリボー,PAC1-JP011,nomal
サイバー・ドラゴン,PAC1-JP012,nomal
サイバー・エンド・ドラゴン,PAC1-JP013,nomal
幽鬼うさぎ,PAC1-JP014,Super
浮幽さくら,PAC1-JP015,nomal
灰流うらら,PAC1-JP016,Super
屋敷わらし,PAC1-JP017,Super
儚無みずき,PAC1-JP018,nomal
魔界発現世行きデスガイド,PAC1-JP019,nomal
混源龍レヴィオニア,PAC1-JP020,nomal
サイバー・ドラゴン・インフィニティ,PAC1-JP021,nomal
閃刀姫－カガリ,PAC1-JP022,Super
竜騎士ブラック・マジシャン・ガール,PAC1-JP023,Super
ファイアウォール・ドラゴン,PAC1-JP024,Super
幻創龍ファンタズメイ,PAC1-JP025,nomal
ドロール＆ロックバード,PAC1-JP026,Super
Ｅ・ＨＥＲＯ エアーマン,PAC1-JP027,Super
召命の神弓－アポロウーサ,PAC1-JP028,Ultra
ヴァレルソード・ドラゴン,PAC1-JP029,Ultra
召喚師アレイスター,PAC1-JP030,Ultra
真紅眼の黒竜,PAC1-JP031,Ultra
Ｄ－ＨＥＲＯ Ｂｌｏｏ－Ｄ,PAC1-JP032,Ultra
憑依装着－ライナ,PAC1-JP033,Ultra
Ｉ：Ｐマスカレーナ,PAC1-JP034,Ultra
朔夜しぐれ,PAC1-JP035,Ultra
テラ・フォーミング,PAC1-JP036,Super
Ｅ－エマージェンシーコール,PAC1-JP037,nomal
トレード・イン,PAC1-JP038,Super
緊急テレポート,PAC1-JP039,nomal
調律,PAC1-JP040,nomal
エクシーズ・チェンジ・タクティクス,PAC1-JP041,nomal
真紅眼融合,PAC1-JP042,nomal
召喚魔術,PAC1-JP043,nomal
デュエリスト・アドベント,PAC1-JP044,nomal
閃刀機－ウィドウアンカー,PAC1-JP045,nomal
ビンゴマシーンＧＯ！ＧＯ！,PAC1-JP046,nomal
サイバネット・マイニング,PAC1-JP047,Super
フュージョン・デステニー,PAC1-JP048,Super
スターライト・ロード,PAC1-JP049,nomal
マジシャンズ・ナビゲート,PAC1-JP050,nomal
