name,card_id,rare
ブルーアイズ・トゥーン・ドラゴン,PS-00,Secret
ブルーアイズ・トゥーン・ドラゴン,PS-00,Parallel
オクトバーサー,PS-01,nomal
サイコ・カッパー,PS-02,nomal
一角獣のホーン,PS-03,Super
迷宮壁－ラビリンス・ウォール－,PS-04,N-Rare
ウォール・シャドウ,PS-05,nomal
ツインテール,PS-06,nomal
ストーンジャイアント,PS-07,nomal
迷宮変化,PS-08,nomal
成仏,PS-09,Rare
巨大化,PS-10,Rare
踊りによる誘発,PS-11,nomal
ハンバーガーのレシピ,PS-12,nomal
粘着テープの家,PS-13,nomal
ねずみ取り,PS-14,nomal
亀の誓い,PS-15,nomal
ダンシング・ソルジャー,PS-16,nomal
ハングリーバーガー,PS-17,nomal
クラブ・タートル,PS-18,nomal
ドラゴン・エッガー,PS-19,nomal
トゥーン・ドラゴン・エッガー,PS-20,nomal
トゥーン・マーメイド,PS-21,Super
トゥーン・デーモン,PS-22,Ultra
トゥーン・デーモン,PS-22,Parallel
タイム・ボマー,PS-23,Rare
ダイヤモンド・ドラゴン,PS-24,Ultra
ダイヤモンド・ドラゴン,PS-24,Parallel
トゥーン・ワールド,PS-25,Ultra
トゥーン・ワールド,PS-25,Parallel
サイバーポッド,PS-26,nomal
光の追放者,PS-27,Rare
巨大ネズミ,PS-28,nomal
センジュ・ゴッド,PS-29,Super
ＵＦＯタートル,PS-30,nomal
秒殺の暗殺者,PS-31,nomal
カラテマン,PS-32,nomal
ダークゼブラ,PS-33,nomal
ジャイアントウィルス,PS-34,Rare
素早いモモンガ,PS-35,Rare
ダークファミリア,PS-36,nomal
シャインエンジェル,PS-37,nomal
ボアソルジャー,PS-38,nomal
グリズリーマザー,PS-39,nomal
ドラゴンフライ,PS-40,nomal
セレモニーベル,PS-41,nomal
ソニックバード,PS-42,nomal
キラー・トマト,PS-43,nomal
コトダマ,PS-44,nomal
ガイアパワー,PS-45,nomal
ウォーターワールド,PS-46,nomal
バーニングブラッド,PS-47,nomal
デザートストーム,PS-48,nomal
シャインスパーク,PS-49,nomal
ダークゾーン,PS-50,nomal
平和の使者,PS-51,Super
