name,card_id,rare
青眼の白龍,QCCP-JP001,Ultra
青眼の白龍,QCCP-JP001,Ultimate
伝説の白石,QCCP-JP002,nomal
青き眼の賢士,QCCP-JP003,nomal
太古の白石,QCCP-JP004,Ultra
ロード・オブ・ドラゴン－ドラゴンの独裁者－,QCCP-JP005,nomal
青眼の双爆裂龍,QCCP-JP006,Ultra
青眼の双爆裂龍,QCCP-JP006,Ultimate
真青眼の究極竜,QCCP-JP007,Ultra
真青眼の究極竜,QCCP-JP007,Ultimate
ブルーアイズ・タイラント・ドラゴン,QCCP-JP008,Ultra
ブルーアイズ・タイラント・ドラゴン,QCCP-JP008,Ultimate
蒼眼の銀龍,QCCP-JP009,nomal
青眼の精霊龍,QCCP-JP010,Ultra
青眼の精霊龍,QCCP-JP010,Ultimate
ドラゴン・目覚めの旋律,QCCP-JP011,nomal
ビンゴマシーンＧＯ！ＧＯ！,QCCP-JP012,Ultra
究極融合,QCCP-JP013,Ultra
究極融合,QCCP-JP013,Ultimate
真の光,QCCP-JP014,Ultra
真の光,QCCP-JP014,Ultimate
サイバー・ドラゴン,QCCP-JP015,Ultra
サイバー・ドラゴン,QCCP-JP015,Ultimate
サイバー・ドラゴン・コア,QCCP-JP016,Ultra
サイバー・ドラゴン・ヘルツ,QCCP-JP017,nomal
サイバー・ドラゴン・ネクステア,QCCP-JP018,nomal
サイバー・ダーク・キメラ,QCCP-JP019,nomal
サイバー・ツイン・ドラゴン,QCCP-JP020,nomal
サイバー・エンド・ドラゴン,QCCP-JP021,Ultra
サイバー・エンド・ドラゴン,QCCP-JP021,Ultimate
キメラテック・フォートレス・ドラゴン,QCCP-JP022,Ultra
キメラテック・フォートレス・ドラゴン,QCCP-JP022,Ultimate
キメラテック・ランページ・ドラゴン,QCCP-JP023,Ultra
キメラテック・ランページ・ドラゴン,QCCP-JP023,Ultimate
キメラテック・メガフリート・ドラゴン,QCCP-JP024,Ultra
サイバー・ドラゴン・ノヴァ,QCCP-JP025,nomal
サイバー・ドラゴン・インフィニティ,QCCP-JP026,Ultra
サイバー・ドラゴン・インフィニティ,QCCP-JP026,Ultimate
サイバー・ドラゴン・ズィーガー,QCCP-JP027,Ultra
サイバー・ドラゴン・ズィーガー,QCCP-JP027,Ultimate
リミッター解除,QCCP-JP028,Ultra
リミッター解除,QCCP-JP028,Ultimate
パワー・ボンド,QCCP-JP029,Ultra
パワー・ボンド,QCCP-JP029,Ultimate
オーバーロード・フュージョン,QCCP-JP030,nomal
エマージェンシー・サイバー,QCCP-JP031,Ultra
サイバー・リペア・プラント,QCCP-JP032,nomal
サイバーダーク・ワールド,QCCP-JP033,nomal
エヴォリューション・レザルト・バースト,QCCP-JP034,nomal
ＴＧ ストライカー,QCCP-JP035,nomal
ＴＧ ワーウルフ,QCCP-JP036,nomal
ＴＧ スクリュー・サーペント,QCCP-JP037,nomal
ＴＧ ブースター・ラプトル,QCCP-JP038,nomal
ＴＧ タンク・ラーヴァ,QCCP-JP039,nomal
ＴＧ ギア・ゾンビ,QCCP-JP040,nomal
ＴＧ レシプロ・ドラゴン・フライ,QCCP-JP041,nomal
ＴＧ ワンダー・マジシャン,QCCP-JP042,nomal
ＴＧ ブレード・ガンナー,QCCP-JP043,nomal
ＴＧ ハルバード・キャノン,QCCP-JP044,Ultra
ＴＧ ハルバード・キャノン,QCCP-JP044,Ultimate
ＴＧ ハイパー・ライブラリアン,QCCP-JP045,Ultra
ＴＧ ハイパー・ライブラリアン,QCCP-JP045,Ultimate
ＴＧ スター・ガーディアン,QCCP-JP046,Ultra
ＴＧ スター・ガーディアン,QCCP-JP046,Ultimate
シューティング・スター・ドラゴン・ＴＧ－ＥＸ,QCCP-JP047,nomal
ＴＧ トライデント・ランチャー,QCCP-JP048,Ultra
銀河眼の光子竜,QCCP-JP049,Ultra
銀河眼の光子竜,QCCP-JP049,Ultimate
銀河の魔導師,QCCP-JP050,nomal
銀河戦士,QCCP-JP051,Ultra
銀河戦士,QCCP-JP051,Ultimate
銀河の召喚師,QCCP-JP052,nomal
フォトン・バニッシャー,QCCP-JP053,nomal
フォトン・オービタル,QCCP-JP054,Ultra
フォトン・エンペラー,QCCP-JP055,nomal
フォトン・ジャンパー,QCCP-JP056,nomal
Ｎｏ.３８ 希望魁竜タイタニック・ギャラクシー,QCCP-JP057,Ultra
Ｎｏ.３８ 希望魁竜タイタニック・ギャラクシー,QCCP-JP057,Ultimate
Ｎｏ.６２ 銀河眼の光子竜皇,QCCP-JP058,Ultra
Ｎｏ.６２ 銀河眼の光子竜皇,QCCP-JP058,Ultimate
ＣＮｏ.６２ 超銀河眼の光子龍皇,QCCP-JP059,Ultra
ＣＮｏ.６２ 超銀河眼の光子龍皇,QCCP-JP059,Ultimate
Ｎｏ.９０ 銀河眼の光子卿,QCCP-JP060,Ultra
Ｎｏ.９０ 銀河眼の光子卿,QCCP-JP060,Ultimate
輝光竜フォトン・ブラスト・ドラゴン,QCCP-JP061,nomal
銀河光子竜,QCCP-JP062,nomal
フォトン・サンクチュアリ,QCCP-JP063,nomal
銀河遠征,QCCP-JP064,nomal
銀河天翔,QCCP-JP065,nomal
銀河百式,QCCP-JP066,nomal
永遠なる銀河,QCCP-JP067,nomal
ＤＤスワラル・スライム,QCCP-JP068,nomal
ＤＤネクロ・スライム,QCCP-JP069,nomal
ＤＤラミア,QCCP-JP070,Ultra
ＤＤゴースト,QCCP-JP071,nomal
ＤＤ魔導賢者ケプラー,QCCP-JP072,nomal
