name,card_id,rare
ブラック・マジシャン,QCCU-JP001,Ultra
ブラック・マジシャン,QCCU-JP001,Ultimate
ブラック・マジシャン・ガール,QCCU-JP002,Ultra
ブラック・マジシャン・ガール,QCCU-JP002,Ultimate
マジシャンズ・ロッド,QCCU-JP003,nomal
マジシャンズ・ソウルズ,QCCU-JP004,Ultra
幻想の見習い魔導師,QCCU-JP005,Ultra
幻想の見習い魔導師,QCCU-JP005,Ultimate
合体竜ティマイオス,QCCU-JP006,nomal
超魔導戦士－マスター・オブ・カオス,QCCU-JP007,Ultra
ティマイオスの眼,QCCU-JP008,nomal
黒の魔導陣,QCCU-JP009,Ultra
黒の魔導陣,QCCU-JP009,Ultimate
魂のしもべ,QCCU-JP010,Ultra
黒魔術の秘儀,QCCU-JP011,nomal
永遠の魂,QCCU-JP012,Ultra
マジシャンズ・ナビゲート,QCCU-JP013,nomal
Ｅ・ＨＥＲＯ ネオス,QCCU-JP014,Ultra
Ｅ・ＨＥＲＯ ネオス,QCCU-JP014,Ultimate
Ｅ・ＨＥＲＯ エアーマン,QCCU-JP015,Ultra
Ｅ・ＨＥＲＯ シャドー・ミスト,QCCU-JP016,nomal
Ｅ・ＨＥＲＯ オネスティ・ネオス,QCCU-JP017,nomal
Ｅ・ＨＥＲＯ リキッドマン,QCCU-JP018,nomal
Ｅ・ＨＥＲＯ サンライザー,QCCU-JP019,Super
Ｅ・ＨＥＲＯ サンライザー,QCCU-JP019,Ultimate
Ｅ・ＨＥＲＯ シャイニング・ネオス・ウィングマン,QCCU-JP020,nomal
ミラクル・フュージョン,QCCU-JP021,Ultra
ミラクル・フュージョン,QCCU-JP021,Ultimate
Ｅ－エマージェンシーコール,QCCU-JP022,Ultra
ヒーローアライブ,QCCU-JP023,Ultra
フェイバリット・コンタクト,QCCU-JP024,nomal
Ｅ－ＨＥＲＯ アダスター・ゴールド,QCCU-JP025,nomal
Ｅ－ＨＥＲＯ マリシャス・ベイン,QCCU-JP026,Super
Ｅ－ＨＥＲＯ マリシャス・ベイン,QCCU-JP026,Ultimate
ダーク・コーリング,QCCU-JP027,nomal
Ｄ－ＨＥＲＯ ディアボリックガイ,QCCU-JP028,Ultra
Ｄ－ＨＥＲＯ Ｂｌｏｏ－Ｄ,QCCU-JP029,Super
Ｄ－ＨＥＲＯ Ｂｌｏｏ－Ｄ,QCCU-JP029,Ultimate
Ｄ－ＨＥＲＯ ダークエンジェル,QCCU-JP030,nomal
Ｄ－ＨＥＲＯ ディナイアルガイ,QCCU-JP031,nomal
Ｄ－ＨＥＲＯ デッドリーガイ,QCCU-JP032,Ultra
Ｄ－ＨＥＲＯ デストロイフェニックスガイ,QCCU-JP033,Super
Ｄ－ＨＥＲＯ デストロイフェニックスガイ,QCCU-JP033,Ultimate
フュージョン・デステニー,QCCU-JP034,Ultra
フュージョン・デステニー,QCCU-JP034,Ultimate
Ｄ－フォース,QCCU-JP035,nomal
Ｍ・ＨＥＲＯ アシッド,QCCU-JP036,nomal
Ｍ・ＨＥＲＯ ブラスト,QCCU-JP037,nomal
マスク・チェンジ,QCCU-JP038,Ultra
マスク・チェンジ,QCCU-JP038,Ultimate
Ｖ・ＨＥＲＯ インクリース,QCCU-JP039,nomal
Ｖ・ＨＥＲＯ ヴァイオン,QCCU-JP040,Ultra
Ｖ・ＨＥＲＯ トリニティー,QCCU-JP041,nomal
ジャンク・シンクロン,QCCU-JP042,nomal
ドッペル・ウォリアー,QCCU-JP043,Ultra
ジェット・シンクロン,QCCU-JP044,Ultra
ジェット・シンクロン,QCCU-JP044,Ultimate
シンクロン・キャリアー,QCCU-JP045,nomal
ジャンク・コンバーター,QCCU-JP046,nomal
スターダスト・トレイル,QCCU-JP047,nomal
レボリューション・シンクロン,QCCU-JP048,Ultra
レボリューション・シンクロン,QCCU-JP048,Ultimate
スターダスト・ドラゴン,QCCU-JP049,Ultra
スターダスト・ドラゴン,QCCU-JP049,Ultimate
フォーミュラ・シンクロン,QCCU-JP050,nomal
アクセル・シンクロン,QCCU-JP051,nomal
スターダスト・チャージ・ウォリアー,QCCU-JP052,nomal
コズミック・ブレイザー・ドラゴン,QCCU-JP053,Ultra
コズミック・ブレイザー・ドラゴン,QCCU-JP053,Ultimate
シューティング・ライザー・ドラゴン,QCCU-JP054,nomal
サテライト・ウォリアー,QCCU-JP055,nomal
調律,QCCU-JP056,Ultra
調律,QCCU-JP056,Ultimate
