name,card_id,rare
究極竜魔導師,QCDB-JP001,Ultra
究極竜魔導師,QCDB-JP001,Quarter Century Secret
ハネクリボー ＬＶ６,QCDB-JP002,Ultra
ハネクリボー ＬＶ６,QCDB-JP002,Quarter Century Secret
輝ける星の竜,QCDB-JP003,Ultra
輝ける星の竜,QCDB-JP003,Quarter Century Secret
ＦＡ－ホープ・レイ・ランサー,QCDB-JP004,Ultra
ＦＡ－ホープ・レイ・ランサー,QCDB-JP004,Quarter Century Secret
覇王龍ズァーク－シンクロ・ユニバース,QCDB-JP005,Ultra
覇王龍ズァーク－シンクロ・ユニバース,QCDB-JP005,Quarter Century Secret
コード・オブ・ソウル,QCDB-JP006,Ultra
コード・オブ・ソウル,QCDB-JP006,Quarter Century Secret
ブラック・マジシャン,QCDB-JP007,Ultra
ブラック・マジシャン,QCDB-JP007,Quarter Century Secret
ブラック・マジシャン・ガール,QCDB-JP008,Ultra
ブラック・マジシャン・ガール,QCDB-JP008,Quarter Century Secret
青眼の白龍,QCDB-JP009,Ultra
青眼の白龍,QCDB-JP009,Quarter Century Secret
真紅眼の黒竜,QCDB-JP010,Ultra
真紅眼の黒竜,QCDB-JP010,Quarter Century Secret
破滅竜ガンドラＸ,QCDB-JP011,Ultra
破滅竜ガンドラＸ,QCDB-JP011,Quarter Century Secret
守護神官マハード,QCDB-JP012,Ultra
守護神官マハード,QCDB-JP012,Quarter Century Secret
ブルーアイズ・カオス・ＭＡＸ・ドラゴン,QCDB-JP013,Ultra
ブルーアイズ・カオス・ＭＡＸ・ドラゴン,QCDB-JP013,Quarter Century Secret
青眼の亜白龍,QCDB-JP014,Ultra
青眼の亜白龍,QCDB-JP014,Quarter Century Secret
増殖するＧ,QCDB-JP015,Super
荒魂,QCDB-JP016,Super
サタンクロース,QCDB-JP017,Super
幽鬼うさぎ,QCDB-JP018,Super
妖精伝姫－シラユキ,QCDB-JP019,Ultra
妖精伝姫－シラユキ,QCDB-JP019,Quarter Century Secret
アストログラフ・マジシャン,QCDB-JP020,Super
アストログラフ・マジシャン,QCDB-JP020,Quarter Century Secret
灰流うらら,QCDB-JP021,Super
マイクロ・コーダー,QCDB-JP022,Super
ダイナレスラー・パンクラトプス,QCDB-JP023,Super
ディメンション・アトラクター,QCDB-JP024,Super
原始生命態ニビル,QCDB-JP025,Super
暗黒の招来神,QCDB-JP026,Super
スターダスト・シンクロン,QCDB-JP027,Ultra
ブルーアイズ・ジェット・ドラゴン,QCDB-JP028,Super
ブルーアイズ・ジェット・ドラゴン,QCDB-JP028,Quarter Century Secret
アサルト・シンクロン,QCDB-JP029,Ultra
アサルト・シンクロン,QCDB-JP029,Quarter Century Secret
幸魂,QCDB-JP030,Super
イリュージョン・オブ・カオス,QCDB-JP031,Ultra
イリュージョン・オブ・カオス,QCDB-JP031,Quarter Century Secret
伝説の剣闘士 カオス・ソルジャー,QCDB-JP032,Ultra
伝説の剣闘士 カオス・ソルジャー,QCDB-JP032,Quarter Century Secret
超魔導師－ブラック・マジシャンズ,QCDB-JP033,Ultra
超魔導師－ブラック・マジシャンズ,QCDB-JP033,Quarter Century Secret
Ｗａｋｅ Ｕｐ Ｙｏｕｒ Ｅ・ＨＥＲＯ,QCDB-JP034,Ultra
Ｗａｋｅ Ｕｐ Ｙｏｕｒ Ｅ・ＨＥＲＯ,QCDB-JP034,Quarter Century Secret
ガーデン・ローズ・メイデン,QCDB-JP035,Super
ガーデン・ローズ・メイデン,QCDB-JP035,Quarter Century Secret
アクセルシンクロ・スターダスト・ドラゴン,QCDB-JP036,Ultra
アクセルシンクロ・スターダスト・ドラゴン,QCDB-JP036,Quarter Century Secret
カオス・アンヘル－混沌の双翼－,QCDB-JP037,Ultra
カオス・アンヘル－混沌の双翼－,QCDB-JP037,Quarter Century Secret
励輝士 ヴェルズビュート,QCDB-JP038,Super
ＲＲ－レヴォリューション・ファルコン－エアレイド,QCDB-JP039,Super
Ｎｏ.６０ 刻不知のデュガレス,QCDB-JP040,Super
塊斬機ダランベルシアン,QCDB-JP041,Super
ＦＮｏ.０ 未来龍皇ホープ,QCDB-JP042,Super
ＦＮｏ.０ 未来龍皇ホープ,QCDB-JP042,Quarter Century Secret
覇王黒竜オッドアイズ・リベリオン・ドラゴン－オーバーロード,QCDB-JP043,Super
覇王黒竜オッドアイズ・リベリオン・ドラゴン－オーバーロード,QCDB-JP043,Quarter Century Secret
鎖龍蛇－スカルデット,QCDB-JP044,Super
混沌の戦士 カオス・ソルジャー,QCDB-JP045,Super
混沌の戦士 カオス・ソルジャー,QCDB-JP045,Quarter Century Secret
警衛バリケイドベルグ,QCDB-JP046,Super
クロシープ,QCDB-JP047,Super
アクセスコード・トーカー,QCDB-JP048,Super
アクセスコード・トーカー,QCDB-JP048,Quarter Century Secret
スプラッシュ・メイジ,QCDB-JP049,Super
空牙団の懐剣 ドナ,QCDB-JP050,Super
コズミック・サイクロン,QCDB-JP051,Super
墓穴の指名者,QCDB-JP052,Super
抹殺の指名者,QCDB-JP053,Super
抹殺の指名者,QCDB-JP053,Quarter Century Secret
フェイバリット・ヒーロー,QCDB-JP054,Ultra
融合派兵,QCDB-JP055,Ultra
七精の解門,QCDB-JP056,Super
発禁令,QCDB-JP057,Super
ナンバーズ・エヴァイユ,QCDB-JP058,Super
無限泡影,QCDB-JP059,Super
トラップトラック,QCDB-JP060,Super
閃刀姫トークン,QCDB-JPT29,nomal
原始生命態トークン,QCDB-JPT30,nomal
