name,card_id,rare
ドラゴンメイド・シュテルン,QCTB-JP001,Super
ドラゴンメイド・シュテルン,QCTB-JP001,Secret
ドラゴンメイド・シュテルン,QCTB-JP001,Quarter Century Secret
ドラゴンメイド・ラティス,QCTB-JP002,Super
ドラゴンメイド・ラティス,QCTB-JP002,Secret
ドラゴンメイド・ラティス,QCTB-JP002,Quarter Century Secret
ドラゴンメイド・ナサリー,QCTB-JP003,N-Parallel
ドラゴンメイド・ナサリー,QCTB-JP003,Super
ドラゴンメイド・ナサリー,QCTB-JP003,Secret
ドラゴンメイド・エルデ,QCTB-JP004,N-Parallel
ドラゴンメイド・エルデ,QCTB-JP004,Super
ドラゴンメイド・エルデ,QCTB-JP004,Secret
ドラゴンメイド・ラドリー,QCTB-JP005,N-Parallel
ドラゴンメイド・ラドリー,QCTB-JP005,Super
ドラゴンメイド・ラドリー,QCTB-JP005,Secret
ドラゴンメイド・フルス,QCTB-JP006,N-Parallel
ドラゴンメイド・フルス,QCTB-JP006,Super
ドラゴンメイド・フルス,QCTB-JP006,Secret
ドラゴンメイド・ティルル,QCTB-JP007,N-Parallel
ドラゴンメイド・ティルル,QCTB-JP007,Super
ドラゴンメイド・ティルル,QCTB-JP007,Secret
ドラゴンメイド・ティルル,QCTB-JP007,Quarter Century Secret
ドラゴンメイド・フランメ,QCTB-JP008,N-Parallel
ドラゴンメイド・フランメ,QCTB-JP008,Super
ドラゴンメイド・フランメ,QCTB-JP008,Secret
ドラゴンメイド・パルラ,QCTB-JP009,N-Parallel
ドラゴンメイド・パルラ,QCTB-JP009,Super
ドラゴンメイド・パルラ,QCTB-JP009,Secret
ドラゴンメイド・パルラ,QCTB-JP009,Quarter Century Secret
ドラゴンメイド・ルフト,QCTB-JP010,N-Parallel
ドラゴンメイド・ルフト,QCTB-JP010,Super
ドラゴンメイド・ルフト,QCTB-JP010,Secret
ドラゴンメイド・チェイム,QCTB-JP011,N-Parallel
ドラゴンメイド・チェイム,QCTB-JP011,Super
ドラゴンメイド・チェイム,QCTB-JP011,Secret
ドラゴンメイド・ハスキー,QCTB-JP012,nomal
ドラゴンメイド・シュトラール,QCTB-JP013,N-Parallel
ドラゴンメイド・シュトラール,QCTB-JP013,Super
ドラゴンメイド・シュトラール,QCTB-JP013,Secret
ドラゴンメイド・シュトラール,QCTB-JP013,Quarter Century Secret
ドラゴンメイドのお心づくし,QCTB-JP014,nomal
ドラゴンメイドのお出迎え,QCTB-JP015,nomal
ドラゴンメイドのお召し替え,QCTB-JP016,N-Parallel
ドラゴンメイドのお召し替え,QCTB-JP016,Super
ドラゴンメイドのお召し替え,QCTB-JP016,Secret
ドラゴンメイド・リラクゼーション,QCTB-JP017,nomal
ドラゴンメイドのお片付け,QCTB-JP018,N-Parallel
ドラゴンメイドのお片付け,QCTB-JP018,Super
ドラゴンメイドのお片付け,QCTB-JP018,Secret
ドラゴンメイドのお片付け,QCTB-JP018,Quarter Century Secret
Ｎｏ－Ｐ.Ｕ.Ｎ.Ｋ.ライジング・スケール,QCTB-JP019,Super
Ｎｏ－Ｐ.Ｕ.Ｎ.Ｋ.ライジング・スケール,QCTB-JP019,Secret
Ｎｏ－Ｐ.Ｕ.Ｎ.Ｋ.ライジング・スケール,QCTB-JP019,Quarter Century Secret
Ｐ.Ｕ.Ｎ.Ｋ.ＪＡＭ ＦＥＶＥＲ！,QCTB-JP020,Super
Ｐ.Ｕ.Ｎ.Ｋ.ＪＡＭ ＦＥＶＥＲ！,QCTB-JP020,Secret
