name,card_id,rare
紅蓮魔獣 ダ・イーザ,RC03-JP001,nomal
終末の騎士,RC03-JP002,nomal
鬼ガエル,RC03-JP003,nomal
増殖するＧ,RC03-JP004,nomal
魔界発現世行きデスガイド,RC03-JP005,Ultra
スチーム・シンクロン,RC03-JP006,nomal
幽鬼うさぎ,RC03-JP007,Ultra
海亀壊獣ガメシエル,RC03-JP008,nomal
浮幽さくら,RC03-JP009,Ultra
灰流うらら,RC03-JP010,Ultra
ホワイト・スティングレイ,RC03-JP011,nomal
屋敷わらし,RC03-JP012,Ultra
ダイナレスラー・パンクラトプス,RC03-JP013,nomal
混源龍レヴィオニア,RC03-JP014,Ultra
サイバー・ドラゴン・ネクステア,RC03-JP015,nomal
幻創龍ファンタズメイ,RC03-JP016,nomal
爆走軌道フライング・ペガサス,RC03-JP017,nomal
儚無みずき,RC03-JP018,Ultra
カクリヨノチザクラ,RC03-JP019,nomal
竜騎士ブラック・マジシャン・ガール,RC03-JP020,Ultra
キメラテック・メガフリート・ドラゴン,RC03-JP021,nomal
ミレニアム・アイズ・サクリファイス,RC03-JP022,nomal
えん魔竜 レッド・デーモン・アビス,RC03-JP023,nomal
深淵に潜む者,RC03-JP024,nomal
サイバー・ドラゴン・インフィニティ,RC03-JP025,Ultra
真竜皇Ｖ.Ｆ.Ｄ.,RC03-JP026,nomal
水晶機巧－ハリファイバー,RC03-JP027,nomal
閃刀姫－カガリ,RC03-JP028,Ultra
サクリファイス・アニマ,RC03-JP029,nomal
転生炎獣アルミラージ,RC03-JP030,nomal
サンダー・ボルト,RC03-JP031,nomal
ハーピィの羽根帚,RC03-JP032,Ultra
死者蘇生,RC03-JP033,Ultra
ミラクル・フュージョン,RC03-JP034,nomal
超融合,RC03-JP035,Ultra
ドラゴン・目覚めの旋律,RC03-JP036,nomal
ＲＵＭ－七皇の剣,RC03-JP037,Ultra
復活の福音,RC03-JP038,nomal
おろかな副葬,RC03-JP039,nomal
墓穴の指名者,RC03-JP040,nomal
閃刀起動－エンゲージ,RC03-JP041,nomal
強欲で金満な壺,RC03-JP042,nomal
緊急ダイヤ,RC03-JP043,nomal
抹殺の指名者,RC03-JP044,nomal
魔封じの芳香,RC03-JP045,nomal
バージェストマ・ディノミスクス,RC03-JP046,nomal
幻影騎士団シェード・ブリガンダイン,RC03-JP047,nomal
センサー万別,RC03-JP048,nomal
無限泡影,RC03-JP049,Ultra
大捕り物,RC03-JP050,nomal
