name,card_id,rare
人造木人１８,RDS-JP001,nomal
マイティガード,RDS-JP002,nomal
魔貨物車両 ボコイチ,RDS-JP003,nomal
ハーピィ・ガール,RDS-JP004,nomal
創世神,RDS-JP005,Ultra
創世神,RDS-JP005,Ultimate
創世者の化身,RDS-JP006,nomal
アルティメット・インセクト ＬＶ３,RDS-JP007,Rare
ミスティック・ソードマン ＬＶ６,RDS-JP008,Ultra
ミスティック・ソードマン ＬＶ６,RDS-JP008,Ultimate
サイレント・ソードマン ＬＶ３,RDS-JP009,Ultra
サイレント・ソードマン ＬＶ３,RDS-JP009,Ultimate
ペンギン・ナイトメア,RDS-JP010,nomal
強化支援メカ・ヘビーウェポン,RDS-JP011,nomal
パーフェクト機械王,RDS-JP012,Ultra
パーフェクト機械王,RDS-JP012,Ultimate
エレメント・マジシャン,RDS-JP013,nomal
エレメント・ザウルス,RDS-JP014,nomal
霞の谷の大怪鳥,RDS-JP015,nomal
一撃必殺侍,RDS-JP016,Rare
ハーピィ・レディ１,RDS-JP017,nomal
ハーピィ・レディ２,RDS-JP018,nomal
ハーピィ・レディ３,RDS-JP019,nomal
逆巻く炎の精霊,RDS-JP020,nomal
炎帝テスタロス,RDS-JP021,Super
炎帝テスタロス,RDS-JP021,Ultimate
イーグル・アイ,RDS-JP022,nomal
華麗なる潜入工作員,RDS-JP023,nomal
侵略の炎,RDS-JP024,nomal
忍び寄るデビルマンタ,RDS-JP025,nomal
漆黒の戦士 ワーウルフ,RDS-JP026,nomal
ミラージュ・ドラゴン,RDS-JP027,nomal
爆炎集合体 ガイヤ・ソウル,RDS-JP028,Rare
きつね火,RDS-JP029,nomal
巨大戦艦 ビッグ・コア,RDS-JP030,Super
巨大戦艦 ビッグ・コア,RDS-JP030,Ultimate
可変機獣 ガンナードラゴン,RDS-JP031,Rare
魔装機関車 デコイチ,RDS-JP032,Rare
トラップ処理班 Ａチーム,RDS-JP033,Rare
錬金生物 ホムンクルス,RDS-JP034,nomal
闇魔界の竜騎士 ダークソード,RDS-JP035,Rare
キング・もけもけ,RDS-JP036,nomal
連続魔法,RDS-JP037,Rare
ハーピィの狩場,RDS-JP038,nomal
トライアングル・Ｘ・スパーク,RDS-JP039,Super
トライアングル・Ｘ・スパーク,RDS-JP039,Ultimate
与奪の首飾り,RDS-JP040,Rare
機械複製術,RDS-JP041,Rare
フリント,RDS-JP042,Rare
怒れるもけもけ,RDS-JP043,nomal
振り出し,RDS-JP044,nomal
死者転生,RDS-JP045,Super
死者転生,RDS-JP045,Ultimate
城壁壊しの大槍,RDS-JP046,nomal
軽量化,RDS-JP047,nomal
邪気退散,RDS-JP048,nomal
断頭台の惨劇,RDS-JP049,Super
断頭台の惨劇,RDS-JP049,Ultimate
天罰,RDS-JP050,Super
天罰,RDS-JP050,Ultimate
心鎮壷,RDS-JP051,nomal
レアメタル化・魔法反射装甲,RDS-JP052,Rare
コザッキーの研究成果,RDS-JP053,nomal
マインド・ハック,RDS-JP054,nomal
風林火山,RDS-JP055,nomal
連鎖炸薬,RDS-JP056,Rare
ピケルの魔法陣,RDS-JP057,Super
ピケルの魔法陣,RDS-JP057,Ultimate
魔力浄化,RDS-JP058,nomal
アストラルバリア,RDS-JP059,nomal
援護射撃,RDS-JP060,Rare
