name,card_id,rare
魔道騎士ガイア,ROTD-JP001,Super
魔道騎士ガイア,ROTD-JP001,Secret
呪われし竜－カース・オブ・ドラゴン,ROTD-JP002,nomal
砲撃のカタパルト・タートル,ROTD-JP003,Rare
暗黒騎士ガイアソルジャー,ROTD-JP004,Super
暗黒騎士ガイアソルジャー,ROTD-JP004,Secret
教導の聖女エクレシア,ROTD-JP005,Super
教導の聖女エクレシア,ROTD-JP005,Secret
教導の鉄槌テオ,ROTD-JP006,nomal
教導の天啓アディン,ROTD-JP007,nomal
教導の騎士フルルドリス,ROTD-JP008,Ultra
教導の騎士フルルドリス,ROTD-JP008,Ultimate
教導の騎士フルルドリス,ROTD-JP008,Secret
教導の大神祇官,ROTD-JP009,Rare
教導枢機テトラドラグマ,ROTD-JP010,Rare
アルバスの落胤,ROTD-JP011,Super
アルバスの落胤,ROTD-JP011,Secret
焔聖騎士－アストルフォ,ROTD-JP012,nomal
焔聖騎士－オジエ,ROTD-JP013,Super
焔聖騎士－オジエ,ROTD-JP013,Secret
焔聖騎士－オリヴィエ,ROTD-JP014,nomal
焔聖騎士－モージ,ROTD-JP015,nomal
メルフィー・ラビィ,ROTD-JP016,nomal
メルフィー・フェニィ,ROTD-JP017,nomal
メルフィー・キャシィ,ROTD-JP018,nomal
メルフィー・パピィ,ROTD-JP019,Rare
メルフィー・ポニィ,ROTD-JP020,nomal
ファーニマル・ドルフィン,ROTD-JP021,nomal
エッジインプ・サイズ,ROTD-JP022,nomal
享楽の堕天使,ROTD-JP023,nomal
悦楽の堕天使,ROTD-JP024,Rare
堕天使ネルガル,ROTD-JP025,nomal
マシンナーズ・リザーブレイク,ROTD-JP026,nomal
奇動装置メイルファクター,ROTD-JP027,nomal
斬機ダイア,ROTD-JP028,nomal
ネメシス・キーストーン,ROTD-JP029,nomal
コアキメイル・サプライヤー,ROTD-JP030,nomal
サンダー・ハンド,ROTD-JP031,Rare
機巧辰－高闇御津羽オカミ,ROTD-JP032,Ultra
機巧辰－高闇御津羽オカミ,ROTD-JP032,Ultimate
機巧辰－高闇御津羽オカミ,ROTD-JP032,Secret
揺海魚デッドリーフ,ROTD-JP033,Rare
レッドポータン,ROTD-JP034,N-Rare
龍狸燈,ROTD-JP035,N-Rare
メガリス・フール,ROTD-JP036,nomal
竜魔道騎士ガイア,ROTD-JP037,Ultra
竜魔道騎士ガイア,ROTD-JP037,Ultimate
竜魔道騎士ガイア,ROTD-JP037,Secret
灰燼竜バスタード,ROTD-JP038,Ultra
灰燼竜バスタード,ROTD-JP038,Ultimate
灰燼竜バスタード,ROTD-JP038,Secret
デストーイ・クルーエル・ホエール,ROTD-JP039,Rare
黎明の堕天使ルシフェル,ROTD-JP040,Ultra
黎明の堕天使ルシフェル,ROTD-JP040,Ultimate
黎明の堕天使ルシフェル,ROTD-JP040,Secret
焔聖騎士導－ローラン,ROTD-JP041,Rare
焔聖騎士帝－シャルル,ROTD-JP042,Ultra
焔聖騎士帝－シャルル,ROTD-JP042,Ultimate
焔聖騎士帝－シャルル,ROTD-JP042,Secret
混沌魔龍 カオス・ルーラー,ROTD-JP043,Ultra
混沌魔龍 カオス・ルーラー,ROTD-JP043,Ultimate
混沌魔龍 カオス・ルーラー,ROTD-JP043,Secret
混沌魔龍 カオス・ルーラー,ROTD-JP043,Holographic
森のメルフィーズ,ROTD-JP044,Super
森のメルフィーズ,ROTD-JP044,Secret
メルフィー・マミィ,ROTD-JP045,Rare
六花聖ストレナエ,ROTD-JP046,Super
六花聖ストレナエ,ROTD-JP046,Secret
旋壊のヴェスペネイト,ROTD-JP047,Rare
戦華盟将－双龍,ROTD-JP048,Super
戦華盟将－双龍,ROTD-JP048,Secret
走破するガイア,ROTD-JP049,Rare
螺旋融合,ROTD-JP050,nomal
教導国家ドラグマ,ROTD-JP051,nomal
天底の使徒,ROTD-JP052,Rare
『焔聖剣－デュランダル』,ROTD-JP053,Rare
『焔聖剣－オートクレール』,ROTD-JP054,nomal
『焔聖剣－ジョワユーズ』,ROTD-JP055,nomal
メルフィーのおいかけっこ,ROTD-JP056,nomal
メルフィーのかくれんぼ,ROTD-JP057,nomal
デストーイ・リペアー,ROTD-JP058,nomal
深海の都 マガラニカ,ROTD-JP059,nomal
戦華史略－東南之風,ROTD-JP060,nomal
魔救の奇縁,ROTD-JP061,nomal
三戦の才,ROTD-JP062,Ultra
三戦の才,ROTD-JP062,Ultimate
三戦の才,ROTD-JP062,Secret
ブリザード,ROTD-JP063,Rare
海竜神の激昂,ROTD-JP064,nomal
禁じられた一滴,ROTD-JP065,Super
禁じられた一滴,ROTD-JP065,Secret
天幻の龍輪,ROTD-JP066,Rare
賽挑戦,ROTD-JP067,N-Rare
螺旋砲撃,ROTD-JP068,nomal
螺旋蘇生,ROTD-JP069,nomal
ドラグマ・パニッシュメント,ROTD-JP070,nomal
ドラグマ・エンカウンター,ROTD-JP071,nomal
オリファンの角笛,ROTD-JP072,nomal
メルフィータイム,ROTD-JP073,nomal
魔玩具厄瓶,ROTD-JP074,nomal
叛逆の堕天使,ROTD-JP075,nomal
影依の偽典,ROTD-JP076,Rare
ドラゴンメイドのお片付け,ROTD-JP077,Rare
リターナブル瓶,ROTD-JP078,nomal
天龍雪獄,ROTD-JP079,Super
天龍雪獄,ROTD-JP079,Secret
ジャンクスリープ,ROTD-JP080,N-Rare
竜騎士ガイア,ROTD-JPS01,Prismatic Secret
