name,card_id,rare
閃術兵器－Ｈ.Ａ.Ｍ.Ｐ.,SSB1-JPS01,Secret
閃刀起動－リンケージ,SSB1-JPS02,Secret
垂氷の魔妖－雪女,SSB1-JPS03,Secret
逢華妖麗譚－魔妖不知火語,SSB1-JPS04,Secret
ウィッチクラフト・バイスマスター,SSB1-JPS05,Secret
ウィッチクラフト・コンフュージョン,SSB1-JPS06,Secret
閃術兵器－Ｈ.Ａ.Ｍ.Ｐ.,SSB1-JP001,Super
閃刀起動－リンケージ,SSB1-JP002,Super
垂氷の魔妖－雪女,SSB1-JP003,Super
逢華妖麗譚－魔妖不知火語,SSB1-JP004,Super
ウィッチクラフト・バイスマスター,SSB1-JP005,Super
ウィッチクラフト・コンフュージョン,SSB1-JP006,Super
閃刀姫－レイ,SSB1-JP007,N-Parallel
閃刀姫－レイ,SSB1-JP007,Secret
閃刀姫－シズク,SSB1-JP008,N-Parallel
閃刀姫－シズク,SSB1-JP008,Secret
閃刀姫－ハヤテ,SSB1-JP009,N-Parallel
閃刀姫－ハヤテ,SSB1-JP009,Secret
閃刀術式－アフターバーナー,SSB1-JP010,N-Parallel
閃刀術式－アフターバーナー,SSB1-JP010,Secret
閃刀機関－マルチロール,SSB1-JP011,N-Parallel
閃刀機関－マルチロール,SSB1-JP011,Secret
麗の魔妖－妲姫,SSB1-JP012,N-Parallel
麗の魔妖－妲姫,SSB1-JP012,Secret
翼の魔妖－波旬,SSB1-JP013,N-Parallel
翼の魔妖－波旬,SSB1-JP013,Secret
氷の魔妖－雪娘,SSB1-JP014,N-Parallel
氷の魔妖－雪娘,SSB1-JP014,Secret
氷の魔妖－雪女,SSB1-JP015,N-Parallel
氷の魔妖－雪女,SSB1-JP015,Secret
魔妖廻天,SSB1-JP016,N-Parallel
魔妖廻天,SSB1-JP016,Secret
ウィッチクラフト・シュミッタ,SSB1-JP017,N-Parallel
ウィッチクラフト・シュミッタ,SSB1-JP017,Secret
ウィッチクラフト・ハイネ,SSB1-JP018,N-Parallel
ウィッチクラフト・ハイネ,SSB1-JP018,Secret
ウィッチクラフト・ジェニー,SSB1-JP019,N-Parallel
ウィッチクラフト・ジェニー,SSB1-JP019,Secret
ウィッチクラフト・クリエイション,SSB1-JP020,N-Parallel
ウィッチクラフト・クリエイション,SSB1-JP020,Secret
ウィッチクラフト・デモンストレーション,SSB1-JP021,N-Parallel
ウィッチクラフト・デモンストレーション,SSB1-JP021,Secret
馬頭鬼,SSB1-JP022,nomal
不知火の隠者,SSB1-JP023,nomal
死霊王 ドーハスーラ,SSB1-JP024,nomal
屍界のバンシー,SSB1-JP025,nomal
ジャック・ア・ボーラン,SSB1-JP026,nomal
結晶の大賢者サンドリヨン,SSB1-JP027,nomal
ミレニアム・アイズ・サクリファイス,SSB1-JP028,nomal
サクリファイス・アニマ,SSB1-JP029,nomal
トロイメア・フェニックス,SSB1-JP030,nomal
トロイメア・ケルベロス,SSB1-JP031,nomal
ヴァンパイア・サッカー,SSB1-JP032,nomal
灼熱の火霊使いヒータ,SSB1-JP033,nomal
簡易融合,SSB1-JP034,nomal
アンデットワールド,SSB1-JP035,nomal
魔法族の里,SSB1-JP036,nomal
魔術師の右手,SSB1-JP037,nomal
魔術師の左手,SSB1-JP038,nomal
魔術師の再演,SSB1-JP039,nomal
逢魔ノ刻,SSB1-JP040,nomal
