name,card_id,rare
アクセスコード・トーカー,SUB1-JPS01,Secret BLUE Ver.
混沌魔龍 カオス・ルーラー,SUB1-JPS02,Secret BLUE Ver.
天霆號アーゼウス,SUB1-JPS03,Secret BLUE Ver.
閉ザサレシ世界ノ冥神,SUB1-JPS04,Secret BLUE Ver.
ダーク・オネスト,SUB1-JPS05,Secret BLUE Ver.
人攻智能ＭＥ－ＰＳＹ－ＹＡ,SUB1-JPS06,Secret BLUE Ver.
天獄の王,SUB1-JPS07,Secret BLUE Ver.
ガーディアン・キマイラ,SUB1-JPS08,Secret BLUE Ver.
サイコ・エンド・パニッシャー,SUB1-JPS09,Secret BLUE Ver.
倶利伽羅天童,SUB1-JPS10,Secret BLUE Ver.
世海龍ジーランティス,SUB1-JPS11,Secret BLUE Ver.
樹冠の甲帝ベアグラム,SUB1-JPS12,Secret BLUE Ver.
竜魔導騎士ブラック・マジシャン,SUB1-JP001,Super
竜魔導騎士ブラック・マジシャン,SUB1-JP001,Secret
アームド・ネオス,SUB1-JP002,Super
アームド・ネオス,SUB1-JP002,Secret
アサルト・シンクロン,SUB1-JP003,Super
アサルト・シンクロン,SUB1-JP003,Secret
最後の希望,SUB1-JP004,Super
最後の希望,SUB1-JP004,Secret
覇王黒竜オッドアイズ・リベリオン・エクシーズ・ドラゴン,SUB1-JP005,Super
覇王黒竜オッドアイズ・リベリオン・エクシーズ・ドラゴン,SUB1-JP005,Secret
ヴァレット・コーダー,SUB1-JP006,Super
ヴァレット・コーダー,SUB1-JP006,Secret
ファーニマル・ペンギン,SUB1-JP007,nomal
魔玩具補綴,SUB1-JP008,nomal
堕天使イシュタム,SUB1-JP009,nomal
幻影騎士団ラギッドグローブ,SUB1-JP010,nomal
ＲＲ－フォース・ストリクス,SUB1-JP011,nomal
Ｆ.Ａ.ライトニングマスター,SUB1-JP012,nomal
魔轟神獣ユニコール,SUB1-JP013,nomal
魔轟神クシャノ,SUB1-JP014,nomal
魔轟神クルス,SUB1-JP015,nomal
ジ・アライバル・サイバース＠イグニスター,SUB1-JP016,nomal
ウィンドペガサス＠イグニスター,SUB1-JP017,nomal
武神－ヤマト,SUB1-JP018,nomal
ジャンク・コンバーター,SUB1-JP019,nomal
先史遺産ネブラ・ディスク,SUB1-JP020,nomal
先史遺産クリスタル・スカル,SUB1-JP021,nomal
ダイガスタ・スフィアード,SUB1-JP022,nomal
ガスタの神裔 ピリカ,SUB1-JP023,nomal
ヴァレット・トレーサー,SUB1-JP024,Super
ヴァレット・トレーサー,SUB1-JP024,Secret
クイック・リボルブ,SUB1-JP025,nomal
Ｄ－ＨＥＲＯ デッドリーガイ,SUB1-JP026,nomal
Ｄ－ＨＥＲＯ ダッシュガイ,SUB1-JP027,nomal
幻想の見習い魔導師,SUB1-JP028,nomal
ティマイオスの眼,SUB1-JP029,nomal
黒の魔導陣,SUB1-JP030,nomal
太古の白石,SUB1-JP031,Super
太古の白石,SUB1-JP031,Secret
極星天グルヴェイグ,SUB1-JP032,nomal
ＤＤＤ狙撃王テル,SUB1-JP033,nomal
ゴーストリック・ハウス,SUB1-JP034,nomal
交血鬼－ヴァンパイア・シェリダン,SUB1-JP035,nomal
オッドアイズ・アークペンデュラム・ドラゴン,SUB1-JP036,nomal
オッドアイズ・ペルソナ・ドラゴン,SUB1-JP037,nomal
ＥＭドクロバット・ジョーカー,SUB1-JP038,Super
ＥＭドクロバット・ジョーカー,SUB1-JP038,Secret
捕食植物トリフィオヴェルトゥム,SUB1-JP039,Super
捕食植物トリフィオヴェルトゥム,SUB1-JP039,Secret
捕食活動,SUB1-JP040,nomal
Ｈ・Ｃ クラスプ・ナイフ,SUB1-JP041,nomal
森羅の守神 アルセイ,SUB1-JP042,nomal
虹天気アルシエル,SUB1-JP043,nomal
雪の天気模様,SUB1-JP044,nomal
ゾンビキャリア,SUB1-JP045,nomal
Ｅ・ＨＥＲＯ マリン・ネオス,SUB1-JP046,nomal
Ｎ・マリン・ドルフィン,SUB1-JP047,nomal
ネオス・フュージョン,SUB1-JP048,nomal
ジェムナイトマスター・ダイヤ,SUB1-JP049,nomal
ジェムナイト・ファントムルーツ,SUB1-JP050,nomal
リヴェンデット・エグゼクター,SUB1-JP051,nomal
アドヴェンデット・セイヴァー,SUB1-JP052,nomal
炎斬機ファイナルシグマ,SUB1-JP053,nomal
六花のひとひら,SUB1-JP054,nomal
六花絢爛,SUB1-JP055,nomal
ＢＦ－フルアーマード・ウィング,SUB1-JP056,Super
ＢＦ－フルアーマード・ウィング,SUB1-JP056,Secret
Ａ ＢＦ－五月雨のソハヤ,SUB1-JP057,nomal
ＢＦ－残夜のクリス,SUB1-JP058,nomal
ナチュル・エクストリオ,SUB1-JP059,nomal
ナチュル・サンフラワー,SUB1-JP060,nomal
ナチュル・ナーブ,SUB1-JP061,nomal
爆竜剣士イグニスターＰ,SUB1-JP062,nomal
竜剣士ラスターＰ,SUB1-JP063,nomal
空牙団の大義 フォルゴ,SUB1-JP064,nomal
空牙団の剣士 ビート,SUB1-JP065,nomal
忍者マスター ＳＡＩＺＯ,SUB1-JP066,nomal
サイキック・ビースト,SUB1-JP067,nomal
銀河の魔導師,SUB1-JP068,Super
銀河の魔導師,SUB1-JP068,Secret
銀河遠征,SUB1-JP069,nomal
魔界劇団－ビッグ・スター,SUB1-JP070,nomal
魔界台本「魔王の降臨」,SUB1-JP071,nomal
シャドウ・リチュア,SUB1-JP072,nomal
ヴィジョン・リチュア,SUB1-JP073,nomal
リチュア・アビス,SUB1-JP074,nomal
呪眼の王 ザラキエル,SUB1-JP075,nomal
セレンの呪眼,SUB1-JP076,nomal
光の王 マルデル,SUB1-JP077,nomal
王の影 ロプトル,SUB1-JP078,nomal
八汰烏,SUB1-JP079,nomal
刻の封印,SUB1-JP080,nomal
