name,card_id,rare
神炎皇ウリア,SOI-JP001,Ultra
神炎皇ウリア,SOI-JP001,Ultimate
降雷皇ハモン,SOI-JP002,Ultra
降雷皇ハモン,SOI-JP002,Ultimate
幻魔皇ラビエル,SOI-JP003,Ultra
幻魔皇ラビエル,SOI-JP003,Ultimate
Ｅ・ＨＥＲＯ バブルマン・ネオ,SOI-JP004,nomal
ヒーロー・キッズ,SOI-JP005,nomal
サイバー・バリア・ドラゴン,SOI-JP006,Super
サイバー・バリア・ドラゴン,SOI-JP006,Ultimate
サイバー・レーザー・ドラゴン,SOI-JP007,Ultra
サイバー・レーザー・ドラゴン,SOI-JP007,Ultimate
古代の歯車,SOI-JP008,nomal
古代の機械砲台,SOI-JP009,nomal
プロト・サイバー・ドラゴン,SOI-JP010,Rare
瞬着ボマー,SOI-JP011,Rare
機械王－プロトタイプ,SOI-JP012,nomal
巨大戦艦 カバード・コア,SOI-JP013,Super
巨大戦艦 カバード・コア,SOI-JP013,Ultimate
異次元への案内人,SOI-JP014,nomal
チェイン・スラッシャー,SOI-JP015,nomal
封魔の伝承者,SOI-JP016,nomal
天下人 紫炎,SOI-JP017,nomal
寄生体ダニー,SOI-JP018,nomal
ゴキポン,SOI-JP019,nomal
静寂虫,SOI-JP020,nomal
電動刃虫,SOI-JP021,Rare
オオアリクイクイアリ,SOI-JP022,nomal
セイバー・ビートル,SOI-JP023,nomal
デビルドーザー,SOI-JP024,Rare
黄泉ガエル,SOI-JP025,Rare
悪魔ガエル,SOI-JP026,nomal
魔法の国の王女－ピケル,SOI-JP027,Rare
魔法の国の王女－クラン,SOI-JP028,Rare
記憶破壊者,SOI-JP029,Rare
増幅する悪意,SOI-JP030,nomal
グラスファントム,SOI-JP031,nomal
サンドモス,SOI-JP032,nomal
神竜－エクセリオン,SOI-JP033,Super
神竜－エクセリオン,SOI-JP033,Ultimate
破滅の女神ルイン,SOI-JP034,Super
破滅の女神ルイン,SOI-JP034,Ultimate
終焉の王デミス,SOI-JP035,Super
終焉の王デミス,SOI-JP035,Ultimate
ガエル・サンデス,SOI-JP036,nomal
ヒーローハート,SOI-JP037,nomal
磁力の召喚円 ＬＶ２,SOI-JP038,nomal
古代の機械工場,SOI-JP039,nomal
古代の採掘機,SOI-JP040,nomal
幻魔の殉教者,SOI-JP041,Rare
サイクロン・ブーメラン,SOI-JP042,Rare
継承の印,SOI-JP043,nomal
王女の試練,SOI-JP044,nomal
フォトン・ジェネレーター・ユニット,SOI-JP045,nomal
エンド・オブ・ザ・ワールド,SOI-JP046,nomal
古代の機械城,SOI-JP047,Super
古代の機械城,SOI-JP047,Ultimate
輪廻転生,SOI-JP048,nomal
スーパージュニア対決！,SOI-JP049,nomal
ミラクル・キッズ,SOI-JP050,nomal
アタック・リフレクター・ユニット,SOI-JP051,nomal
ダメージ・コンデンサー,SOI-JP052,Super
ダメージ・コンデンサー,SOI-JP052,Ultimate
因果切断,SOI-JP053,Rare
ロスト・ネクスト,SOI-JP054,nomal
ジェネレーション・チェンジ,SOI-JP055,nomal
全弾発射,SOI-JP056,nomal
成功確率０％,SOI-JP057,nomal
オプションハンター,SOI-JP058,Rare
ゴブリンのその場しのぎ,SOI-JP059,Rare
誤作動,SOI-JP060,Rare
