name,card_id,rare
ラブラドライドラゴン,SHSP-JP001,nomal
チャウチャウちゃん,SHSP-JP002,nomal
マリスボラス・スプーン,SHSP-JP003,nomal
マリスボラス・フォーク,SHSP-JP004,nomal
マリスボラス・ナイフ,SHSP-JP005,nomal
ＢＫ リベージ・ガードナー,SHSP-JP006,nomal
ＢＫ ラビット・パンチャー,SHSP-JP007,nomal
暗躍のドルイド・ウィド,SHSP-JP008,nomal
暗躍のドルイド・ドリュース,SHSP-JP009,Rare
幻木龍,SHSP-JP010,nomal
幻水龍,SHSP-JP011,nomal
武装神竜プロテクト・ドラゴン,SHSP-JP012,nomal
魂食神龍ドレイン・ドラゴン,SHSP-JP013,Rare
子狸ぽんぽこ,SHSP-JP014,nomal
子狸たんたん,SHSP-JP015,nomal
ゴーストリック・ランタン,SHSP-JP016,nomal
ゴーストリック・スペクター,SHSP-JP017,Rare
ゴーストリックの魔女,SHSP-JP018,nomal
ゴーストリックの雪女,SHSP-JP019,Rare
ゴーストリック・キョンシー,SHSP-JP020,Rare
ゴーストリック・シュタイン,SHSP-JP021,nomal
武神－ミカヅチ,SHSP-JP022,Super
武神器－ヤタ,SHSP-JP023,Rare
武神器－オハバリ,SHSP-JP024,nomal
武神器－イクタ,SHSP-JP025,nomal
武神器－ハチ,SHSP-JP026,nomal
幻獣機サーバルホーク,SHSP-JP027,nomal
幻獣機グリーフィン,SHSP-JP028,nomal
ヴァンパイア・ソーサラー,SHSP-JP029,Rare
シャドウ・ヴァンパイア,SHSP-JP030,Rare
ヴァンパイア・グレイス,SHSP-JP031,nomal
ゴースト姫－パンプリンセス－,SHSP-JP032,nomal
黄血鬼,SHSP-JP033,nomal
ヴァンパイア・キラー,SHSP-JP034,nomal
荒魂,SHSP-JP035,Rare
羅刹,SHSP-JP036,nomal
ナチュラル・ボーン・サウルス,SHSP-JP037,nomal
騎士デイ・グレファー,SHSP-JP038,nomal
ジェノミックス・ファイター,SHSP-JP039,nomal
姫葵マリーナ,SHSP-JP040,Super
剛地帝グランマーグ,SHSP-JP041,Super
カラスの巨群,SHSP-JP042,Rare
土地鋸,SHSP-JP043,nomal
覚星師ライズベルト,SHSP-JP044,N-Rare
ブルー・ダストン,SHSP-JP045,N-Rare
ＣＮｏ.９６ ブラック・ストーム,SHSP-JP046,Ultra
ＣＮｏ.９６ ブラック・ストーム,SHSP-JP046,Ultimate
ＣＮｏ.９６ ブラック・ストーム,SHSP-JP046,Holographic
Ｎｏ.６５ 裁断魔人ジャッジ・バスター,SHSP-JP047,Super
ＣＮｏ.６５ 裁断魔王ジャッジ・デビル,SHSP-JP048,Super
ＢＫ チート・コミッショナー,SHSP-JP049,Rare
Ｎｏ.４６ 神影龍ドラッグルーオン,SHSP-JP050,Ultra
Ｎｏ.４６ 神影龍ドラッグルーオン,SHSP-JP050,Ultimate
Ｎｏ.６４ 古狸三太夫,SHSP-JP051,Super
ゴーストリック・アルカード,SHSP-JP052,Ultra
ゴーストリック・アルカード,SHSP-JP052,Ultimate
武神帝－カグツチ,SHSP-JP053,Ultra
武神帝－カグツチ,SHSP-JP053,Ultimate
紅貴士－ヴァンパイア・ブラム,SHSP-JP054,Super
メリアスの木霊,SHSP-JP055,Rare
神竜騎士フェルグラント,SHSP-JP056,Ultra
神竜騎士フェルグラント,SHSP-JP056,Ultimate
焔紫竜ピュラリス,SHSP-JP057,Super
鬼岩城,SHSP-JP058,Rare
ガガガタッグ,SHSP-JP059,nomal
バーニングナックル・スピリッツ,SHSP-JP060,Rare
ドラゴン・シールド,SHSP-JP061,nomal
ゴーストリック・ハウス,SHSP-JP062,Rare
鏡鳴する武神,SHSP-JP063,nomal
ヴァンパイア帝国,SHSP-JP064,nomal
貪欲で無欲な壺,SHSP-JP065,Super
旗鼓堂々,SHSP-JP066,Rare
帝王の開岩,SHSP-JP067,nomal
聖蛇の息吹,SHSP-JP068,nomal
ダストンのモップ,SHSP-JP069,N-Rare
バースト・リバース,SHSP-JP070,Rare
ナンバーズ・オーバーレイ・ブースト,SHSP-JP071,nomal
陰謀の盾,SHSP-JP072,nomal
ゴーストリック・アウト,SHSP-JP073,nomal
ゴーストリック・パニック,SHSP-JP074,nomal
ヴァンパイア・シフト,SHSP-JP075,nomal
手違い,SHSP-JP076,Rare
連鎖誘爆,SHSP-JP077,nomal
グリザイユの牢獄,SHSP-JP078,nomal
生存競争,SHSP-JP079,nomal
大金星！？,SHSP-JP080,N-Rare
