name,card_id,rare
速攻のかかし,STBL-JP001,nomal
ミラー・レディバグ,STBL-JP002,nomal
リード・バタフライ,STBL-JP003,nomal
ニードル・ガンナー,STBL-JP004,nomal
ネクロ・リンカー,STBL-JP005,nomal
レスキュー・ウォリアー,STBL-JP006,nomal
パワー・ジャイアント,STBL-JP007,Super
バイス・バーサーカー,STBL-JP008,nomal
ランサー・デーモン,STBL-JP009,Rare
パワー・ブレイカー,STBL-JP010,Super
エクストラ・ヴェーラー,STBL-JP011,nomal
シンクロ・ガンナー,STBL-JP012,nomal
クリエイト・リゾネーター,STBL-JP013,Rare
アタック・ゲイナー,STBL-JP014,nomal
ＢＦ－二の太刀のエテジア,STBL-JP015,nomal
ＢＦ－極光のアウロラ,STBL-JP016,Rare
ＢＦ－激震のアブロオロス,STBL-JP017,Rare
グローアップ・バルブ,STBL-JP018,nomal
カラクリ兵 弐参六,STBL-JP019,nomal
カラクリ商人 壱七七,STBL-JP020,Rare
カラクリ参謀 弐四八,STBL-JP021,nomal
カラクリ忍者 参参九,STBL-JP022,Super
カラクリ武者 六参壱八,STBL-JP023,Rare
スクラップ・ソルジャー,STBL-JP024,Rare
スクラップ・サーチャー,STBL-JP025,nomal
エレキーウィ,STBL-JP026,nomal
エレキリギリス,STBL-JP027,nomal
エレキトンボ,STBL-JP028,nomal
エレキタリス,STBL-JP029,Rare
ナチュル・チェリー,STBL-JP030,Rare
ナチュル・パンプキン,STBL-JP031,nomal
ナチュル・スタッグ,STBL-JP032,nomal
氷結界の舞姫,STBL-JP033,Rare
チェーンドッグ,STBL-JP034,Rare
ワイトメア,STBL-JP035,N-Rare
破戒僧 ランシン,STBL-JP036,Super
闇帝ディルグ,STBL-JP037,Super
覇魔導士アーカナイト・マジシャン,STBL-JP038,Ultra
覇魔導士アーカナイト・マジシャン,STBL-JP038,Ultimate
地天の騎士ガイアドレイク,STBL-JP039,Super
シューティング・スター・ドラゴン,STBL-JP040,Ultra
シューティング・スター・ドラゴン,STBL-JP040,Ultimate
シューティング・スター・ドラゴン,STBL-JP040,Holographic
フォーミュラ・シンクロン,STBL-JP041,Super
スカーレッド・ノヴァ・ドラゴン,STBL-JP042,Ultra
スカーレッド・ノヴァ・ドラゴン,STBL-JP042,Ultimate
カラクリ将軍 無零,STBL-JP043,Ultra
カラクリ将軍 無零,STBL-JP043,Ultimate
スクラップ・ツイン・ドラゴン,STBL-JP044,Ultra
スクラップ・ツイン・ドラゴン,STBL-JP044,Ultimate
調律,STBL-JP045,Super
風雲カラクリ城,STBL-JP046,Rare
黄金の歯車装置箱,STBL-JP047,nomal
カラクリ解体新書,STBL-JP048,nomal
スクラップ・オイルゾーン,STBL-JP049,nomal
エレキャッスル,STBL-JP050,nomal
エレキャッシュ,STBL-JP051,nomal
パルキオンのうろこ,STBL-JP052,nomal
ガオドレイクのタテガミ,STBL-JP053,nomal
氷結界の紋章,STBL-JP054,nomal
氷結界の鏡,STBL-JP055,Rare
コアキリング,STBL-JP056,nomal
魔界の足枷,STBL-JP057,nomal
愚鈍の斧,STBL-JP058,nomal
呪いのお札,STBL-JP059,nomal
霊滅独鈷杵,STBL-JP060,Rare
大熱波,STBL-JP061,Rare
馬の骨の対価,STBL-JP062,N-Rare
Ｄ２シールド,STBL-JP063,nomal
スクリーン・オブ・レッド,STBL-JP064,nomal
ブラック・バック,STBL-JP065,Rare
ディフェンダーズ・クロス,STBL-JP066,nomal
重力崩壊,STBL-JP067,Rare
ＢＦ－マイン,STBL-JP068,nomal
星蝕－レベル・クライム－,STBL-JP069,nomal
ハーフ・カウンター,STBL-JP070,nomal
カラクリ屋敷,STBL-JP071,nomal
時限カラクリ爆弾,STBL-JP072,nomal
スクラップ・クラッシュ,STBL-JP073,nomal
エレキーパー,STBL-JP074,nomal
エクストリオの牙,STBL-JP075,nomal
虚無空間,STBL-JP076,N-Rare
異次元グランド,STBL-JP077,Super
能力吸収石,STBL-JP078,nomal
暴君の威圧,STBL-JP079,Rare
落とし大穴,STBL-JP080,N-Rare
