name,card_id,rare
Ｅ・ＨＥＲＯ ネオス,YSD2-JP001,Parallel
サイバティック・ワイバーン,YSD2-JP002,Normal
機械軍曹,YSD2-JP003,Normal
岩石の巨兵,YSD2-JP004,Normal
忍犬ワンダードッグ,YSD2-JP005,Normal
Ｅ・ＨＥＲＯ クレイマン,YSD2-JP006,Normal
Ｅ・ＨＥＲＯ スパークマン,YSD2-JP007,Normal
Ｖ−タイガー・ジェット,YSD2-JP008,Normal
巨大ネズミ,YSD2-JP009,Normal
人喰い虫,YSD2-JP010,Normal
闇の仮面,YSD2-JP011,Normal
デス・コアラ,YSD2-JP012,Normal
聖鳥クレイン,YSD2-JP013,Normal
スチームロイド,YSD2-JP014,Normal
ドリルロイド,YSD2-JP015,Normal
Ｅ・ＨＥＲＯ ワイルドマン,YSD2-JP016,Normal
Ｎ・フレア・スカラベ,YSD2-JP017,Normal
サブマリンロイド,YSD2-JP018,Normal
暗黒ステゴ,YSD2-JP019,Normal
Ｎ・エア・ハミングバード,YSD2-JP020,Normal
スケープ・ゴート,YSD2-JP021,Normal
悪魔のくちづけ,YSD2-JP022,Normal
突進,YSD2-JP023,Normal
ハリケーン,YSD2-JP024,Normal
早すぎた埋葬,YSD2-JP025,Normal
大嵐,YSD2-JP026,Normal
地砕き,YSD2-JP027,Normal
洗脳−ブレインコントロール,YSD2-JP028,Normal
打ち出の小槌,YSD2-JP029,Normal
摩天楼 −スカイスクレイパー−,YSD2-JP030,Normal
攻撃の無力化,YSD2-JP031,Normal
砂塵の大竜巻,YSD2-JP032,Normal
リビングデッドの呼び声,YSD2-JP033,Normal
落とし穴,YSD2-JP034,Normal
強欲な瓶,YSD2-JP035,Normal
マジック・ジャマー,YSD2-JP036,Normal
炸裂装甲,YSD2-JP037,Normal
蘇りし魂,YSD2-JP038,Normal
魔法の筒,YSD2-JP039,Normal
ジャスティブレイク,YSD2-JP040,Normal
Ｅ・ＨＥＲＯ ネクロダークマン,YSD2-JPS01,N-Parallel
Ｅ・ＨＥＲＯ ネオス,YSD2-JP001,Parallel
サイバティック・ワイバーン,YSD2-JP002,Normal
機械軍曹,YSD2-JP003,Normal
岩石の巨兵,YSD2-JP004,Normal
忍犬ワンダードッグ,YSD2-JP005,Normal
Ｅ・ＨＥＲＯ クレイマン,YSD2-JP006,Normal
Ｅ・ＨＥＲＯ スパークマン,YSD2-JP007,Normal
Ｖ−タイガー・ジェット,YSD2-JP008,Normal
巨大ネズミ,YSD2-JP009,Normal
人喰い虫,YSD2-JP010,Normal
闇の仮面,YSD2-JP011,Normal
デス・コアラ,YSD2-JP012,Normal
聖鳥クレイン,YSD2-JP013,Normal
スチームロイド,YSD2-JP014,Normal
ドリルロイド,YSD2-JP015,Normal
Ｅ・ＨＥＲＯ ワイルドマン,YSD2-JP016,Normal
Ｎ・フレア・スカラベ,YSD2-JP017,Normal
サブマリンロイド,YSD2-JP018,Normal
暗黒ステゴ,YSD2-JP019,Normal
Ｎ・エア・ハミングバード,YSD2-JP020,Normal
スケープ・ゴート,YSD2-JP021,Normal
悪魔のくちづけ,YSD2-JP022,Normal
突進,YSD2-JP023,Normal
ハリケーン,YSD2-JP024,Normal
早すぎた埋葬,YSD2-JP025,Normal
大嵐,YSD2-JP026,Normal
地砕き,YSD2-JP027,Normal
洗脳−ブレインコントロール,YSD2-JP028,Normal
打ち出の小槌,YSD2-JP029,Normal
摩天楼 −スカイスクレイパー−,YSD2-JP030,Normal
攻撃の無力化,YSD2-JP031,Normal
砂塵の大竜巻,YSD2-JP032,Normal
リビングデッドの呼び声,YSD2-JP033,Normal
落とし穴,YSD2-JP034,Normal
強欲な瓶,YSD2-JP035,Normal
マジック・ジャマー,YSD2-JP036,Normal
炸裂装甲,YSD2-JP037,Normal
蘇りし魂,YSD2-JP038,Normal
魔法の筒,YSD2-JP039,Normal
ジャスティブレイク,YSD2-JP040,Normal
Ｅ・ＨＥＲＯ ネクロダークマン,YSD2-JPS01,N-Parallel
