name,card_id,rare
弓を引くマーメイド,PE-01,Normal
千眼の邪教神,PE-02,Normal
幻想師・ノー・フェイス,PE-03,Normal
パロット・ドラゴン,PE-04,Normal
ダーク・ラビット,PE-05,Normal
ホーリー・ドール,PE-06,Normal
トゥーン・アリゲーター,PE-07,Normal
トゥーン・ゴブリン突撃部隊,PE-08,Normal
トゥーン・キャノン・ソルジャー,PE-09,Ultra
トゥーン・ヂェミナイ・エルフ,PE-10,Ultra
トゥーン・仮面魔道士,PE-11,Normal
トゥーン・デーモン,PE-12,Normal
トゥーン・マーメイド,PE-13,Normal
ブルーアイズ・トゥーン・ドラゴン,PE-14,Normal
クリッター,PE-15,Normal
黒き森のウィッチ,PE-16,Normal
聖なる魔術師,PE-17,Normal
センジュ・ゴッド,PE-18,Normal
キラー・トマト,PE-19,Normal
タイム・ボマー,PE-20,Normal
ソニックバード,PE-21,Normal
サクリファイス,PE-22,Normal
強奪,PE-23,Normal
トゥーン・ワールド,PE-24,Normal
サンダー・ボルト,PE-25,Normal
大嵐,PE-26,Normal
クロス・ソウル,PE-27,Normal
心変わり,PE-28,Normal
地割れ,PE-29,Normal
死者蘇生,PE-30,Normal
融合,PE-31,Normal
融合賢者,PE-32,Normal
ハリケーン,PE-33,Normal
悪夢の鉄檻,PE-34,Normal
イリュージョンの儀式,PE-35,Normal
怨霊の湿地帯,PE-36,Normal
トゥーンのもくじ,PE-37,Super
トゥーン・ディフェンス,PE-38,Normal
強欲な瓶,PE-39,Normal
サウザンド・アイズ・サクリファイス,PE-40,Normal
ドラゴン・エッガー,PE-41,Normal
トゥーン・ドラゴン・エッガー,PE-42,Normal
幻想召喚師,PE-43,Normal
ダーク・アイズ・イリュージョニスト,PE-44,Normal
ドリーム・ピエロ,PE-45,Normal
壺魔人,PE-46,Normal
融合解除,PE-47,Normal
ワーム・ホール,PE-48,Normal
シャイン・キャッスル,PE-49,Normal
真実の眼,PE-50,Normal
ドラゴン族・封印の壺,PE-51,Normal
不吉な占い,PE-52,Normal
生命吸収装置,PE-53,Normal
フォースフィールド,PE-54,Normal
正々堂々,PE-55,Normal
弓を引くマーメイド,PE-01,Normal
千眼の邪教神,PE-02,Normal
幻想師・ノー・フェイス,PE-03,Normal
パロット・ドラゴン,PE-04,Normal
ダーク・ラビット,PE-05,Normal
ホーリー・ドール,PE-06,Normal
トゥーン・アリゲーター,PE-07,Normal
トゥーン・ゴブリン突撃部隊,PE-08,Normal
トゥーン・キャノン・ソルジャー,PE-09,Ultra
トゥーン・ヂェミナイ・エルフ,PE-10,Ultra
トゥーン・仮面魔道士,PE-11,Normal
トゥーン・デーモン,PE-12,Normal
トゥーン・マーメイド,PE-13,Normal
ブルーアイズ・トゥーン・ドラゴン,PE-14,Normal
クリッター,PE-15,Normal
黒き森のウィッチ,PE-16,Normal
聖なる魔術師,PE-17,Normal
センジュ・ゴッド,PE-18,Normal
キラー・トマト,PE-19,Normal
タイム・ボマー,PE-20,Normal
ソニックバード,PE-21,Normal
サクリファイス,PE-22,Normal
強奪,PE-23,Normal
トゥーン・ワールド,PE-24,Normal
サンダー・ボルト,PE-25,Normal
大嵐,PE-26,Normal
クロス・ソウル,PE-27,Normal
心変わり,PE-28,Normal
地割れ,PE-29,Normal
死者蘇生,PE-30,Normal
融合,PE-31,Normal
融合賢者,PE-32,Normal
ハリケーン,PE-33,Normal
悪夢の鉄檻,PE-34,Normal
イリュージョンの儀式,PE-35,Normal
怨霊の湿地帯,PE-36,Normal
トゥーンのもくじ,PE-37,Super
トゥーン・ディフェンス,PE-38,Normal
強欲な瓶,PE-39,Normal
サウザンド・アイズ・サクリファイス,PE-40,Normal
ドラゴン・エッガー,PE-41,Normal
トゥーン・ドラゴン・エッガー,PE-42,Normal
幻想召喚師,PE-43,Normal
ダーク・アイズ・イリュージョニスト,PE-44,Normal
ドリーム・ピエロ,PE-45,Normal
壺魔人,PE-46,Normal
融合解除,PE-47,Normal
ワーム・ホール,PE-48,Normal
シャイン・キャッスル,PE-49,Normal
真実の眼,PE-50,Normal
ドラゴン族・封印の壺,PE-51,Normal
不吉な占い,PE-52,Normal
生命吸収装置,PE-53,Normal
フォースフィールド,PE-54,Normal
正々堂々,PE-55,Normal
