name,card_id,rare
ベビードラゴン,SJ2-001,Normal
ワイバーンの戦士,SJ2-002,Normal
ランドスターの剣士,SJ2-003,Normal
アックス・レイダー,SJ2-004,Normal
グレート・アンガス,SJ2-005,Normal
バトルフットボーラー,SJ2-006,Normal
真紅眼の黒竜,SJ2-007,Normal
ギルフォード・ザ・ライトニング,SJ2-008,Ultra
人造人間−サイコ・ショッカー,SJ2-009,Normal
リトル・ウィンガード,SJ2-010,Normal
イグザリオン・ユニバース,SJ2-011,Normal
鉄の騎士 ギア・フリード,SJ2-012,Normal
時の魔術師,SJ2-013,Normal
ならず者傭兵部隊,SJ2-014,Normal
異次元の戦士,SJ2-015,Normal
切り込み隊長,SJ2-016,Normal
トルネード・バード,SJ2-017,Normal
キラー・スネーク,SJ2-018,Normal
ルーレットボマー,SJ2-019,Normal
一刀両断侍,SJ2-020,Normal
天使のサイコロ,SJ2-021,Normal
ハリケーン,SJ2-022,Normal
右手に盾を左手に剣を,SJ2-023,Normal
クイズ,SJ2-024,Normal
増援,SJ2-025,Normal
サイクロン,SJ2-026,Normal
早すぎた埋葬,SJ2-027,Normal
スケープ・ゴート,SJ2-028,Normal
おろかな埋葬,SJ2-029,Ultra
悪魔のサイコロ,SJ2-030,Normal
補充要員,SJ2-031,Normal
亜空間物質転送装置,SJ2-032,Normal
モンスターＢＯＸ,SJ2-033,Normal
マジックアーム・シールド,SJ2-034,Normal
血の代償,SJ2-035,Normal
鎖付きブーメラン,SJ2-036,Normal
鎖付き爆弾,SJ2-037,Normal
奈落の落とし穴,SJ2-038,Normal
ギャンブル,SJ2-039,Normal
墓荒らし,SJ2-040,Normal
アクロバットモンキー,SJ2-041,Normal
鎧蜥蜴,SJ2-042,Normal
魔物の狩人,SJ2-043,Normal
ダイス・ポット,SJ2-044,Normal
幻影の壁,SJ2-045,Normal
治療の神 ディアン・ケト,SJ2-046,Normal
おとり人形,SJ2-047,Normal
セカンド・チャンス,SJ2-048,Normal
勇気の旗印,SJ2-049,Normal
凡骨の意地,SJ2-050,Normal
体力増強剤スーパーＺ,SJ2-051,Normal
ニードル・ウォール,SJ2-052,Normal
無差別破壊,SJ2-053,Normal
強欲な瓶,SJ2-054,Normal
リバースダイス,SJ2-055,Normal
ベビードラゴン,SJ2-001,Normal
ワイバーンの戦士,SJ2-002,Normal
ランドスターの剣士,SJ2-003,Normal
アックス・レイダー,SJ2-004,Normal
グレート・アンガス,SJ2-005,Normal
バトルフットボーラー,SJ2-006,Normal
真紅眼の黒竜,SJ2-007,Normal
ギルフォード・ザ・ライトニング,SJ2-008,Ultra
人造人間−サイコ・ショッカー,SJ2-009,Normal
リトル・ウィンガード,SJ2-010,Normal
イグザリオン・ユニバース,SJ2-011,Normal
鉄の騎士 ギア・フリード,SJ2-012,Normal
時の魔術師,SJ2-013,Normal
ならず者傭兵部隊,SJ2-014,Normal
異次元の戦士,SJ2-015,Normal
切り込み隊長,SJ2-016,Normal
トルネード・バード,SJ2-017,Normal
キラー・スネーク,SJ2-018,Normal
ルーレットボマー,SJ2-019,Normal
一刀両断侍,SJ2-020,Normal
天使のサイコロ,SJ2-021,Normal
ハリケーン,SJ2-022,Normal
右手に盾を左手に剣を,SJ2-023,Normal
クイズ,SJ2-024,Normal
増援,SJ2-025,Normal
サイクロン,SJ2-026,Normal
早すぎた埋葬,SJ2-027,Normal
スケープ・ゴート,SJ2-028,Normal
おろかな埋葬,SJ2-029,Ultra
悪魔のサイコロ,SJ2-030,Normal
補充要員,SJ2-031,Normal
亜空間物質転送装置,SJ2-032,Normal
モンスターＢＯＸ,SJ2-033,Normal
マジックアーム・シールド,SJ2-034,Normal
血の代償,SJ2-035,Normal
鎖付きブーメラン,SJ2-036,Normal
鎖付き爆弾,SJ2-037,Normal
奈落の落とし穴,SJ2-038,Normal
ギャンブル,SJ2-039,Normal
墓荒らし,SJ2-040,Normal
アクロバットモンキー,SJ2-041,Normal
鎧蜥蜴,SJ2-042,Normal
魔物の狩人,SJ2-043,Normal
ダイス・ポット,SJ2-044,Normal
幻影の壁,SJ2-045,Normal
治療の神 ディアン・ケト,SJ2-046,Normal
おとり人形,SJ2-047,Normal
セカンド・チャンス,SJ2-048,Normal
勇気の旗印,SJ2-049,Normal
凡骨の意地,SJ2-050,Normal
体力増強剤スーパーＺ,SJ2-051,Normal
ニードル・ウォール,SJ2-052,Normal
無差別破壊,SJ2-053,Normal
強欲な瓶,SJ2-054,Normal
リバースダイス,SJ2-055,Normal
