name,card_id,rare
真紅眼の黒竜,JY-01,Normal
ランドスターの剣士,JY-02,Super
太陽の戦士,JY-03,Ultra
コマンド・ナイト,JY-04,Ultra
漆黒の豹戦士パンサーウォリアー,JY-05,Normal
人造人間−サイコ・ショッカー,JY-06,Normal
時の魔術師,JY-07,Normal
格闘戦士アルティメーター,JY-08,Normal
ワイバーンの戦士,JY-09,Normal
ベビードラゴン,JY-10,Normal
アックス・レイダー,JY-11,Normal
ものマネ幻想師,JY-12,Normal
ロケット戦士,JY-13,Normal
鉄の騎士 ギア・フリード,JY-14,Normal
隼の騎士,JY-15,Normal
ゴブリン突撃部隊,JY-16,Normal
カラテマン,JY-17,Normal
クリッター,JY-18,Normal
黒き森のウィッチ,JY-19,Normal
ペンギン・ソルジャー,JY-20,Normal
心眼の女神,JY-21,Normal
スケープ・ゴート,JY-22,Normal
デーモンの斧,JY-23,Normal
強欲な壺,JY-24,Normal
ハリケーン,JY-25,Normal
融合,JY-26,Normal
ブラック・ホール,JY-27,Normal
天使のサイコロ,JY-28,Normal
悪魔のサイコロ,JY-29,Normal
落とし穴,JY-30,Normal
鎖付きブーメラン,JY-31,Normal
墓荒らし,JY-32,Normal
リビングデッドの呼び声,JY-33,Normal
砂塵の大竜巻,JY-34,Normal
天使の手鏡,JY-35,Normal
マジックアーム・シールド,JY-36,Normal
千年竜,JY-37,Normal
ドラゴンに乗るワイバーン,JY-38,Normal
岩窟魔人オーガ・ロック,JY-39,Normal
鎧蜥蜴,JY-40,Normal
ガルーザス,JY-41,Normal
タイガー・アックス,JY-42,Normal
ミリス・レディエント,JY-43,Normal
右手に盾を左手に剣を,JY-44,Normal
ガイアパワー,JY-45,Normal
融合賢者,JY-46,Normal
抹殺の使徒,JY-47,Normal
偽物のわな,JY-48,Normal
血の代償,JY-49,Normal
真紅眼の黒竜,JY-01,Normal
ランドスターの剣士,JY-02,Super
太陽の戦士,JY-03,Ultra
コマンド・ナイト,JY-04,Ultra
漆黒の豹戦士パンサーウォリアー,JY-05,Normal
人造人間−サイコ・ショッカー,JY-06,Normal
時の魔術師,JY-07,Normal
格闘戦士アルティメーター,JY-08,Normal
ワイバーンの戦士,JY-09,Normal
ベビードラゴン,JY-10,Normal
アックス・レイダー,JY-11,Normal
ものマネ幻想師,JY-12,Normal
ロケット戦士,JY-13,Normal
鉄の騎士 ギア・フリード,JY-14,Normal
隼の騎士,JY-15,Normal
ゴブリン突撃部隊,JY-16,Normal
カラテマン,JY-17,Normal
クリッター,JY-18,Normal
黒き森のウィッチ,JY-19,Normal
ペンギン・ソルジャー,JY-20,Normal
心眼の女神,JY-21,Normal
スケープ・ゴート,JY-22,Normal
デーモンの斧,JY-23,Normal
強欲な壺,JY-24,Normal
ハリケーン,JY-25,Normal
融合,JY-26,Normal
ブラック・ホール,JY-27,Normal
天使のサイコロ,JY-28,Normal
悪魔のサイコロ,JY-29,Normal
落とし穴,JY-30,Normal
鎖付きブーメラン,JY-31,Normal
墓荒らし,JY-32,Normal
リビングデッドの呼び声,JY-33,Normal
砂塵の大竜巻,JY-34,Normal
天使の手鏡,JY-35,Normal
マジックアーム・シールド,JY-36,Normal
千年竜,JY-37,Normal
ドラゴンに乗るワイバーン,JY-38,Normal
岩窟魔人オーガ・ロック,JY-39,Normal
鎧蜥蜴,JY-40,Normal
ガルーザス,JY-41,Normal
タイガー・アックス,JY-42,Normal
ミリス・レディエント,JY-43,Normal
右手に盾を左手に剣を,JY-44,Normal
ガイアパワー,JY-45,Normal
融合賢者,JY-46,Normal
抹殺の使徒,JY-47,Normal
偽物のわな,JY-48,Normal
血の代償,JY-49,Normal
