name,card_id,rare
サウザンド・アイズ・サクリファイス,,nomal
転生炎獣レイジング・フェニックス,,nomal
ＤＤＤＤ偉次元王アーク・クライシス,,nomal
サモン・リアクター・ＡＩ,,nomal
サクリファイス・ソード,,nomal
サイボーグドクター,,nomal
サイバネティック・マジシャン,,nomal
サイバネティック・ヒドゥン・テクノロジー,,nomal
サイバネティック・ゾーン,,nomal
サイバー・ジムナティクス,,nomal
サイバー・シャドー・ガードナー,,nomal
サイコジャンパー,,nomal
アマゾネスの射手,,禁止・制限カードの経験を持つのは・《生還の宝札》・《団結の力》・《魔導師の力》・《激流葬》の５枚。
ビッグバンガール,,【キュアバーン】の、【侍ＢＯＸ】の《モンスターＢＯＸ》など、一癖あるデッキのキーカードたちが収録されている。
青眼の白龍,,再録カードは。
仮面魔獣マスクド・ヘルレイザー,SM-00,Secret
仮面魔獣マスクド・ヘルレイザー,SM-00,Ultimate
ランドスターの剣士,SM-01,nomal
ヒューマノイド・スライム,SM-02,nomal
ワームドレイク,SM-03,nomal
ヒューマノイド・ドレイク,SM-04,nomal
リバイバルスライム,SM-05,Super
フライング・フィッシュ,SM-06,nomal
半魚獣・フィッシャービースト,SM-07,nomal
シャイン・アビス,SM-08,nomal
ガジェット・ソルジャー,SM-09,nomal
仮面呪術師カースド・ギュラ,SM-10,N-Rare
メルキド四面獣,SM-11,nomal
女邪神ヌヴィア,SM-12,Ultra
女邪神ヌヴィア,SM-12,Parallel
選ばれし者,SM-13,Rare
弱体化の仮面,SM-14,nomal
仮面魔獣の儀式,SM-15,nomal
魔力無力化の仮面,SM-16,Super
生贄封じの仮面,SM-17,Ultra
生贄封じの仮面,SM-17,Parallel
呪魂の仮面,SM-18,Super
凶暴化の仮面,SM-19,nomal
死者の生還,SM-20,Rare
稲妻の剣,SM-21,nomal
竜巻海流壁,SM-22,nomal
モンスターＢＯＸ,SM-23,nomal
激流葬,SM-24,Rare
スライム増殖炉,SM-25,Rare
無限の手札,SM-26,nomal
ディフェンド・スライム,SM-27,nomal
生還の宝札,SM-28,Ultra
生還の宝札,SM-28,Parallel
女豹の傭兵,SM-29,nomal
味方殺しの女騎士,SM-30,nomal
アマゾネスの射手,SM-31,nomal
紅蓮の女守護兵,SM-32,nomal
ビッグバンガール,SM-33,Super
炎の女暗殺者,SM-34,nomal
ファイヤーソーサラー,SM-35,nomal
そよ風の精霊,SM-36,nomal
踊る妖精,SM-37,nomal
ピクシーガーディアン,SM-38,nomal
女帝カマキリ,SM-39,nomal
プリンセス人魚,SM-40,nomal
ヒステリック天使,SM-41,nomal
バイオ僧侶,SM-42,nomal
慈悲深き修道女,SM-43,nomal
聖女ジャンヌ,SM-44,nomal
堕天使マリー,SM-45,Rare
強欲な瓶,SM-46,nomal
幻惑の巻物,SM-47,nomal
団結の力,SM-48,nomal
魔導師の力,SM-49,nomal
死者への供物,SM-50,Rare
青眼の白龍,SM-51,Ultimate
