name,card_id,rare
エーリアン・ソルジャー,TAEV-JP001,nomal
ヴォルカニック・ラット,TAEV-JP002,nomal
暗黒界の番兵 レンジ,TAEV-JP003,nomal
ハウンド・ドラゴン,TAEV-JP004,Rare
ヴェノム・コブラ,TAEV-JP005,nomal
究極宝玉神 レインボー・ドラゴン,TAEV-JP006,Ultra
究極宝玉神 レインボー・ドラゴン,TAEV-JP006,Ultimate
究極宝玉神 レインボー・ドラゴン,TAEV-JP006,Holographic
Ｃ・パンテール,TAEV-JP007,nomal
Ｃ・チッキー,TAEV-JP008,nomal
Ｃ・ピニー,TAEV-JP009,nomal
Ｃ・ラーバ,TAEV-JP010,nomal
Ｃ・モーグ,TAEV-JP011,nomal
ネクロ・ガードナー,TAEV-JP012,Rare
毒蛇神ヴェノミナーガ,TAEV-JP013,Ultra
毒蛇神ヴェノミナーガ,TAEV-JP013,Ultimate
毒蛇王ヴェノミノン,TAEV-JP014,Super
ヴェノム・スネーク,TAEV-JP015,nomal
ヴェノム・ボア,TAEV-JP016,nomal
ヴェノム・サーペント,TAEV-JP017,nomal
Ｅ・ＨＥＲＯ アナザー・ネオス,TAEV-JP018,Super
ヘルカイザー・ドラゴン,TAEV-JP019,Ultra
ヘルカイザー・ドラゴン,TAEV-JP019,Ultimate
水面のアレサ,TAEV-JP020,Super
幸運の笛吹き,TAEV-JP021,Super
ヴァリュアブル・アーマー,TAEV-JP022,Rare
巨人ゴーグル,TAEV-JP023,nomal
サンライズ・ガードナー,TAEV-JP024,nomal
魔族召喚師,TAEV-JP025,Super
灼熱王パイロン,TAEV-JP026,nomal
シャドウ・ダイバー,TAEV-JP027,Rare
フリントロック,TAEV-JP028,nomal
グラビティ・ボール,TAEV-JP029,nomal
幻影コオロギ,TAEV-JP030,nomal
水晶の占い師,TAEV-JP031,N-Rare
ネオスペース・コンダクター,TAEV-JP032,Rare
氷炎の双竜,TAEV-JP033,Super
デザート・ツイスター,TAEV-JP034,Super
儀式の供物,TAEV-JP035,nomal
カミソーリトカゲ,TAEV-JP036,nomal
ホーリーフレーム,TAEV-JP037,nomal
ダークフレーム,TAEV-JP038,nomal
ゾンビ・マスター,TAEV-JP039,Rare
Ｎ・マリン・ドルフィン,TAEV-JP040,nomal
Ｅ・ＨＥＲＯ マリン・ネオス,TAEV-JP041,Rare
Ｅ・ＨＥＲＯ ダーク・ブライトマン,TAEV-JP042,Super
Ｅ・ＨＥＲＯ マグマ・ネオス,TAEV-JP043,Ultra
Ｅ・ＨＥＲＯ マグマ・ネオス,TAEV-JP043,Ultimate
おジャマ・ナイト,TAEV-JP044,nomal
ホープ・オブ・フィフス,TAEV-JP045,Rare
リバース・オブ・ネオス,TAEV-JP046,nomal
コンバート・コンタクト,TAEV-JP047,nomal
コクーン・パーティ,TAEV-JP048,nomal
ＮＥＸ,TAEV-JP049,nomal
コクーン・リボーン,TAEV-JP050,nomal
ヴェノム・スワンプ,TAEV-JP051,nomal
スネーク・レイン,TAEV-JP052,Rare
ヴェノム・ショット,TAEV-JP053,nomal
サイバーダーク・インパクト！,TAEV-JP054,Super
フリント・アタック,TAEV-JP055,nomal
二重召喚,TAEV-JP056,Rare
召喚師のスキル,TAEV-JP057,Rare
鹵獲装置,TAEV-JP058,Rare
守護神の矛,TAEV-JP059,nomal
戦線復活の代償,TAEV-JP060,N-Rare
下克上の首飾り,TAEV-JP061,Rare
折れ竹光,TAEV-JP062,N-Rare
異次元トンネル－ミラーゲート－,TAEV-JP063,Ultra
異次元トンネル－ミラーゲート－,TAEV-JP063,Ultimate
ヒーロー逆襲,TAEV-JP064,nomal
コクーン・ヴェール,TAEV-JP065,nomal
スネーク・ホイッスル,TAEV-JP066,nomal
ダメージ＝レプトル,TAEV-JP067,nomal
蛇神の勅命,TAEV-JP068,Rare
蛇神降臨,TAEV-JP069,nomal
反撃の毒牙,TAEV-JP070,nomal
ヴェノム・スプラッシュ,TAEV-JP071,nomal
凡人の施し,TAEV-JP072,Rare
破滅へのクイック・ドロー,TAEV-JP073,nomal
シールドスピア,TAEV-JP074,nomal
ストライク・ショット,TAEV-JP075,nomal
マジック・キャプチャー,TAEV-JP076,Rare
トラップ・キャプチャー,TAEV-JP077,Rare
ギフトカード,TAEV-JP078,N-Rare
強欲な贈り物,TAEV-JP079,nomal
カウンター・カウンター,TAEV-JP080,Rare
