name,card_id,rare
氷霊山の龍祖 ランセア,TW01-JP001,Ultra
氷霊山の龍祖 ランセア,TW01-JP001,Quarter Century Secret
氷結界の剣士 ゲオルギアス,TW01-JP002,Ultra
氷結界の鏡魔師,TW01-JP003,Ultra
氷結界に至る晶域,TW01-JP004,Ultra
氷結界の番人 ブリズド,TW01-JP005,nomal
ブリザード・ウォリアー,TW01-JP006,nomal
氷結界の術者,TW01-JP007,nomal
氷弾使いレイス,TW01-JP008,nomal
氷結界のロイヤル・ナイト,TW01-JP009,nomal
氷結界に住む魔酔虫,TW01-JP010,nomal
氷結界の大僧正,TW01-JP011,nomal
氷結界の交霊師,TW01-JP012,nomal
氷結界の修験者,TW01-JP013,nomal
氷結界の風水師,TW01-JP014,nomal
氷結界の決起隊,TW01-JP015,nomal
氷結界の武士,TW01-JP016,nomal
氷結界の水影,TW01-JP017,nomal
氷結界の輸送部隊,TW01-JP018,nomal
氷結界の封魔団,TW01-JP019,nomal
氷結界の虎将 グルナード,TW01-JP020,nomal
氷結界の守護陣,TW01-JP021,nomal
氷結界の破術師,TW01-JP022,nomal
氷結界の神精霊,TW01-JP023,nomal
氷結界の虎将 ライホウ,TW01-JP024,Super
氷結界の軍師,TW01-JP025,nomal
氷結界の御庭番,TW01-JP026,nomal
氷結界の虎将 ガンターラ,TW01-JP027,nomal
氷結界の舞姫,TW01-JP028,nomal
氷結界の伝道師,TW01-JP029,nomal
氷結界の虎将 ウェイン,TW01-JP030,nomal
氷結界の照魔師,TW01-JP031,Super
氷結界の依巫,TW01-JP032,Super
氷結界の霜精,TW01-JP033,Super
氷結界の随身,TW01-JP034,nomal
氷結界の浄玻璃,TW01-JP035,nomal
氷結界の龍 ブリューナク,TW01-JP036,Super
氷結界の虎王 ドゥローレン,TW01-JP037,Super
氷結界の龍 グングニール,TW01-JP038,Super
氷結界の龍 トリシューラ,TW01-JP039,Ultra
氷結界の龍 トリシューラ,TW01-JP039,Quarter Century Secret
氷結界の還零龍 トリシューラ,TW01-JP040,Ultra
氷結界の三方陣,TW01-JP041,nomal
氷結界の紋章,TW01-JP042,Super
氷結界の紋章,TW01-JP042,Quarter Century Secret
氷結界の鏡,TW01-JP043,nomal
氷結界に至る晴嵐,TW01-JP044,Super
氷結界の晶壁,TW01-JP045,nomal
戦火の残滓,TW01-JP046,nomal
トリシューラの鼓動,TW01-JP047,nomal
煉獄の落とし穴,TW01-JP048,nomal
天龍雪獄,TW01-JP049,nomal
Ａ・Ｏ・Ｇ リターンゼロ,TW01-JP050,Ultra
Ａ・Ｏ・Ｇ リターンゼロ,TW01-JP050,Quarter Century Secret
リペア・ジェネクス・コントローラー,TW01-JP051,Ultra
リペア・ジェネクス・コントローラー,TW01-JP051,Quarter Century Secret
レアル・ジェネクス・ウンディーネ,TW01-JP052,Ultra
レアル・ジェネクス・チューリング,TW01-JP053,Ultra
ジェネクス・コントローラー,TW01-JP054,Ultra
ジェネクス・ウンディーネ,TW01-JP055,Super
ジェネクス・パワー・プランナー,TW01-JP056,Super
ジェネクス・サーチャー,TW01-JP057,nomal
ジェネクス・ワーカー,TW01-JP058,nomal
ジェネクス・ニュートロン,TW01-JP059,nomal
ジェネクス・ヒート,TW01-JP060,nomal
ジェネクス・ガイア,TW01-JP061,nomal
スペア・ジェネクス,TW01-JP062,nomal
タービン・ジェネクス,TW01-JP063,nomal
ジェネクス・ドクター,TW01-JP064,nomal
ソーラー・ジェネクス,TW01-JP065,nomal
ジェネクス・ブラスト,TW01-JP066,nomal
リサイクル・ジェネクス,TW01-JP067,nomal
アーミー・ジェネクス,TW01-JP068,nomal
レアル・ジェネクス・ターボ,TW01-JP069,Super
レアル・ジェネクス・コーディネイター,TW01-JP070,nomal
レアル・ジェネクス・クラッシャー,TW01-JP071,Super
レアル・ジェネクス・マグナ,TW01-JP072,Super
レアル・ジェネクス・アクセラレーター,TW01-JP073,nomal
レアル・ジェネクス・オラクル,TW01-JP074,nomal
レアル・ジェネクス・ウルティマム,TW01-JP075,nomal
Ａ・ジェネクス・ドゥルダーク,TW01-JP076,nomal
Ａ・ジェネクス・リモート,TW01-JP077,nomal
Ａ・ジェネクス・パワーコール,TW01-JP078,nomal
Ａ・ジェネクス・チェンジャー,TW01-JP079,nomal
Ａ・ジェネクス・ボルキャノン,TW01-JP080,nomal
Ａ・ジェネクス・ソリッド,TW01-JP081,nomal
Ａ・ジェネクス・ケミストリ,TW01-JP082,nomal
Ａ・ジェネクス・バードマン,TW01-JP083,Ultra
Ａ・ジェネクス・バードマン,TW01-JP083,Quarter Century Secret
Ａ・ジェネクス・ベルフレイム,TW01-JP084,nomal
Ａ・ジェネクス・クラッシャー,TW01-JP085,nomal
Ａ・ジェネクス・リバイバー,TW01-JP086,nomal
ハイドロ・ジェネクス,TW01-JP087,nomal
サーマル・ジェネクス,TW01-JP088,nomal
ジオ・ジェネクス,TW01-JP089,nomal
ウィンドファーム・ジェネクス,TW01-JP090,nomal
レアル・ジェネクス・クロキシアン,TW01-JP091,Super
レアル・ジェネクス・ヴィンディカイト,TW01-JP092,nomal
Ａ・ジェネクス・トライアーム,TW01-JP093,nomal
Ａ・ジェネクス・トライフォース,TW01-JP094,nomal
Ａ・ジェネクス・アクセル,TW01-JP095,Super
最期の同調,TW01-JP096,nomal
インフェルノイド・イヴィル,TW01-JP097,Ultra
インフェルノイド・フラッド,TW01-JP098,Ultra
インフェルノイド・フラッド,TW01-JP098,Quarter Century Secret
熾動する煉獄,TW01-JP099,Ultra
煉獄の決界,TW01-JP100,Ultra
インフェルノイド・ベルゼブル,TW01-JP101,Super
インフェルノイド・ルキフグス,TW01-JP102,Super
インフェルノイド・アスタロス,TW01-JP103,Super
インフェルノイド・アシュメダイ,TW01-JP104,Super
インフェルノイド・ヴァエル,TW01-JP105,Super
インフェルノイド・アドラメレク,TW01-JP106,Super
インフェルノイド・ネヘモス,TW01-JP107,Super
インフェルノイド・ネヘモス,TW01-JP107,Quarter Century Secret
インフェルノイド・シャイターン,TW01-JP108,Super
インフェルノイド・ベルフェゴル,TW01-JP109,Super
インフェルノイド・リリス,TW01-JP110,Super
インフェルノイド・デカトロン,TW01-JP111,Ultra
インフェルノイド・ティエラ,TW01-JP112,Super
煉獄の死徒,TW01-JP113,nomal
煉獄の氾爛,TW01-JP114,nomal
煉獄の消華,TW01-JP115,Super
煉獄の虚夢,TW01-JP116,Ultra
煉獄の虚夢,TW01-JP116,Quarter Century Secret
煉獄の災天,TW01-JP117,nomal
蒼焔の煉獄,TW01-JP118,nomal
殻醒する煉獄,TW01-JP119,nomal
遡洸する煉獄,TW01-JP120,nomal
煉獄の狂宴,TW01-JP121,Super
精霊獣使い レラ,TW01-JP122,Ultra
精霊獣使い レラ,TW01-JP122,Quarter Century Secret
聖霊獣騎 ノチウドラゴ,TW01-JP123,Ultra
聖霊獣騎 レイラウタリ,TW01-JP124,Ultra
聖霊獣騎 レイラウタリ,TW01-JP124,Quarter Century Secret
霊獣の継聖,TW01-JP125,Ultra
霊獣使い レラ,TW01-JP126,Super
霊獣使いの長老,TW01-JP127,Super
霊獣使い ウェン,TW01-JP128,Super
精霊獣 アペライオ,TW01-JP129,nomal
精霊獣 ペトルフィン,TW01-JP130,Super
精霊獣 カンナホーク,TW01-JP131,Super
精霊獣 ラムペンタ,TW01-JP132,nomal
英霊獣使い－セフィラムピリカ,TW01-JP133,nomal
影霊獣使い－セフィラウェンディ,TW01-JP134,nomal
精霊獣使い ウィンダ,TW01-JP135,Super
聖霊獣騎 アペライオ,TW01-JP136,Super
聖霊獣騎 ペトルフィン,TW01-JP137,Super
聖霊獣騎 カンナホーク,TW01-JP138,Ultra
聖霊獣騎 カンナホーク,TW01-JP138,Quarter Century Secret
聖霊獣騎 ガイアペライオ,TW01-JP139,Super
聖霊獣騎 キムンファルコス,TW01-JP140,Super
霊獣の相絆,TW01-JP141,Ultra
霊獣の誓還,TW01-JP142,nomal
霊獣の連契,TW01-JP143,Super
霊獣の騎襲,TW01-JP144,nomal
神の摂理,TW01-JP145,nomal
