name,card_id,rare
ワタポン,GDB1-JP001,nomal
ダンディライオン,GDB1-JP002,nomal
マシュマロン,GDB1-JP003,nomal
人造人間－サイコ・ショッカー,GDB1-JP004,nomal
封印されしエクゾディア,GDB1-JP005,nomal
クリッター,GDB1-JP006,nomal
サイバー・ドラゴン,GDB1-JP007,nomal
風帝ライザー,GDB1-JP008,nomal
オネスト,GDB1-JP009,nomal
氷結界の龍 ブリューナク,GDB1-JP010,nomal
サイクロン,GDB1-JP011,nomal
光の護封剣,GDB1-JP012,nomal
死者蘇生,GDB1-JP013,nomal
大嵐,GDB1-JP014,nomal
スケープ・ゴート,GDB1-JP015,nomal
激流葬,GDB1-JP016,nomal
聖なるバリア －ミラーフォース－,GDB1-JP017,nomal
王宮のお触れ,GDB1-JP018,nomal
奈落の落とし穴,GDB1-JP019,nomal
死のデッキ破壊ウイルス,GDB1-JP020,nomal
神獣王バルバロス,GDB1-JP021,nomal
マジシャンズ・ヴァルキリア,GDB1-JP022,nomal
メタモルポット,GDB1-JP023,nomal
魂を削る死霊,GDB1-JP024,nomal
氷帝メビウス,GDB1-JP025,nomal
魔導戦士 ブレイカー,GDB1-JP026,nomal
ならず者傭兵部隊,GDB1-JP027,nomal
ダーク・アームド・ドラゴン,GDB1-JP028,nomal
裁きの龍,GDB1-JP029,nomal
Ａ・Ｏ・Ｊ カタストル,GDB1-JP030,nomal
月の書,GDB1-JP031,nomal
洗脳－ブレインコントロール,GDB1-JP032,nomal
地割れ,GDB1-JP033,nomal
ライトニング・ボルテックス,GDB1-JP034,nomal
ハリケーン,GDB1-JP035,nomal
スキルドレイン,GDB1-JP036,nomal
リビングデッドの呼び声,GDB1-JP037,nomal
神の宣告,GDB1-JP038,nomal
魔法の筒,GDB1-JP039,nomal
炸裂装甲,GDB1-JP040,nomal
闇の仮面,GDB1-JP041,nomal
霊滅術師 カイクウ,GDB1-JP042,nomal
お注射天使リリー,GDB1-JP043,nomal
異次元の女戦士,GDB1-JP044,nomal
カオス・ソーサラー,GDB1-JP045,nomal
炎帝テスタロス,GDB1-JP046,nomal
ライトロード・ハンター ライコウ,GDB1-JP047,nomal
キメラテック・フォートレス・ドラゴン,GDB1-JP048,nomal
氷結界の龍 グングニール,GDB1-JP049,nomal
氷結界の龍 トリシューラ,GDB1-JP050,nomal
抹殺の使徒,GDB1-JP051,nomal
ブラック・ホール,GDB1-JP052,nomal
団結の力,GDB1-JP053,nomal
フォース,GDB1-JP054,nomal
終焉の焔,GDB1-JP055,nomal
砂塵の大竜巻,GDB1-JP056,nomal
停戦協定,GDB1-JP057,nomal
落とし穴,GDB1-JP058,nomal
強制脱出装置,GDB1-JP059,nomal
万能地雷グレイモヤ,GDB1-JP060,nomal
カオスポッド,GDB1-JP061,nomal
昇霊術師 ジョウゲン,GDB1-JP062,nomal
溶岩魔神ラヴァ・ゴーレム,GDB1-JP063,nomal
カオス・ソルジャー －開闢の使者－,GDB1-JP064,nomal
雷帝ザボルグ,GDB1-JP065,nomal
Ｄ.Ｄ.クロウ,GDB1-JP066,nomal
終末の騎士,GDB1-JP067,nomal
ローンファイア・ブロッサム,GDB1-JP068,nomal
スターダスト・ドラゴン,GDB1-JP069,nomal
発条機雷ゼンマイン,GDB1-JP070,nomal
魂の解放,GDB1-JP071,nomal
強制転移,GDB1-JP072,nomal
王家の眠る谷－ネクロバレー,GDB1-JP073,nomal
エネミーコントローラー,GDB1-JP074,nomal
強欲で謙虚な壺,GDB1-JP075,nomal
グラヴィティ・バインド－超重力の網－,GDB1-JP076,nomal
ウィジャ盤,GDB1-JP077,nomal
ゴッドバードアタック,GDB1-JP078,nomal
次元幽閉,GDB1-JP079,nomal
スターライト・ロード,GDB1-JP080,nomal
