name,card_id,rare
青眼の白龍,TRC1-JP000,Holographic
ブラック・マジシャン,TRC1-JP001,Ex-Secret
死者蘇生,TRC1-JP002,Ultimate
Ｅ・ＨＥＲＯ ネオス,TRC1-JP003,Ex-Secret
超融合,TRC1-JP004,Ultimate
スターダスト・ドラゴン,TRC1-JP005,Ex-Secret
スターライト・ロード,TRC1-JP006,Ultimate
Ｎｏ.３９ 希望皇ホープ,TRC1-JP007,Ex-Secret
ＲＵＭ－アストラル・フォース,TRC1-JP008,Ultimate
オッドアイズ・ペンデュラム・ドラゴン,TRC1-JP009,Ex-Secret
レッドアイズ・ダークネスメタルドラゴン,TRC1-JP010,Ultra
デブリ・ドラゴン,TRC1-JP011,nomal
Ｅ・ＨＥＲＯ プリズマー,TRC1-JP012,nomal
召喚僧サモンプリースト,TRC1-JP013,nomal
大天使クリスティア,TRC1-JP014,nomal
堕天使アスモディウス,TRC1-JP015,nomal
堕天使スペルビア,TRC1-JP016,nomal
インフェルニティ・デーモン,TRC1-JP017,nomal
魔界発現世行きデスガイド,TRC1-JP018,nomal
馬頭鬼,TRC1-JP019,nomal
レスキューラビット,TRC1-JP020,nomal
熱血獣士ウルフバーク,TRC1-JP021,nomal
ライトロード・アーチャー フェリス,TRC1-JP022,nomal
ダーク・シムルグ,TRC1-JP023,nomal
クレーンクレーン,TRC1-JP024,nomal
カメンレオン,TRC1-JP025,nomal
増殖するＧ,TRC1-JP026,nomal
サンダー・シーホース,TRC1-JP027,Ultra
サイバー・エンド・ドラゴン,TRC1-JP028,nomal
ナチュル・エクストリオ,TRC1-JP029,nomal
氷結界の龍 トリシューラ,TRC1-JP030,Ultra
ドラグニティナイト－ヴァジュランダ,TRC1-JP031,nomal
ナチュル・パルキオン,TRC1-JP032,nomal
クリムゾン・ブレーダー,TRC1-JP033,Ultra
ＴＧ ハイパー・ライブラリアン,TRC1-JP034,Ultra
フォーミュラ・シンクロン,TRC1-JP035,Ultra
神竜騎士フェルグラント,TRC1-JP036,Ultra
ガガガガンマン,TRC1-JP037,nomal
ラヴァルバル・チェイン,TRC1-JP038,Ultra
虚空海竜リヴァイエール,TRC1-JP039,nomal
召喚師のスキル,TRC1-JP040,nomal
簡易融合,TRC1-JP041,nomal
闇の誘惑,TRC1-JP042,nomal
月の書,TRC1-JP043,nomal
炎舞－「天キ」,TRC1-JP044,nomal
ブレイクスルー・スキル,TRC1-JP045,Ultra
強制脱出装置,TRC1-JP046,Ultra
虚無空間,TRC1-JP047,nomal
デモンズ・チェーン,TRC1-JP048,nomal
魔封じの芳香,TRC1-JP049,nomal
方舟の選別,TRC1-JP050,nomal
