name,card_id,rare
ＢＦ－熱風のギブリ,TSHD-JP001,nomal
ＢＦ－逆風のガスト,TSHD-JP002,Rare
ＢＦ－そよ風のブリーズ,TSHD-JP003,Super
チェンジ・シンクロン,TSHD-JP004,nomal
カード・ブレイカー,TSHD-JP005,Rare
セカンド・ブースター,TSHD-JP006,nomal
インターセプト・デーモン,TSHD-JP007,nomal
ドレッド・ドラゴン,TSHD-JP008,Rare
トラスト・ガーディアン,TSHD-JP009,Super
フレア・リゾネーター,TSHD-JP010,nomal
シンクロ・マグネーター,TSHD-JP011,nomal
インフェルニティ・ミラージュ,TSHD-JP012,nomal
インフェルニティ・リローダー,TSHD-JP013,nomal
インフェルニティ・ビートル,TSHD-JP014,nomal
インフェルニティ・リベンジャー,TSHD-JP015,Rare
返り咲く薔薇の大輪,TSHD-JP016,Rare
Ｄ・クリーナン,TSHD-JP017,Rare
ローズ・バード,TSHD-JP018,Super
スポーア,TSHD-JP019,nomal
フェアリー・アーチャー,TSHD-JP020,nomal
バイオファルコン,TSHD-JP021,nomal
プチトマボー,TSHD-JP022,Rare
マジドッグ,TSHD-JP023,Super
光霊使いライナ,TSHD-JP024,nomal
エレキリン,TSHD-JP025,Super
エレキツネ,TSHD-JP026,nomal
エレキツツキ,TSHD-JP027,nomal
コアキメイル・サンドマン,TSHD-JP028,Rare
記憶破壊王,TSHD-JP029,nomal
デルタトライ,TSHD-JP030,Rare
トライゴン,TSHD-JP031,nomal
かつて神と呼ばれた亀,TSHD-JP032,N-Rare
粋カエル,TSHD-JP033,Rare
電池メン－単四型,TSHD-JP034,nomal
燃料電池メン,TSHD-JP035,Rare
キーマウス,TSHD-JP036,nomal
Ａ・Ｏ・Ｊ コアデストロイ,TSHD-JP037,nomal
黒羽を狩る者,TSHD-JP038,N-Rare
神光の宣告者,TSHD-JP039,Super
ブラックフェザー・ドラゴン,TSHD-JP040,Ultra
ブラックフェザー・ドラゴン,TSHD-JP040,Ultimate
ブラックフェザー・ドラゴン,TSHD-JP040,Holographic
デーモン・カオス・キング,TSHD-JP041,Ultra
デーモン・カオス・キング,TSHD-JP041,Ultimate
インフェルニティ・デス・ドラゴン,TSHD-JP042,Ultra
インフェルニティ・デス・ドラゴン,TSHD-JP042,Ultimate
スプレンディッド・ローズ,TSHD-JP043,Ultra
スプレンディッド・ローズ,TSHD-JP043,Ultimate
カオス・ゴッデス－混沌の女神－,TSHD-JP044,Ultra
カオス・ゴッデス－混沌の女神－,TSHD-JP044,Ultimate
ブラックフェザー・シュート,TSHD-JP045,nomal
黒羽の宝札,TSHD-JP046,Rare
ＺＥＲＯ－ＭＡＸ,TSHD-JP047,Rare
インフェルニティガン,TSHD-JP048,nomal
無の煉獄,TSHD-JP049,Rare
妨害電波,TSHD-JP050,Super
奇跡のピラミッド,TSHD-JP051,nomal
天空の泉,TSHD-JP052,nomal
ドラゴンレーザー,TSHD-JP053,nomal
エレキューブ,TSHD-JP054,nomal
電磁シールド,TSHD-JP055,nomal
ワーム・コール,TSHD-JP056,nomal
氷結界の三方陣,TSHD-JP057,nomal
鋼核初期化,TSHD-JP058,nomal
宣告者の預言,TSHD-JP059,nomal
墓地封印,TSHD-JP060,Rare
シャイニング・アブソーブ,TSHD-JP061,nomal
苦痛の回廊,TSHD-JP062,N-Rare
パワー・フレーム,TSHD-JP063,Super
ＢＦ－バックフラッシュ,TSHD-JP064,nomal
ＢＦ－アンカー,TSHD-JP065,nomal
ブラック・サンダー,TSHD-JP066,nomal
ボム・ガード,TSHD-JP067,Rare
インフェルニティ・リフレクター,TSHD-JP068,nomal
インフェルニティ・ブレイク,TSHD-JP069,nomal
ダメージ・ゲート,TSHD-JP070,Super
インフェルニティ・インフェルノ,TSHD-JP071,Rare
ハンドレス・フェイク,TSHD-JP072,nomal
アサルト・スピリッツ,TSHD-JP073,nomal
ブロッサム・ボンバー,TSHD-JP074,nomal
Ｄ・スクランブル,TSHD-JP075,nomal
パワー・ブレイク,TSHD-JP076,nomal
コアキメイルの障壁,TSHD-JP077,nomal
異次元への隙間,TSHD-JP078,Rare
シンクロ・イジェクション,TSHD-JP079,nomal
混沌の落とし穴,TSHD-JP080,N-Rare
