name,card_id,rare
悪の無名戦士,,nomal
アシッドクロウラー,,nomal
ウィング・エッグ・エルフ,,nomal
カッター・ロボ,,nomal
キラー・ビー,,nomal
グレムリン,,nomal
スネーク・パーム,,nomal
ダークシェイド,,nomal
ダーク・ラビット,,nomal
ディスク・マジシャン,,nomal
トードマスター,,nomal
泥に潜み棲むもの,,nomal
Ｂ・プラント,,nomal
響女,,nomal
氷,,nomal
ひょうすべ,,nomal
ペイルビースト,,nomal
マジカル・ゴースト,,nomal
マスター・アン・エキスパート,,nomal
鎧ネズミ,,nomal
鎧武者ゾンビ,,nomal
レオグン,,nomal
仮面魔道士,,nomal
女王の影武者,,nomal
人造人間７号,,nomal
大王目玉,,nomal
白い泥棒,,nomal
魔法のランプ,,nomal
ミスター・ボンバー,,nomal
ラージマウス,,nomal
ラーバモス,,nomal
レインボー・フラワー,,nomal
レッグル,,nomal
裁きを下す女帝,,nomal
轟きの大海蛇,,nomal
バラに棲む悪霊,,nomal
魂の解放,,nomal
