name,card_id,rare
アルカナ トライアンフジョーカー,WPP2-JP001,Ultra
アルカナ トライアンフジョーカー,WPP2-JP001,Secret
ジョーカーズ・ナイト,WPP2-JP002,Ultra
ジョーカーズ・ナイト,WPP2-JP002,Secret
インペリアル・バウアー,WPP2-JP003,Super
インペリアル・バウアー,WPP2-JP003,Secret
ジョーカーズ・ストレート,WPP2-JP004,Super
ジョーカーズ・ストレート,WPP2-JP004,Secret
絵札融合,WPP2-JP005,Rare
神速召喚,WPP2-JP006,nomal
ジョーカーズ・ワイルド,WPP2-JP007,Super
ジョーカーズ・ワイルド,WPP2-JP007,Secret
絵札の絆,WPP2-JP008,nomal
ジャックス・ナイト,WPP2-JP009,Normal
ジャックス・ナイト,WPP2-JP009,Secret
クィーンズ・ナイト,WPP2-JP010,Normal
クィーンズ・ナイト,WPP2-JP010,Secret
キングス・ナイト,WPP2-JP011,Normal
キングス・ナイト,WPP2-JP011,Secret
アルカナ ナイトジョーカー,WPP2-JP012,Normal
アルカナ ナイトジョーカー,WPP2-JP012,Secret
アルカナ エクストラジョーカー,WPP2-JP013,Normal
アルカナ エクストラジョーカー,WPP2-JP013,Secret
被検体ミュートリアＭ－０５,WPP2-JP014,Super
被検体ミュートリアＭ－０５,WPP2-JP014,Secret
被検体ミュートリアＳＴ－４６,WPP2-JP015,Rare
被検体ミュートリアＧＢ－８８,WPP2-JP016,nomal
ミュートリアル・ビースト,WPP2-JP017,Super
ミュートリアル・ビースト,WPP2-JP017,Secret
ミュートリアル・ミスト,WPP2-JP018,nomal
ミュートリアル・アームズ,WPP2-JP019,Rare
シンセシス・ミュートリアス,WPP2-JP020,Super
シンセシス・ミュートリアス,WPP2-JP020,Secret
究極体ミュートリアス,WPP2-JP021,Ultra
究極体ミュートリアス,WPP2-JP021,Secret
ミュートリア進化研究所,WPP2-JP022,Rare
フュージョン・ミュートリアス,WPP2-JP023,nomal
ミュートリア反射作用,WPP2-JP024,nomal
ミュートリア連鎖応動,WPP2-JP025,nomal
ミュートリア超個体系,WPP2-JP026,Rare
ミュートリアスの産声,WPP2-JP027,nomal
ウォークライ・フォティア,WPP2-JP028,nomal
ウォークライ・ガトス,WPP2-JP029,nomal
ウォークライ・オーピス,WPP2-JP030,nomal
ウォークライ・スキーラ,WPP2-JP031,Rare
ウォークライ・スキーラ,WPP2-JP031,Secret
ウォークライ・バシレオス,WPP2-JP032,Ultra
ウォークライ・バシレオス,WPP2-JP032,Secret
ウォークライ・ウェント,WPP2-JP033,Normal
ウォークライ・ウェント,WPP2-JP033,Secret
ウォークライ・マムード,WPP2-JP034,nomal
ウォークライ・メテオラゴン,WPP2-JP035,Rare
ザ・ロック・オブ・ウォークライ,WPP2-JP036,Rare
ウォークライ・オーディール,WPP2-JP037,Normal
ウォークライ・オーディール,WPP2-JP037,Secret
ウォークライ・ディグニティ,WPP2-JP038,nomal
ウォークライ・スピリッツ,WPP2-JP039,Normal
ウォークライ・スピリッツ,WPP2-JP039,Secret
ウォークライ・ジェネレート,WPP2-JP040,nomal
ウォークライ・ビッグブロウ,WPP2-JP041,nomal
妖竜マハーマ,WPP2-JP042,nomal
聖座天嗣ストン,WPP2-JP043,nomal
ジャブィアント・パンダ,WPP2-JP044,nomal
マテリアクトル・ギガドラ,WPP2-JP045,nomal
プルーフ・プルフラス,WPP2-JP046,nomal
颶風龍－ビュフォート・ノウェム,WPP2-JP047,Rare
三相魔神コーディウス,WPP2-JP048,Rare
瓔珞帝華－ペリアリス,WPP2-JP049,Super
瓔珞帝華－ペリアリス,WPP2-JP049,Secret
ペンドラザクション,WPP2-JP050,nomal
マテリアクトル・ギガヴォロス,WPP2-JP051,Rare
粛星の鋼機,WPP2-JP052,nomal
褒誉の息吹,WPP2-JP053,nomal
大融合,WPP2-JP054,Rare
増援部隊,WPP2-JP055,nomal
サイコ・イレイザー,WPP2-JP056,Super
サイコ・イレイザー,WPP2-JP056,Secret
シンクロ・トランスミッション,WPP2-JP057,nomal
ペンデュラム・アンコール,WPP2-JP058,nomal
形勢反転,WPP2-JP059,Rare
刺し違ＧＵＹ,WPP2-JP060,nomal
常世離レ,WPP2-JP061,Rare
マジシャンズ・サルベーション,WPP2-JP062,Ultra
マジシャンズ・サルベーション,WPP2-JP062,Secret
切り裂かれし闇,WPP2-JP063,Rare
マグネット・インダクション,WPP2-JP064,nomal
真の光,WPP2-JP065,Ultra
真の光,WPP2-JP065,Secret
Ｘ・Ｙ・Ｚハイパーキャノン,WPP2-JP066,nomal
ＸＹＺ－ドラゴン・キャノン,WPP2-JPS01,Prismatic Secret
ＸＹ－ドラゴン・キャノン,WPP2-JPS02,Prismatic Secret
ＸＺ－キャタピラー・キャノン,WPP2-JPS03,Prismatic Secret
ＹＺ－キャタピラー・ドラゴン,WPP2-JPS04,Prismatic Secret
