name,card_id,rare
幻殻竜,CORE-JP001,Rare
召喚師ライズベルト,CORE-JP002,N-Rare
相克の魔術師,CORE-JP003,Super
相克の魔術師,CORE-JP003,Secret
相生の魔術師,CORE-JP004,Super
相生の魔術師,CORE-JP004,Secret
ＥＭラクダウン,CORE-JP005,nomal
ＥＭドラミング・コング,CORE-JP006,nomal
超重武者タイマ－２,CORE-JP007,nomal
幻奏の音女オペラ,CORE-JP008,nomal
幻奏の音女タムタム,CORE-JP009,nomal
ファーニマル・マウス,CORE-JP010,nomal
ＤＤパンドラ,CORE-JP011,nomal
クリスタル・ローズ,CORE-JP012,nomal
ＲＲ－ファジー・レイニアス,CORE-JP013,Rare
ＲＲ－シンギング・レイニアス,CORE-JP014,nomal
Ｅｍダメージ・ジャグラー,CORE-JP015,nomal
Ｅｍフレイム・イーター,CORE-JP016,Rare
Ｅｍハットトリッカー,CORE-JP017,nomal
Ｅｍトリック・クラウン,CORE-JP018,nomal
Ｅｍスティルツ・シューター,CORE-JP019,Rare
真紅眼の黒炎竜,CORE-JP020,Super
真紅眼の黒炎竜,CORE-JP020,Secret
伝説の黒石,CORE-JP021,Rare
黒鋼竜,CORE-JP022,nomal
真紅眼の凶雷皇－エビル・デーモン,CORE-JP023,Super
真紅眼の凶雷皇－エビル・デーモン,CORE-JP023,Secret
霊廟の守護者,CORE-JP024,nomal
竜剣士ラスターＰ,CORE-JP025,Super
竜剣士ラスターＰ,CORE-JP025,Secret
イグナイト・マグナム,CORE-JP026,nomal
イグナイト・イーグル,CORE-JP027,nomal
イグナイト・ドラグノフ,CORE-JP028,nomal
イグナイト・マスケット,CORE-JP029,nomal
イグナイト・ライオット,CORE-JP030,nomal
イグナイト・キャリバー,CORE-JP031,nomal
イグナイト・アヴェンジャー,CORE-JP032,Rare
イグナイト・スティンガー,CORE-JP033,Super
イグナイト・スティンガー,CORE-JP033,Secret
アロマージ－ジャスミン,CORE-JP034,Super
アロマージ－ジャスミン,CORE-JP034,Secret
アロマージ－カナンガ,CORE-JP035,nomal
アロマージ－ローズマリー,CORE-JP036,nomal
アロマージ－ベルガモット,CORE-JP037,Rare
アロマポット,CORE-JP038,nomal
インフェルノイド・デカトロン,CORE-JP039,Rare
獄落鳥,CORE-JP040,nomal
マジカル・アブダクター,CORE-JP041,Rare
エキセントリック・デーモン,CORE-JP042,nomal
トゥーン・サイバー・ドラゴン,CORE-JP043,Rare
ブンボーグ００５,CORE-JP044,nomal
応戦するＧ,CORE-JP045,N-Rare
ＤＤＤ神託王ダルク,CORE-JP046,Rare
ジェムナイトレディ・ブリリアント・ダイヤ,CORE-JP047,Rare
悪魔竜ブラック・デーモンズ・ドラゴン,CORE-JP048,Ultra
悪魔竜ブラック・デーモンズ・ドラゴン,CORE-JP048,Ultimate
悪魔竜ブラック・デーモンズ・ドラゴン,CORE-JP048,Secret
インフェルノイド・ティエラ,CORE-JP049,Ultra
インフェルノイド・ティエラ,CORE-JP049,Ultimate
インフェルノイド・ティエラ,CORE-JP049,Secret
爆竜剣士イグニスターＰ,CORE-JP050,Ultra
爆竜剣士イグニスターＰ,CORE-JP050,Ultimate
爆竜剣士イグニスターＰ,CORE-JP050,Secret
覇王黒竜オッドアイズ・リベリオン・ドラゴン,CORE-JP051,Ultra
覇王黒竜オッドアイズ・リベリオン・ドラゴン,CORE-JP051,Ultimate
覇王黒竜オッドアイズ・リベリオン・ドラゴン,CORE-JP051,Secret
覇王黒竜オッドアイズ・リベリオン・ドラゴン,CORE-JP051,Holographic
ＤＤＤ狙撃王テル,CORE-JP052,Ultra
