name,card_id,rare
伝説の騎士 ティマイオス,CPL1-JP001,Ultra
伝説の騎士 ティマイオス,CPL1-JP001,Collectors
クリバンデット,CPL1-JP002,Rare
呪符竜,CPL1-JP003,Ultra
呪符竜,CPL1-JP003,Collectors
竜騎士ブラック・マジシャン・ガール,CPL1-JP004,Ultra
竜騎士ブラック・マジシャン・ガール,CPL1-JP004,Collectors
ティマイオスの眼,CPL1-JP005,Super
ティマイオスの眼,CPL1-JP005,Collectors
レジェンド・オブ・ハート,CPL1-JP006,Rare
狂戦士の魂,CPL1-JP007,Rare
魂のリレー,CPL1-JP008,nomal
ガーディアン・エアトス,CPL1-JP009,Super
ガーディアン・エアトス,CPL1-JP009,Collectors
ガーディアン・デスサイス,CPL1-JP010,Super
ガーディアン・デスサイス,CPL1-JP010,Collectors
女神の聖剣－エアトス,CPL1-JP011,nomal
死神の大鎌－デスサイス,CPL1-JP012,nomal
守護神の宝札,CPL1-JP013,nomal
ソウル・チャージ,CPL1-JP014,nomal
賢者の石－サバティエル,CPL1-JP015,Rare
瞬間融合,CPL1-JP016,nomal
決闘融合－バトル・フュージョン,CPL1-JP017,nomal
決戦融合－ファイナル・フュージョン,CPL1-JP018,nomal
ペアサイクロイド,CPL1-JP019,nomal
エアーズロック・サンライズ,CPL1-JP020,nomal
ドゥーブルパッセ,CPL1-JP021,nomal
カーボネドン,CPL1-JP022,nomal
マスマティシャン,CPL1-JP023,Super
マスマティシャン,CPL1-JP023,Collectors
ラーの使徒,CPL1-JP024,nomal
神縛りの塚,CPL1-JP025,Rare
シューティング・スター,CPL1-JP026,nomal
ＢＦ－突風のオロシ,CPL1-JP027,Rare
ＢＦ－隠れ蓑のスチーム,CPL1-JP028,Rare
ＢＦ－竜巻のハリケーン,CPL1-JP029,nomal
ブラック・ソニック,CPL1-JP030,nomal
ブラック・リベンジ,CPL1-JP031,nomal
シャドー・インパルス,CPL1-JP032,nomal
アサルト・ガンドッグ,CPL1-JP033,nomal
ゲート・ブロッカー,CPL1-JP034,Rare
ギャクタン,CPL1-JP035,nomal
勇気機関車ブレイブポッポ,CPL1-JP036,nomal
豪腕特急トロッコロッコ,CPL1-JP037,nomal
工作列車シグナル・レッド,CPL1-JP038,Rare
機関連結,CPL1-JP039,nomal
ＣＮｏ.７３ 激瀧瀑神アビス・スープラ,CPL1-JP040,Super
ＣＮｏ.７３ 激瀧瀑神アビス・スープラ,CPL1-JP040,Collectors
ＲＵＭ－クイック・カオス,CPL1-JP041,Ultra
ＲＵＭ－クイック・カオス,CPL1-JP041,Collectors
ＣＮｏ.５ 亡朧龍 カオス・キマイラ・ドラゴン,CPL1-JP042,Rare
ＲＵＭ－千死蛮巧,CPL1-JP043,Ultra
ＲＵＭ－千死蛮巧,CPL1-JP043,Collectors
マジック・ハンド,CPL1-JP044,nomal
ファイヤー・ハンド,CPL1-JP045,nomal
アイス・ハンド,CPL1-JP046,nomal
プロミネンス・ハンド,CPL1-JP047,nomal
Ｎｏ.１０６ 巨岩掌ジャイアント・ハンド,CPL1-JP048,Super
Ｎｏ.１０６ 巨岩掌ジャイアント・ハンド,CPL1-JP048,Collectors
オボミ,CPL1-JP049,Rare
ホープ剣スラッシュ,CPL1-JP050,Rare
