name,card_id,rare
合神竜ティマイオス,CPD1-JP001,Ultra
合神竜ティマイオス,CPD1-JP001,Collectors
伝説の騎士 クリティウス,CPD1-JP002,Ultra
伝説の騎士 クリティウス,CPD1-JP002,Collectors
デス・ウイルス・ドラゴン,CPD1-JP003,Rare
タイラント・バースト・ドラゴン,CPD1-JP004,Rare
ミラーフォース・ドラゴン,CPD1-JP005,Rare
クリティウスの牙,CPD1-JP006,Super
クリティウスの牙,CPD1-JP006,Collectors
タイラント・ウィング,CPD1-JP007,nomal
伝説の騎士 ヘルモス,CPD1-JP008,Ultra
伝説の騎士 ヘルモス,CPD1-JP008,Collectors
タイムマジック・ハンマー,CPD1-JP009,nomal
ロケット・ヘルモス・キャノン,CPD1-JP010,Rare
女神の聖弓－アルテミス,CPD1-JP011,nomal
真紅眼の黒竜剣,CPD1-JP012,nomal
ヘルモスの爪,CPD1-JP013,Super
ヘルモスの爪,CPD1-JP013,Collectors
ルーレット・スパイダー,CPD1-JP014,N-Rare
ダブルマジックアームバインド,CPD1-JP015,Super
ダブルマジックアームバインド,CPD1-JP015,Collectors
ロード・オブ・ザ・レッド,CPD1-JP016,Ultra
ロード・オブ・ザ・レッド,CPD1-JP016,Collectors
レッドアイズ・トランスマイグレーション,CPD1-JP017,nomal
黒竜の聖騎士,CPD1-JP018,Super
黒竜の聖騎士,CPD1-JP018,Collectors
黒竜降臨,CPD1-JP019,nomal
レッドアイズ・スピリッツ,CPD1-JP020,Rare
レッドアイズ・バーン,CPD1-JP021,nomal
トゥーン・アンティーク・ギアゴーレム,CPD1-JP022,Rare
トゥーン・キングダム,CPD1-JP023,Rare
トゥーン・ロールバック,CPD1-JP024,nomal
シャドー・トゥーン,CPD1-JP025,nomal
コミックハンド,CPD1-JP026,nomal
コピーキャット,CPD1-JP027,nomal
トゥーン・マスク,CPD1-JP028,nomal
トゥーンのかばん,CPD1-JP029,nomal
占術姫コインノーマ,CPD1-JP030,Rare
占術姫ペタルエルフ,CPD1-JP031,nomal
占術姫ウィジャモリガン,CPD1-JP032,nomal
占術姫アローシルフ,CPD1-JP033,nomal
占術姫クリスタルウンディーネ,CPD1-JP034,nomal
聖占術姫タロットレイ,CPD1-JP035,Super
聖占術姫タロットレイ,CPD1-JP035,Collectors
聖占術の儀式,CPD1-JP036,nomal
黒猫の睨み,CPD1-JP037,nomal
リバース・リユース,CPD1-JP038,N-Rare
アクアアクトレス・テトラ,CPD1-JP039,nomal
アクアアクトレス・グッピー,CPD1-JP040,nomal
アクアアクトレス・アロワナ,CPD1-JP041,nomal
水舞台,CPD1-JP042,Rare
水舞台装置,CPD1-JP043,nomal
水照明,CPD1-JP044,nomal
水物語－ウラシマ,CPD1-JP045,Rare
