name,card_id,rare
ＥＭボットアイズ・リザード,TDIL-JP001,Rare
ＥＭドラネコ,TDIL-JP002,nomal
ＥＭエクストラ・シューター,TDIL-JP003,Rare
ＥＭバリアバルーンバク,TDIL-JP004,nomal
ＥＭゴムゴムートン,TDIL-JP005,nomal
ＥＭバブルドッグ,TDIL-JP006,nomal
ＥＭラディッシュ・ホース,TDIL-JP007,nomal
ＥＭライフ・ソードマン,TDIL-JP008,nomal
曲芸の魔術師,TDIL-JP009,Super
曲芸の魔術師,TDIL-JP009,Secret
ＤＤ魔導賢者トーマス,TDIL-JP010,Rare
ＤＤ魔導賢者ニコラ,TDIL-JP011,nomal
ＢＦ－逆巻のトルネード,TDIL-JP012,nomal
ＢＦ－朧影のゴウフウ,TDIL-JP013,nomal
レッド・ウルフ,TDIL-JP014,nomal
レッド・ガードナー,TDIL-JP015,nomal
レッド・ミラー,TDIL-JP016,Rare
マジシャン・オブ・ブラック・イリュージョン,TDIL-JP017,Super
マジシャン・オブ・ブラック・イリュージョン,TDIL-JP017,Secret
マジシャンズ・ローブ,TDIL-JP018,Rare
マジシャンズ・ロッド,TDIL-JP019,Rare
真竜剣士マスターＰ,TDIL-JP020,Ultra
真竜剣士マスターＰ,TDIL-JP020,Ultimate
真竜剣士マスターＰ,TDIL-JP020,Secret
メタルフォーゼ・スティエレン,TDIL-JP021,nomal
メタルフォーゼ・シルバード,TDIL-JP022,nomal
メタルフォーゼ・ゴルドライバー,TDIL-JP023,nomal
メタルフォーゼ・ヴォルフレイム,TDIL-JP024,Rare
真竜皇アグニマズドＶ,TDIL-JP025,Super
真竜皇アグニマズドＶ,TDIL-JP025,Secret
ダイナミスト・アンキロス,TDIL-JP026,nomal
トラミッド・ダンサー,TDIL-JP027,nomal
トラミッド・ハンター,TDIL-JP028,nomal
トラミッド・マスター,TDIL-JP029,Rare
トラミッド・スフィンクス,TDIL-JP030,Super
トラミッド・スフィンクス,TDIL-JP030,Secret
不知火の隠者,TDIL-JP031,Rare
トゥーン・ブラック・マジシャン,TDIL-JP032,Rare
スケープ・ゴースト,TDIL-JP033,Rare
ブロックドラゴン,TDIL-JP034,nomal
天照大神,TDIL-JP035,Super
天照大神,TDIL-JP035,Secret
黒竜の忍者,TDIL-JP036,Rare
マジック・ストライダー,TDIL-JP037,nomal
放電ムスタンガン,TDIL-JP038,nomal
トーテム・ファイブ,TDIL-JP039,nomal
チューニングガム,TDIL-JP040,nomal
レッカーパンダ,TDIL-JP041,N-Rare
妖精伝姫－シラユキ,TDIL-JP042,N-Rare
メタルフォーゼ・アダマンテ,TDIL-JP043,nomal
メタルフォーゼ・オリハルク,TDIL-JP044,Rare
メタルフォーゼ・カーディナル,TDIL-JP045,Rare
涅槃の超魔導剣士,TDIL-JP046,Ultra
涅槃の超魔導剣士,TDIL-JP046,Ultimate
涅槃の超魔導剣士,TDIL-JP046,Secret
涅槃の超魔導剣士,TDIL-JP046,Holographic
Ａ ＢＦ－雨隠れのサヨ,TDIL-JP047,nomal
Ａ ＢＦ－五月雨のソハヤ,TDIL-JP048,Rare
Ａ ＢＦ－神立のオニマル,TDIL-JP049,Ultra
Ａ ＢＦ－神立のオニマル,TDIL-JP049,Ultimate
Ａ ＢＦ－神立のオニマル,TDIL-JP049,Secret
レッド・デーモンズ・ドラゴン・タイラント,TDIL-JP050,Ultra
レッド・デーモンズ・ドラゴン・タイラント,TDIL-JP050,Ultimate
レッド・デーモンズ・ドラゴン・タイラント,TDIL-JP050,Secret
瑚之龍,TDIL-JP051,Ultra
瑚之龍,TDIL-JP051,Ultimate
瑚之龍,TDIL-JP051,Secret
虚空の黒魔導師,TDIL-JP052,Ultra
虚空の黒魔導師,TDIL-JP052,Ultimate
虚空の黒魔導師,TDIL-JP052,Secret
超カバーカーニバル,TDIL-JP053,Rare
月光香,TDIL-JP054,nomal
デストーイ・サンクチュアリ,TDIL-JP055,nomal
魔神王の禁断契約書,TDIL-JP056,nomal
黒の魔導陣,TDIL-JP057,Super
黒の魔導陣,TDIL-JP057,Secret
イリュージョン・マジック,TDIL-JP058,nomal
黒魔導強化,TDIL-JP059,nomal
メタモルＦ,TDIL-JP060,nomal
錬装融合,TDIL-JP061,Rare
トラミッド・フォートレス,TDIL-JP062,nomal
トラミッド・クルーザー,TDIL-JP063,nomal
トラミッド・キングゴレム,TDIL-JP064,nomal
コズミック・サイクロン,TDIL-JP065,Super
コズミック・サイクロン,TDIL-JP065,Secret
強欲で貪欲な壺,TDIL-JP066,Super
強欲で貪欲な壺,TDIL-JP066,Secret
半魔導帯域,TDIL-JP067,nomal
魂のカード,TDIL-JP068,N-Rare
融合死円舞曲,TDIL-JP069,nomal
キング・スカーレット,TDIL-JP070,nomal
マジシャンズ・ナビゲート,TDIL-JP071,Rare
メタルフォーゼ・カウンター,TDIL-JP072,nomal
メタルフォーゼ・コンビネーション,TDIL-JP073,nomal
古代遺跡の目覚め,TDIL-JP074,nomal
破壊剣の追憶,TDIL-JP075,nomal
底なし落とし穴,TDIL-JP076,Super
底なし落とし穴,TDIL-JP076,Secret
早すぎた帰還,TDIL-JP077,Super
早すぎた帰還,TDIL-JP077,Secret
共闘,TDIL-JP078,nomal
ペンデュラム・ホール,TDIL-JP079,nomal
検問,TDIL-JP080,N-Rare
