name,card_id,rare
エンジェル・トランペッター,SHVI-JP001,N-Rare
ＥＭオオヤヤドカリ,SHVI-JP002,nomal
ＥＭオッドアイズ・ライトフェニックス,SHVI-JP003,Super
ＥＭオッドアイズ・ライトフェニックス,SHVI-JP003,Secret
ＥＭオッドアイズ・ユニコーン,SHVI-JP004,Rare
ＥＭホタルクス,SHVI-JP005,nomal
ＳＲ電々大公,SHVI-JP006,Rare
ＳＲパチンゴーカート,SHVI-JP007,Rare
月光蒼猫,SHVI-JP008,Rare
月光紫蝶,SHVI-JP009,nomal
月光白兎,SHVI-JP010,nomal
月光黒羊,SHVI-JP011,nomal
月光狼,SHVI-JP012,nomal
月光虎,SHVI-JP013,nomal
ＲＲ－アベンジ・ヴァルチャー,SHVI-JP014,nomal
ＲＲ－ペイン・レイニアス,SHVI-JP015,Rare
ＲＲ－ブースター・ストリクス,SHVI-JP016,nomal
ＢＦ－弔風のデス,SHVI-JP017,nomal
白き霊龍,SHVI-JP018,Ultra
白き霊龍,SHVI-JP018,Ultimate
白き霊龍,SHVI-JP018,Secret
青き眼の護人,SHVI-JP019,nomal
青き眼の賢士,SHVI-JP020,Super
青き眼の賢士,SHVI-JP020,Secret
青き眼の祭司,SHVI-JP021,nomal
太古の白石,SHVI-JP022,Rare
竜魔王レクターＰ,SHVI-JP023,Super
竜魔王レクターＰ,SHVI-JP023,Secret
アモルファージ・ガストル,SHVI-JP024,nomal
アモルファージ・ルクス,SHVI-JP025,nomal
アモルファージ・プレスト,SHVI-JP026,nomal
アモルファージ・キャヴム,SHVI-JP027,nomal
アモルファージ・オルガ,SHVI-JP028,nomal
アモルファージ・ヒュペル,SHVI-JP029,nomal
アモルファージ・ノーテス,SHVI-JP030,Rare
アモルファージ・イリテュム,SHVI-JP031,Super
アモルファージ・イリテュム,SHVI-JP031,Secret
ダイナミスト・スピノス,SHVI-JP032,nomal
電子光虫－コクーンデンサ,SHVI-JP033,nomal
電子光虫－センチビット,SHVI-JP034,nomal
電子光虫－ウェブソルダー,SHVI-JP035,nomal
レッドアイズ・トゥーン・ドラゴン,SHVI-JP036,Rare
龍大神,SHVI-JP037,nomal
天魔大帝,SHVI-JP038,Rare
裏風の精霊,SHVI-JP039,Rare
浮幽さくら,SHVI-JP040,Super
浮幽さくら,SHVI-JP040,Secret
修禅僧 ゲンドウ,SHVI-JP041,nomal
ブンボーグ００９,SHVI-JP042,nomal
サイコロプス,SHVI-JP043,N-Rare
虚竜魔王アモルファクターＰ,SHVI-JP044,Ultra
虚竜魔王アモルファクターＰ,SHVI-JP044,Ultimate
虚竜魔王アモルファクターＰ,SHVI-JP044,Secret
幻奏の華歌聖ブルーム・プリマ,SHVI-JP045,Rare
月光舞猫姫,SHVI-JP046,Rare
月光舞豹姫,SHVI-JP047,Super
月光舞豹姫,SHVI-JP047,Secret
月光舞獅子姫,SHVI-JP048,Ultra
月光舞獅子姫,SHVI-JP048,Ultimate
月光舞獅子姫,SHVI-JP048,Secret
クリスタルウィング・シンクロ・ドラゴン,SHVI-JP049,Ultra
クリスタルウィング・シンクロ・ドラゴン,SHVI-JP049,Ultimate
クリスタルウィング・シンクロ・ドラゴン,SHVI-JP049,Secret
クリスタルウィング・シンクロ・ドラゴン,SHVI-JP049,Holographic
ＨＳＲ快刀乱破ズール,SHVI-JP050,Super
ＨＳＲ快刀乱破ズール,SHVI-JP050,Secret
Ａ ＢＦ－涙雨のチドリ,SHVI-JP051,Ultra
Ａ ＢＦ－涙雨のチドリ,SHVI-JP051,Ultimate
Ａ ＢＦ－涙雨のチドリ,SHVI-JP051,Secret
青眼の精霊龍,SHVI-JP052,Ultra
青眼の精霊龍,SHVI-JP052,Ultimate
青眼の精霊龍,SHVI-JP052,Secret
ＲＲ－アルティメット・ファルコン,SHVI-JP053,Super
ＲＲ－アルティメット・ファルコン,SHVI-JP053,Secret
電子光虫－スカラジエータ,SHVI-JP054,nomal
電子光虫－コアベージ,SHVI-JP055,Rare
電子光虫－ライノセバス,SHVI-JP056,Super
電子光虫－ライノセバス,SHVI-JP056,Secret
フォルテッシモ,SHVI-JP057,nomal
ＲＵＭ－スキップ・フォース,SHVI-JP058,Rare
光の霊堂,SHVI-JP059,Rare
光の導き,SHVI-JP060,nomal
真竜の目覚め,SHVI-JP061,nomal
アモルファスＰ,SHVI-JP062,nomal
アモルファージ・インフェクション,SHVI-JP063,Rare
光虫基盤,SHVI-JP064,nomal
儀式の下準備,SHVI-JP065,Rare
融合識別,SHVI-JP066,nomal
チューナーズ・ハイ,SHVI-JP067,nomal
ブンボーグ・ベース,SHVI-JP068,nomal
無念の手札,SHVI-JP069,N-Rare
リサイコロ,SHVI-JP070,nomal
月光輪廻舞踊,SHVI-JP071,nomal
アモルファージ・ライシス,SHVI-JP072,nomal
ダイナミスト・エラプション,SHVI-JP073,nomal
光虫異変,SHVI-JP074,Rare
波紋のバリア －ウェーブ・フォース－,SHVI-JP075,Super
波紋のバリア －ウェーブ・フォース－,SHVI-JP075,Secret
ワンダー・エクシーズ,SHVI-JP076,nomal
仁王立ち,SHVI-JP077,nomal
フレンドリーファイア,SHVI-JP078,nomal
揺るがぬ絆,SHVI-JP079,nomal
天使の涙,SHVI-JP080,N-Rare
