name,card_id,rare
アレキサンドライドラゴン,ST12-JP001,Normal
ハープの精,ST12-JP002,Normal
フロストザウルス,ST12-JP003,Normal
ズババナイト,ST12-JP004,Normal
ガンバラナイト,ST12-JP005,Normal
ゴゴゴゴーレム,ST12-JP006,Normal
ゴゴゴジャイアント,ST12-JP007,Normal
ゴブリンドバーグ,ST12-JP008,Normal
ハウリング・ウォリアー,ST12-JP009,Normal
シャインナイト,ST12-JP010,Normal
サイバー・ドラゴン,ST12-JP011,Normal
トライデント・ウォリアー,ST12-JP012,Normal
賢者ケイローン,ST12-JP013,Normal
切り込み隊長,ST12-JP014,Normal
聖なる守り手,ST12-JP015,Normal
クリッター,ST12-JP016,Normal
巨大ネズミ,ST12-JP017,Normal
シャインエンジェル,ST12-JP018,Normal
破天荒な風,ST12-JP019,Normal
虚栄巨影,ST12-JP020,Normal
エクシーズエナジー,ST12-JP021,Normal
スター・チェンジャー,ST12-JP022,Normal
光の護封剣,ST12-JP023,Normal
サイクロン,ST12-JP024,Normal
地割れ,ST12-JP025,Normal
幸運の鉄斧,ST12-JP026,Normal
増援,ST12-JP027,Normal
連合軍,ST12-JP028,Normal
痛恨の訴え,ST12-JP029,Normal
エクシーズエフェクト,ST12-JP030,Normal
サンダー・ブレイク,ST12-JP031,Normal
落とし穴,ST12-JP032,Normal
砂塵の大竜巻,ST12-JP033,Normal
魔法の筒,ST12-JP034,Normal
ドレインシールド,ST12-JP035,Normal
リビングデッドの呼び声,ST12-JP036,Normal
リミット・リバース,ST12-JP037,Normal
盗賊の七つ道具,ST12-JP038,Normal
Ｎｏ.３９ 希望皇ホープ,ST12-JP039,Ultra
弦魔人ムズムズリズム,ST12-JP040,Super
太鼓魔人テンテンテンポ,ST12-JP041,Super
管魔人メロメロメロディ,ST12-JP042,Super
交響魔人マエストローク,ST12-JP043,Super
アレキサンドライドラゴン,ST12-JP001,Normal
ハープの精,ST12-JP002,Normal
フロストザウルス,ST12-JP003,Normal
ズババナイト,ST12-JP004,Normal
ガンバラナイト,ST12-JP005,Normal
ゴゴゴゴーレム,ST12-JP006,Normal
ゴゴゴジャイアント,ST12-JP007,Normal
ゴブリンドバーグ,ST12-JP008,Normal
ハウリング・ウォリアー,ST12-JP009,Normal
シャインナイト,ST12-JP010,Normal
サイバー・ドラゴン,ST12-JP011,Normal
トライデント・ウォリアー,ST12-JP012,Normal
賢者ケイローン,ST12-JP013,Normal
切り込み隊長,ST12-JP014,Normal
聖なる守り手,ST12-JP015,Normal
クリッター,ST12-JP016,Normal
巨大ネズミ,ST12-JP017,Normal
シャインエンジェル,ST12-JP018,Normal
破天荒な風,ST12-JP019,Normal
虚栄巨影,ST12-JP020,Normal
エクシーズエナジー,ST12-JP021,Normal
スター・チェンジャー,ST12-JP022,Normal
光の護封剣,ST12-JP023,Normal
サイクロン,ST12-JP024,Normal
地割れ,ST12-JP025,Normal
幸運の鉄斧,ST12-JP026,Normal
増援,ST12-JP027,Normal
連合軍,ST12-JP028,Normal
痛恨の訴え,ST12-JP029,Normal
エクシーズエフェクト,ST12-JP030,Normal
サンダー・ブレイク,ST12-JP031,Normal
落とし穴,ST12-JP032,Normal
砂塵の大竜巻,ST12-JP033,Normal
魔法の筒,ST12-JP034,Normal
ドレインシールド,ST12-JP035,Normal
リビングデッドの呼び声,ST12-JP036,Normal
リミット・リバース,ST12-JP037,Normal
盗賊の七つ道具,ST12-JP038,Normal
Ｎｏ.３９ 希望皇ホープ,ST12-JP039,Ultra
弦魔人ムズムズリズム,ST12-JP040,Super
太鼓魔人テンテンテンポ,ST12-JP041,Super
管魔人メロメロメロディ,ST12-JP042,Super
交響魔人マエストローク,ST12-JP043,Super
