name,card_id,rare
死霊王 ドーハスーラ,SR07-JP001,Ultra
屍界のバンシー,SR07-JP002,Super
グローアップ・ブルーム,SR07-JP003,Super
火車,SR07-JP004,Normal
真紅眼の不死竜,SR07-JP005,Normal
邪神機−獄炎,SR07-JP006,Normal
茫漠の死者,SR07-JP007,Normal
闇竜の黒騎士,SR07-JP008,Normal
イモータル・ルーラー,SR07-JP009,Normal
ゾンビ・マスター,SR07-JP010,Normal
冥界騎士トリスタン,SR07-JP011,Normal
馬頭鬼,SR07-JP012,Normal
牛頭鬼,SR07-JP013,Normal
酒呑童子,SR07-JP014,Normal
ピラミッド・タートル,SR07-JP015,Normal
ゴブリンゾンビ,SR07-JP016,Normal
冥界の麗人イゾルデ,SR07-JP017,Normal
不知火の隠者,SR07-JP018,N-Parallel
ユニゾンビ,SR07-JP019,N-Parallel
傀儡虫,SR07-JP020,Normal
ファラオの化身,SR07-JP021,Normal
スケープ・ゴースト,SR07-JP022,Normal
アンデット・ネクロナイズ,SR07-JP023,N-Parallel
アンデット・ストラグル,SR07-JP024,N-Parallel
アンデットワールド,SR07-JP025,N-Parallel
威圧する魔眼,SR07-JP026,Normal
生者の書−禁断の呪術−,SR07-JP027,Normal
ミイラの呼び声,SR07-JP028,Normal
おろかな埋葬,SR07-JP029,Normal
モンスターゲート,SR07-JP030,Normal
墓穴の道連れ,SR07-JP031,Normal
異次元からの埋葬,SR07-JP032,Normal
相乗り,SR07-JP033,Normal
リターン・オブ・アンデット,SR07-JP034,N-Parallel
もののけの巣くう祠,SR07-JP035,Normal
王墓の罠,SR07-JP036,Normal
針虫の巣窟,SR07-JP037,Normal
メタバース,SR07-JP038,Normal
魔封じの芳香,SR07-JP039,Normal
生贄封じの仮面,SR07-JP040,Normal
タツネクロ,SR07-JP000,Super
真紅眼の不屍竜,SR07-JP041,Ultra
死霊王 ドーハスーラ,SR07-JP001,Ultra
屍界のバンシー,SR07-JP002,Super
グローアップ・ブルーム,SR07-JP003,Super
火車,SR07-JP004,Normal
真紅眼の不死竜,SR07-JP005,Normal
邪神機−獄炎,SR07-JP006,Normal
茫漠の死者,SR07-JP007,Normal
闇竜の黒騎士,SR07-JP008,Normal
イモータル・ルーラー,SR07-JP009,Normal
ゾンビ・マスター,SR07-JP010,Normal
冥界騎士トリスタン,SR07-JP011,Normal
馬頭鬼,SR07-JP012,Normal
牛頭鬼,SR07-JP013,Normal
酒呑童子,SR07-JP014,Normal
ピラミッド・タートル,SR07-JP015,Normal
ゴブリンゾンビ,SR07-JP016,Normal
冥界の麗人イゾルデ,SR07-JP017,Normal
不知火の隠者,SR07-JP018,N-Parallel
ユニゾンビ,SR07-JP019,N-Parallel
傀儡虫,SR07-JP020,Normal
ファラオの化身,SR07-JP021,Normal
スケープ・ゴースト,SR07-JP022,Normal
アンデット・ネクロナイズ,SR07-JP023,N-Parallel
アンデット・ストラグル,SR07-JP024,N-Parallel
アンデットワールド,SR07-JP025,N-Parallel
威圧する魔眼,SR07-JP026,Normal
生者の書−禁断の呪術−,SR07-JP027,Normal
ミイラの呼び声,SR07-JP028,Normal
おろかな埋葬,SR07-JP029,Normal
モンスターゲート,SR07-JP030,Normal
墓穴の道連れ,SR07-JP031,Normal
異次元からの埋葬,SR07-JP032,Normal
相乗り,SR07-JP033,Normal
リターン・オブ・アンデット,SR07-JP034,N-Parallel
もののけの巣くう祠,SR07-JP035,Normal
王墓の罠,SR07-JP036,Normal
針虫の巣窟,SR07-JP037,Normal
メタバース,SR07-JP038,Normal
魔封じの芳香,SR07-JP039,Normal
生贄封じの仮面,SR07-JP040,Normal
タツネクロ,SR07-JP000,Super
真紅眼の不屍竜,SR07-JP041,Ultra
