name,card_id,rare
ゴッドフェニックス・ギア・フリード,SR09-JP001,Ultra
昇華騎士−エクスパラディン,SR09-JP002,Super
焔聖騎士−ローラン,SR09-JP003,N-Parallel
フェニックス・ギア・フリード,SR09-JP004,Normal
ダークストーム・ドラゴン,SR09-JP005,Normal
エヴォルテクター シュバリエ,SR09-JP006,Normal
業火の重騎士,SR09-JP007,Normal
騎士デイ・グレファー,SR09-JP008,Normal
炎妖蝶ウィルプス,SR09-JP009,Normal
化合獣カーボン・クラブ,SR09-JP010,Normal
紅蓮魔闘士,SR09-JP011,Normal
バルキリー・ナイト,SR09-JP012,Normal
聖騎士ジャンヌ,SR09-JP013,Normal
蒼炎の剣士,SR09-JP014,Normal
復讐の女戦士ローズ,SR09-JP015,Normal
ゴブリンドバーグ,SR09-JP016,Normal
妖精伝姫−シンデレラ,SR09-JP017,N-Parallel
増殖するＧ,SR09-JP018,N-Parallel
ヴァイロン・スフィア,SR09-JP019,Normal
虹クリボー,SR09-JP020,Normal
武装鍛錬,SR09-JP021,N-Parallel
ラプテノスの超魔剣,SR09-JP022,N-Parallel
化合電界,SR09-JP023,Normal
スーペルヴィス,SR09-JP024,Normal
アサルト・アーマー,SR09-JP025,Normal
最強の盾,SR09-JP026,Normal
天命の聖剣,SR09-JP027,Normal
やりすぎた埋葬,SR09-JP028,Normal
妖刀竹光,SR09-JP029,Normal
黄金色の竹光,SR09-JP030,Normal
増援,SR09-JP031,N-Parallel
デュアルスパーク,SR09-JP032,Normal
闇の量産工場,SR09-JP033,Normal
パラレル・ツイスター,SR09-JP034,Normal
デュアル・アブレーション,SR09-JP035,Super
バーバリアン・ハウリング,SR09-JP036,Normal
デュアル・ブースター,SR09-JP037,Normal
二重の落とし穴,SR09-JP038,Normal
ロケットハンド,SR09-JP039,Normal
深すぎた墓穴,SR09-JP040,Normal
エヴォルテクター エヴェック,SR09-JP041,Ultra
クロス・オーバー,SR09-JP042,Super
ゴッドフェニックス・ギア・フリード,SR09-JP001,Ultra
昇華騎士−エクスパラディン,SR09-JP002,Super
焔聖騎士−ローラン,SR09-JP003,N-Parallel
フェニックス・ギア・フリード,SR09-JP004,Normal
ダークストーム・ドラゴン,SR09-JP005,Normal
エヴォルテクター シュバリエ,SR09-JP006,Normal
業火の重騎士,SR09-JP007,Normal
騎士デイ・グレファー,SR09-JP008,Normal
炎妖蝶ウィルプス,SR09-JP009,Normal
化合獣カーボン・クラブ,SR09-JP010,Normal
紅蓮魔闘士,SR09-JP011,Normal
バルキリー・ナイト,SR09-JP012,Normal
聖騎士ジャンヌ,SR09-JP013,Normal
蒼炎の剣士,SR09-JP014,Normal
復讐の女戦士ローズ,SR09-JP015,Normal
ゴブリンドバーグ,SR09-JP016,Normal
妖精伝姫−シンデレラ,SR09-JP017,N-Parallel
増殖するＧ,SR09-JP018,N-Parallel
ヴァイロン・スフィア,SR09-JP019,Normal
虹クリボー,SR09-JP020,Normal
武装鍛錬,SR09-JP021,N-Parallel
ラプテノスの超魔剣,SR09-JP022,N-Parallel
化合電界,SR09-JP023,Normal
スーペルヴィス,SR09-JP024,Normal
アサルト・アーマー,SR09-JP025,Normal
最強の盾,SR09-JP026,Normal
天命の聖剣,SR09-JP027,Normal
やりすぎた埋葬,SR09-JP028,Normal
妖刀竹光,SR09-JP029,Normal
黄金色の竹光,SR09-JP030,Normal
増援,SR09-JP031,N-Parallel
デュアルスパーク,SR09-JP032,Normal
闇の量産工場,SR09-JP033,Normal
パラレル・ツイスター,SR09-JP034,Normal
デュアル・アブレーション,SR09-JP035,Super
バーバリアン・ハウリング,SR09-JP036,Normal
デュアル・ブースター,SR09-JP037,Normal
二重の落とし穴,SR09-JP038,Normal
ロケットハンド,SR09-JP039,Normal
深すぎた墓穴,SR09-JP040,Normal
エヴォルテクター エヴェック,SR09-JP041,Ultra
クロス・オーバー,SR09-JP042,Super
