name,card_id,rare
暗黒界の魔神王 レイン,SR13-JP001,Ultra
暗黒界の門番 ゼンタ,SR13-JP002,Super
暗黒界の隠者 パアル,SR13-JP003,Super
暗黒界の魔神 レイン,SR13-JP004,N-Parallel
暗黒界の鬼神 ケルト,SR13-JP005,Normal
暗黒界の闘神 ラチナ,SR13-JP006,Normal
暗黒界の武神 ゴルド,SR13-JP007,Normal
暗黒界の軍神 シルバ,SR13-JP008,Normal
暗黒界の狂王 ブロン,SR13-JP009,Normal
暗黒界の尖兵 ベージ,SR13-JP010,N-Parallel
暗黒界の狩人 ブラウ,SR13-JP011,N-Parallel
暗黒界の斥候 スカー,SR13-JP012,Normal
暗黒界の刺客 カーキ,SR13-JP013,Normal
暗黒界の策士 グリン,SR13-JP014,Normal
暗黒界の導師 セルリ,SR13-JP015,N-Parallel
暗黒界の騎士 ズール,SR13-JP016,Normal
暗黒界の番兵 レンジ,SR13-JP017,Normal
未界域のモスマン,SR13-JP018,Normal
未界域のツチノコ,SR13-JP019,N-Parallel
深淵の結界像,SR13-JP020,Normal
悪魔嬢リリス,SR13-JP021,N-Parallel
魔轟神レイヴン,SR13-JP022,Normal
絶対王 バック・ジャック,SR13-JP023,Normal
トークンコレクター,SR13-JP024,Normal
暗黒界の傀儡,SR13-JP025,Super
暗黒界の文殿,SR13-JP026,Super
暗黒界の取引,SR13-JP027,N-Parallel
暗黒界の援軍,SR13-JP028,Normal
暗黒界に続く結界通路,SR13-JP029,Normal
暗黒界の雷,SR13-JP030,Normal
墓穴の道連れ,SR13-JP031,Normal
手札抹殺,SR13-JP032,Normal
ダーク・オカルティズム,SR13-JP033,N-Parallel
暗黒界の懲罰,SR13-JP034,Super
暗黒よりの軍勢,SR13-JP035,Normal
暗黒界の洗脳,SR13-JP036,Normal
マインドクラッシュ,SR13-JP037,Normal
魔のデッキ破壊ウイルス,SR13-JP038,Normal
バージェストマ・ディノミスクス,SR13-JP039,Normal
スキルドレイン,SR13-JP040,Normal
暗黒界の魔神王 レイン,SR13-JP001,Ultra
暗黒界の門番 ゼンタ,SR13-JP002,Super
暗黒界の隠者 パアル,SR13-JP003,Super
暗黒界の魔神 レイン,SR13-JP004,N-Parallel
暗黒界の鬼神 ケルト,SR13-JP005,Normal
暗黒界の闘神 ラチナ,SR13-JP006,Normal
暗黒界の武神 ゴルド,SR13-JP007,Normal
暗黒界の軍神 シルバ,SR13-JP008,Normal
暗黒界の狂王 ブロン,SR13-JP009,Normal
暗黒界の尖兵 ベージ,SR13-JP010,N-Parallel
暗黒界の狩人 ブラウ,SR13-JP011,N-Parallel
暗黒界の斥候 スカー,SR13-JP012,Normal
暗黒界の刺客 カーキ,SR13-JP013,Normal
暗黒界の策士 グリン,SR13-JP014,Normal
暗黒界の導師 セルリ,SR13-JP015,N-Parallel
暗黒界の騎士 ズール,SR13-JP016,Normal
暗黒界の番兵 レンジ,SR13-JP017,Normal
未界域のモスマン,SR13-JP018,Normal
未界域のツチノコ,SR13-JP019,N-Parallel
深淵の結界像,SR13-JP020,Normal
悪魔嬢リリス,SR13-JP021,N-Parallel
魔轟神レイヴン,SR13-JP022,Normal
絶対王 バック・ジャック,SR13-JP023,Normal
トークンコレクター,SR13-JP024,Normal
暗黒界の傀儡,SR13-JP025,Super
暗黒界の文殿,SR13-JP026,Super
暗黒界の取引,SR13-JP027,N-Parallel
暗黒界の援軍,SR13-JP028,Normal
暗黒界に続く結界通路,SR13-JP029,Normal
暗黒界の雷,SR13-JP030,Normal
墓穴の道連れ,SR13-JP031,Normal
手札抹殺,SR13-JP032,Normal
ダーク・オカルティズム,SR13-JP033,N-Parallel
暗黒界の懲罰,SR13-JP034,Super
暗黒よりの軍勢,SR13-JP035,Normal
暗黒界の洗脳,SR13-JP036,Normal
マインドクラッシュ,SR13-JP037,Normal
魔のデッキ破壊ウイルス,SR13-JP038,Normal
バージェストマ・ディノミスクス,SR13-JP039,Normal
スキルドレイン,SR13-JP040,Normal
