name,card_id,rare
ドラグニティアームズ−グラム,SR11-JP001,Ultra
ドラグニティ−レガトゥス,SR11-JP002,Super
ドラグニティ−レムス,SR11-JP003,N-Parallel
ドラグニティアームズ−レヴァテイン,SR11-JP004,N-Parallel
ドラグニティアームズ−ミスティル,SR11-JP005,N-Parallel
ドラグニティ−プリムス・ピルス,SR11-JP006,Normal
ドラグニティ−ドゥクス,SR11-JP007,Normal
ドラグニティ−セナート,SR11-JP008,N-Parallel
ドラグニティ−レギオン,SR11-JP009,Normal
ドラグニティ−ブラックスピア,SR11-JP010,Normal
ドラグニティ−ファランクス,SR11-JP011,Super
ドラグニティ−アキュリス,SR11-JP012,Normal
ドラグニティ−クーゼ,SR11-JP013,N-Parallel
ドラグニティ−ブランディストック,SR11-JP014,Normal
ドラグニティ−コルセスカ,SR11-JP015,Normal
嵐征竜−テンペスト,SR11-JP016,Normal
亡龍の戦慄−デストルドー,SR11-JP017,Normal
こけコッコ,SR11-JP018,Normal
輝光竜セイファート,SR11-JP019,Normal
風の精霊 ガルーダ,SR11-JP020,Normal
ＢＦ−精鋭のゼピュロス,SR11-JP021,Normal
Ｄ.Ｄ.クロウ,SR11-JP022,Normal
妖醒龍ラルバウール,SR11-JP023,Normal
ドラグニティ・ドラフト,SR11-JP024,N-Parallel
疾風のドラグニティ,SR11-JP025,Super
ドラグニティ・グロー,SR11-JP026,N-Parallel
竜操術,SR11-JP027,Normal
ドラグニティの神槍,SR11-JP028,Normal
調和の宝札,SR11-JP029,Normal
竜の霊廟,SR11-JP030,Normal
おろかな埋葬,SR11-JP031,Normal
星遺物の守護竜,SR11-JP032,Normal
墓穴の指名者,SR11-JP033,Normal
ドラグニティ・ヴォイド,SR11-JP034,Super
ドラグニティ・ドライブ,SR11-JP035,Normal
煉獄の落とし穴,SR11-JP036,Normal
崩界の守護竜,SR11-JP037,Normal
竜嵐還帰,SR11-JP038,Normal
重力崩壊,SR11-JP039,Normal
レッド・リブート,SR11-JP040,Normal
ドラグニティナイト−アスカロン,SR11-JP041,Super
ドラグニティナイト−ゲイボルグ,SR11-JP042,Normal
ドラグニティナイト−ロムルス,SR11-JP043,N-Parallel
ドラグニティアームズ−グラム,SR11-JP001,Ultra
ドラグニティ−レガトゥス,SR11-JP002,Super
ドラグニティ−レムス,SR11-JP003,N-Parallel
ドラグニティアームズ−レヴァテイン,SR11-JP004,N-Parallel
ドラグニティアームズ−ミスティル,SR11-JP005,N-Parallel
ドラグニティ−プリムス・ピルス,SR11-JP006,Normal
ドラグニティ−ドゥクス,SR11-JP007,Normal
ドラグニティ−セナート,SR11-JP008,N-Parallel
ドラグニティ−レギオン,SR11-JP009,Normal
ドラグニティ−ブラックスピア,SR11-JP010,Normal
ドラグニティ−ファランクス,SR11-JP011,Super
ドラグニティ−アキュリス,SR11-JP012,Normal
ドラグニティ−クーゼ,SR11-JP013,N-Parallel
ドラグニティ−ブランディストック,SR11-JP014,Normal
ドラグニティ−コルセスカ,SR11-JP015,Normal
嵐征竜−テンペスト,SR11-JP016,Normal
亡龍の戦慄−デストルドー,SR11-JP017,Normal
こけコッコ,SR11-JP018,Normal
輝光竜セイファート,SR11-JP019,Normal
風の精霊 ガルーダ,SR11-JP020,Normal
ＢＦ−精鋭のゼピュロス,SR11-JP021,Normal
Ｄ.Ｄ.クロウ,SR11-JP022,Normal
妖醒龍ラルバウール,SR11-JP023,Normal
ドラグニティ・ドラフト,SR11-JP024,N-Parallel
疾風のドラグニティ,SR11-JP025,Super
ドラグニティ・グロー,SR11-JP026,N-Parallel
竜操術,SR11-JP027,Normal
ドラグニティの神槍,SR11-JP028,Normal
調和の宝札,SR11-JP029,Normal
竜の霊廟,SR11-JP030,Normal
おろかな埋葬,SR11-JP031,Normal
星遺物の守護竜,SR11-JP032,Normal
墓穴の指名者,SR11-JP033,Normal
ドラグニティ・ヴォイド,SR11-JP034,Super
ドラグニティ・ドライブ,SR11-JP035,Normal
煉獄の落とし穴,SR11-JP036,Normal
崩界の守護竜,SR11-JP037,Normal
竜嵐還帰,SR11-JP038,Normal
重力崩壊,SR11-JP039,Normal
レッド・リブート,SR11-JP040,Normal
ドラグニティナイト−アスカロン,SR11-JP041,Super
ドラグニティナイト−ゲイボルグ,SR11-JP042,Normal
ドラグニティナイト−ロムルス,SR11-JP043,N-Parallel
