name,card_id,rare
創聖魔導王 エンディミオン,SR08-JP001,Ultra
エンプレス・オブ・エンディミオン,SR08-JP002,Super
マギステル・オブ・エンディミオン,SR08-JP003,N-Parallel
サーヴァント・オブ・エンディミオン,SR08-JP004,N-Parallel
神聖魔導王 エンディミオン,SR08-JP005,N-Parallel
クルセイダー・オブ・エンディミオン,SR08-JP006,Normal
魔導騎士 ディフェンダー,SR08-JP007,Normal
魔導獣 ケルベロス,SR08-JP008,Normal
魔導獣 メデューサ,SR08-JP009,Normal
マジックアブソーバー,SR08-JP010,Normal
マジカル・コンダクター,SR08-JP011,Normal
マジカル・アブダクター,SR08-JP012,Normal
聖なる解呪師,SR08-JP013,Normal
見習い魔術師,SR08-JP014,Normal
混沌の黒魔術師,SR08-JP015,Normal
妖精伝姫−カグヤ,SR08-JP016,N-Parallel
召喚僧サモンプリースト,SR08-JP017,Normal
魔導書士 バテル,SR08-JP018,Normal
マジカル・アンダーテイカー,SR08-JP019,Normal
聖なる魔術師,SR08-JP020,Normal
ドロール＆ロックバード,SR08-JP021,Normal
魔力統轄,SR08-JP022,Super
魔法都市の実験施設,SR08-JP023,N-Parallel
魔法都市エンディミオン,SR08-JP024,N-Parallel
魔力掌握,SR08-JP025,Normal
魔法族の結界,SR08-JP026,Normal
グリモの魔導書,SR08-JP027,Normal
ヒュグロの魔導書,SR08-JP028,Normal
トーラの魔導書,SR08-JP029,Normal
マジックブラスト,SR08-JP030,Normal
ディメンション・マジック,SR08-JP031,Normal
テラ・フォーミング,SR08-JP032,Normal
左腕の代償,SR08-JP033,Normal
強欲で貪欲な壺,SR08-JP034,Normal
魔導変換,SR08-JP035,Normal
漆黒のパワーストーン,SR08-JP036,Normal
臨時収入,SR08-JP037,Normal
ガガガシールド,SR08-JP038,Normal
マジシャンズ・サークル,SR08-JP039,Normal
魔導耀士 デイブレイカー,SR08-JP040,Ultra
救魔の標,SR08-JP041,Super
創聖魔導王 エンディミオン,SR08-JP001,Ultra
エンプレス・オブ・エンディミオン,SR08-JP002,Super
マギステル・オブ・エンディミオン,SR08-JP003,N-Parallel
サーヴァント・オブ・エンディミオン,SR08-JP004,N-Parallel
神聖魔導王 エンディミオン,SR08-JP005,N-Parallel
クルセイダー・オブ・エンディミオン,SR08-JP006,Normal
魔導騎士 ディフェンダー,SR08-JP007,Normal
魔導獣 ケルベロス,SR08-JP008,Normal
魔導獣 メデューサ,SR08-JP009,Normal
マジックアブソーバー,SR08-JP010,Normal
マジカル・コンダクター,SR08-JP011,Normal
マジカル・アブダクター,SR08-JP012,Normal
聖なる解呪師,SR08-JP013,Normal
見習い魔術師,SR08-JP014,Normal
混沌の黒魔術師,SR08-JP015,Normal
妖精伝姫−カグヤ,SR08-JP016,N-Parallel
召喚僧サモンプリースト,SR08-JP017,Normal
魔導書士 バテル,SR08-JP018,Normal
マジカル・アンダーテイカー,SR08-JP019,Normal
聖なる魔術師,SR08-JP020,Normal
ドロール＆ロックバード,SR08-JP021,Normal
魔力統轄,SR08-JP022,Super
魔法都市の実験施設,SR08-JP023,N-Parallel
魔法都市エンディミオン,SR08-JP024,N-Parallel
魔力掌握,SR08-JP025,Normal
魔法族の結界,SR08-JP026,Normal
グリモの魔導書,SR08-JP027,Normal
ヒュグロの魔導書,SR08-JP028,Normal
トーラの魔導書,SR08-JP029,Normal
マジックブラスト,SR08-JP030,Normal
ディメンション・マジック,SR08-JP031,Normal
テラ・フォーミング,SR08-JP032,Normal
左腕の代償,SR08-JP033,Normal
強欲で貪欲な壺,SR08-JP034,Normal
魔導変換,SR08-JP035,Normal
漆黒のパワーストーン,SR08-JP036,Normal
臨時収入,SR08-JP037,Normal
ガガガシールド,SR08-JP038,Normal
マジシャンズ・サークル,SR08-JP039,Normal
魔導耀士 デイブレイカー,SR08-JP040,Ultra
救魔の標,SR08-JP041,Super
