name,card_id,rare
巨神竜フェルグラント,SR02-JP001,Ultra
巨竜の聖騎士,SR02-JP002,Super
巨竜の守護騎士,SR02-JP003,Super
フェルグラントドラゴン,SR02-JP004,Normal
ダークブレイズドラゴン,SR02-JP005,Normal
創世の預言者,SR02-JP006,Normal
デコイドラゴン,SR02-JP007,Normal
レッドアイズ・ダークネスメタルドラゴン,SR02-JP008,N-Parallel
真紅眼の飛竜,SR02-JP009,Normal
青氷の白夜龍,SR02-JP010,Normal
ダークストーム・ドラゴン,SR02-JP011,Normal
武装神竜プロテクト・ドラゴン,SR02-JP012,Normal
フォトン・ワイバーン,SR02-JP013,Normal
ギャラクシー・ドラグーン,SR02-JP014,N-Parallel
ヴェルズ・ザッハーク,SR02-JP015,Normal
エクリプス・ワイバーン,SR02-JP016,N-Parallel
輝白竜 ワイバースター,SR02-JP017,Normal
暗黒竜 コラプサーペント,SR02-JP018,Normal
コドモドラゴン,SR02-JP019,Normal
ライトロード・パラディン ジェイン,SR02-JP020,Normal
ライトロード・モンク エイリン,SR02-JP021,Normal
ライトロード・アサシン ライデン,SR02-JP022,N-Parallel
巨神竜の遺跡,SR02-JP023,Super
復活の福音,SR02-JP024,N-Parallel
竜の渓谷,SR02-JP025,N-Parallel
巨竜の羽ばたき,SR02-JP026,Normal
超再生能力,SR02-JP027,Normal
トレード・イン,SR02-JP028,Normal
おろかな埋葬,SR02-JP029,Normal
手札抹殺,SR02-JP030,Normal
手札断殺,SR02-JP031,Normal
増援,SR02-JP032,Normal
戦士の生還,SR02-JP033,Normal
光の援軍,SR02-JP034,Normal
テラ・フォーミング,SR02-JP035,Normal
竜の転生,SR02-JP036,Normal
バーストブレス,SR02-JP037,Normal
針虫の巣窟,SR02-JP038,Normal
ブレイクスルー・スキル,SR02-JP039,Normal
リビングデッドの呼び声,SR02-JP040,Normal
アークブレイブドラゴン,SR02-JP000,Ultra
巨竜トークン,SR02-JPTKN,Normal
巨神竜フェルグラント,SR02-JP001,Ultra
巨竜の聖騎士,SR02-JP002,Super
巨竜の守護騎士,SR02-JP003,Super
フェルグラントドラゴン,SR02-JP004,Normal
ダークブレイズドラゴン,SR02-JP005,Normal
創世の預言者,SR02-JP006,Normal
デコイドラゴン,SR02-JP007,Normal
レッドアイズ・ダークネスメタルドラゴン,SR02-JP008,N-Parallel
真紅眼の飛竜,SR02-JP009,Normal
青氷の白夜龍,SR02-JP010,Normal
ダークストーム・ドラゴン,SR02-JP011,Normal
武装神竜プロテクト・ドラゴン,SR02-JP012,Normal
フォトン・ワイバーン,SR02-JP013,Normal
ギャラクシー・ドラグーン,SR02-JP014,N-Parallel
ヴェルズ・ザッハーク,SR02-JP015,Normal
エクリプス・ワイバーン,SR02-JP016,N-Parallel
輝白竜 ワイバースター,SR02-JP017,Normal
暗黒竜 コラプサーペント,SR02-JP018,Normal
コドモドラゴン,SR02-JP019,Normal
ライトロード・パラディン ジェイン,SR02-JP020,Normal
ライトロード・モンク エイリン,SR02-JP021,Normal
ライトロード・アサシン ライデン,SR02-JP022,N-Parallel
巨神竜の遺跡,SR02-JP023,Super
復活の福音,SR02-JP024,N-Parallel
竜の渓谷,SR02-JP025,N-Parallel
巨竜の羽ばたき,SR02-JP026,Normal
超再生能力,SR02-JP027,Normal
トレード・イン,SR02-JP028,Normal
おろかな埋葬,SR02-JP029,Normal
手札抹殺,SR02-JP030,Normal
手札断殺,SR02-JP031,Normal
増援,SR02-JP032,Normal
戦士の生還,SR02-JP033,Normal
光の援軍,SR02-JP034,Normal
テラ・フォーミング,SR02-JP035,Normal
竜の転生,SR02-JP036,Normal
バーストブレス,SR02-JP037,Normal
針虫の巣窟,SR02-JP038,Normal
ブレイクスルー・スキル,SR02-JP039,Normal
リビングデッドの呼び声,SR02-JP040,Normal
アークブレイブドラゴン,SR02-JP000,Ultra
巨竜トークン,SR02-JPTKN,Normal
