name,card_id,rare
聖炎王 ガルドニクス,SR14-JP001,Ultra
炎王神獣 キリン,SR14-JP002,Super
炎王獣 ハヌマーン,SR14-JP003,Super
炎王獣 ガルドニクス,SR14-JP004,Normal
炎王獣 バロン,SR14-JP005,Normal
炎王獣 ヤクシャ,SR14-JP006,Normal
炎王獣 キリン,SR14-JP007,Normal
焔征竜−ブラスター,SR14-JP008,N-Parallel
炎征竜−バーナー,SR14-JP009,Normal
熱血獣王ベアーマン,SR14-JP010,Normal
熱血獣士ウルフバーク,SR14-JP011,Normal
真竜皇アグニマズドＶ,SR14-JP012,Normal
ヘルフレイムエンペラー,SR14-JP013,Normal
怒炎壊獣ドゴラン,SR14-JP014,N-Parallel
Ｔｈｅ ｂｌａｚｉｎｇ ＭＡＲＳ,SR14-JP015,Normal
嚇灼の魔神,SR14-JP016,Normal
ネフティスの鳳凰神,SR14-JP017,Normal
炎帝近衛兵,SR14-JP018,Normal
炎の精霊 イフリート,SR14-JP019,Normal
火舞太刀,SR14-JP020,Normal
讃美火,SR14-JP021,N-Parallel
獣王アルファ,SR14-JP022,Normal
ドロール＆ロックバード,SR14-JP023,Normal
炎王の聖域,SR14-JP024,Super
炎王神天焼,SR14-JP025,Super
炎王の急襲,SR14-JP026,Normal
炎王炎環,SR14-JP027,Normal
真炎の爆発,SR14-JP028,N-Parallel
炎舞−「天キ」,SR14-JP029,Normal
ブラック・ホール,SR14-JP030,N-Parallel
トレード・イン,SR14-JP031,Normal
深淵の宣告者,SR14-JP032,N-Parallel
炎王の結襲,SR14-JP033,Super
フレムベルカウンター,SR14-JP034,N-Parallel
火霊術−「紅」,SR14-JP035,Normal
連鎖破壊,SR14-JP036,Normal
激流葬,SR14-JP037,Normal
紅蓮の指名者,SR14-JP038,Normal
無限泡影,SR14-JP039,N-Parallel
能力吸収石,SR14-JP040,Normal
熱血指導王ジャイアントレーナー,SR14-JP041,Normal
恐牙狼 ダイヤウルフ,SR14-JP042,Normal
灼熱の火霊使いヒータ,SR14-JP043,Normal
聖炎王 ガルドニクス,SR14-JP001,Ultra
炎王神獣 キリン,SR14-JP002,Super
炎王獣 ハヌマーン,SR14-JP003,Super
炎王獣 ガルドニクス,SR14-JP004,Normal
炎王獣 バロン,SR14-JP005,Normal
炎王獣 ヤクシャ,SR14-JP006,Normal
炎王獣 キリン,SR14-JP007,Normal
焔征竜−ブラスター,SR14-JP008,N-Parallel
炎征竜−バーナー,SR14-JP009,Normal
熱血獣王ベアーマン,SR14-JP010,Normal
熱血獣士ウルフバーク,SR14-JP011,Normal
真竜皇アグニマズドＶ,SR14-JP012,Normal
ヘルフレイムエンペラー,SR14-JP013,Normal
怒炎壊獣ドゴラン,SR14-JP014,N-Parallel
Ｔｈｅ ｂｌａｚｉｎｇ ＭＡＲＳ,SR14-JP015,Normal
嚇灼の魔神,SR14-JP016,Normal
ネフティスの鳳凰神,SR14-JP017,Normal
炎帝近衛兵,SR14-JP018,Normal
炎の精霊 イフリート,SR14-JP019,Normal
火舞太刀,SR14-JP020,Normal
讃美火,SR14-JP021,N-Parallel
獣王アルファ,SR14-JP022,Normal
ドロール＆ロックバード,SR14-JP023,Normal
炎王の聖域,SR14-JP024,Super
炎王神天焼,SR14-JP025,Super
炎王の急襲,SR14-JP026,Normal
炎王炎環,SR14-JP027,Normal
真炎の爆発,SR14-JP028,N-Parallel
炎舞−「天キ」,SR14-JP029,Normal
ブラック・ホール,SR14-JP030,N-Parallel
トレード・イン,SR14-JP031,Normal
深淵の宣告者,SR14-JP032,N-Parallel
炎王の結襲,SR14-JP033,Super
フレムベルカウンター,SR14-JP034,N-Parallel
火霊術−「紅」,SR14-JP035,Normal
連鎖破壊,SR14-JP036,Normal
激流葬,SR14-JP037,Normal
紅蓮の指名者,SR14-JP038,Normal
無限泡影,SR14-JP039,N-Parallel
能力吸収石,SR14-JP040,Normal
熱血指導王ジャイアントレーナー,SR14-JP041,Normal
恐牙狼 ダイヤウルフ,SR14-JP042,Normal
灼熱の火霊使いヒータ,SR14-JP043,Normal
