name,card_id,rare
冥帝エレボス,SR01-JP001,Ultra
冥帝従騎エイドス,SR01-JP002,Super
天帝従騎イデア,SR01-JP003,Super
邪帝ガイウス,SR01-JP004,N-Parallel
雷帝ザボルグ,SR01-JP005,N-Parallel
地帝グランマーグ,SR01-JP006,N-Parallel
氷帝メビウス,SR01-JP007,N-Parallel
炎帝テスタロス,SR01-JP008,N-Parallel
風帝ライザー,SR01-JP009,N-Parallel
邪帝家臣ルキウス,SR01-JP010,Normal
雷帝家臣ミスラ,SR01-JP011,Normal
地帝家臣ランドローブ,SR01-JP012,Normal
氷帝家臣エッシャー,SR01-JP013,Normal
炎帝家臣ベルリネス,SR01-JP014,Normal
風帝家臣ガルーム,SR01-JP015,Normal
イリュージョン・スナッチ,SR01-JP016,Normal
トラゴエディア,SR01-JP017,Normal
ダンディライオン,SR01-JP018,Normal
マスマティシャン,SR01-JP019,Normal
レベル・スティーラー,SR01-JP020,Normal
バトルフェーダー,SR01-JP021,Normal
虹クリボー,SR01-JP022,Normal
汎神の帝王,SR01-JP023,Super
真帝王領域,SR01-JP024,Normal
進撃の帝王,SR01-JP025,Normal
帝王の開岩,SR01-JP026,Normal
帝王の烈旋,SR01-JP027,Normal
帝王の轟毅,SR01-JP028,Normal
帝王の深怨,SR01-JP029,Normal
クロス・ソウル,SR01-JP030,Normal
エネミーコントローラー,SR01-JP031,Normal
サイコロン,SR01-JP032,Normal
ソウル・チャージ,SR01-JP033,Normal
真源の帝王,SR01-JP034,Normal
始源の帝王,SR01-JP035,Normal
連撃の帝王,SR01-JP036,Normal
帝王の凍志,SR01-JP037,Normal
帝王の溶撃,SR01-JP038,Normal
エンペラー・オーダー,SR01-JP039,Normal
ピンポイント・ガード,SR01-JP040,Normal
天帝アイテール,SR01-JP000,Ultra
トークン,SR01-JPTKN,（真帝王降臨）
冥帝エレボス,SR01-JP001,Ultra
冥帝従騎エイドス,SR01-JP002,Super
天帝従騎イデア,SR01-JP003,Super
邪帝ガイウス,SR01-JP004,N-Parallel
雷帝ザボルグ,SR01-JP005,N-Parallel
地帝グランマーグ,SR01-JP006,N-Parallel
氷帝メビウス,SR01-JP007,N-Parallel
炎帝テスタロス,SR01-JP008,N-Parallel
風帝ライザー,SR01-JP009,N-Parallel
邪帝家臣ルキウス,SR01-JP010,Normal
雷帝家臣ミスラ,SR01-JP011,Normal
地帝家臣ランドローブ,SR01-JP012,Normal
氷帝家臣エッシャー,SR01-JP013,Normal
炎帝家臣ベルリネス,SR01-JP014,Normal
風帝家臣ガルーム,SR01-JP015,Normal
イリュージョン・スナッチ,SR01-JP016,Normal
トラゴエディア,SR01-JP017,Normal
ダンディライオン,SR01-JP018,Normal
マスマティシャン,SR01-JP019,Normal
レベル・スティーラー,SR01-JP020,Normal
バトルフェーダー,SR01-JP021,Normal
虹クリボー,SR01-JP022,Normal
汎神の帝王,SR01-JP023,Super
真帝王領域,SR01-JP024,Normal
進撃の帝王,SR01-JP025,Normal
帝王の開岩,SR01-JP026,Normal
帝王の烈旋,SR01-JP027,Normal
帝王の轟毅,SR01-JP028,Normal
帝王の深怨,SR01-JP029,Normal
クロス・ソウル,SR01-JP030,Normal
エネミーコントローラー,SR01-JP031,Normal
サイコロン,SR01-JP032,Normal
ソウル・チャージ,SR01-JP033,Normal
真源の帝王,SR01-JP034,Normal
始源の帝王,SR01-JP035,Normal
連撃の帝王,SR01-JP036,Normal
帝王の凍志,SR01-JP037,Normal
帝王の溶撃,SR01-JP038,Normal
エンペラー・オーダー,SR01-JP039,Normal
ピンポイント・ガード,SR01-JP040,Normal
天帝アイテール,SR01-JP000,Ultra
トークン,SR01-JPTKN,（真帝王降臨）
