name,card_id,rare
天空聖騎士アークパーシアス,SR05-JP001,Ultra
天空賢者ミネルヴァ,SR05-JP002,N-Parallel
力天使ヴァルキリア,SR05-JP003,Super
天空勇士ネオパーシアス,SR05-JP004,Normal
天空騎士パーシアス,SR05-JP005,Normal
天空聖者メルティウス,SR05-JP006,Normal
智天使ハーヴェスト,SR05-JP007,Normal
豊穣のアルテミス,SR05-JP008,N-Parallel
救済のレイヤード,SR05-JP009,Normal
解放のアリアドネ,SR05-JP010,N-Parallel
大天使クリスティア,SR05-JP011,N-Parallel
Ｔｈｅ ｓｐｌｅｎｄｉｄ ＶＥＮＵＳ,SR05-JP012,Normal
アテナ,SR05-JP013,Normal
光神テテュス,SR05-JP014,Normal
ヘカテリス,SR05-JP015,Normal
ジェルエンデュオ,SR05-JP016,Normal
コーリング・ノヴァ,SR05-JP017,Normal
オネスト,SR05-JP018,Normal
朱光の宣告者,SR05-JP019,N-Parallel
緑光の宣告者,SR05-JP020,Normal
紫光の宣告者,SR05-JP021,Normal
天輪の葬送士,SR05-JP022,Normal
異次元の精霊,SR05-JP023,Normal
ハネワタ,SR05-JP024,Normal
パーシアスの神域,SR05-JP025,Super
天空の聖域,SR05-JP026,Normal
天空の宝札,SR05-JP027,Normal
光神化,SR05-JP028,Normal
神の居城−ヴァルハラ,SR05-JP029,Normal
同胞の絆,SR05-JP030,N-Parallel
輪廻のパーシアス,SR05-JP031,Super
裁きの光,SR05-JP032,Normal
光の召集,SR05-JP033,Normal
奇跡の光臨,SR05-JP034,Normal
人造天使,SR05-JP035,Normal
神罰,SR05-JP036,Normal
神の宣告,SR05-JP037,Normal
神の警告,SR05-JP038,Normal
神の摂理,SR05-JP039,Normal
強烈なはたき落とし,SR05-JP040,Normal
イーバ,SR05-JP000,Ultra
人造天使トークン,SR05-JPTKN,Normal
天空聖騎士アークパーシアス,SR05-JP001,Ultra
天空賢者ミネルヴァ,SR05-JP002,N-Parallel
力天使ヴァルキリア,SR05-JP003,Super
天空勇士ネオパーシアス,SR05-JP004,Normal
天空騎士パーシアス,SR05-JP005,Normal
天空聖者メルティウス,SR05-JP006,Normal
智天使ハーヴェスト,SR05-JP007,Normal
豊穣のアルテミス,SR05-JP008,N-Parallel
救済のレイヤード,SR05-JP009,Normal
解放のアリアドネ,SR05-JP010,N-Parallel
大天使クリスティア,SR05-JP011,N-Parallel
Ｔｈｅ ｓｐｌｅｎｄｉｄ ＶＥＮＵＳ,SR05-JP012,Normal
アテナ,SR05-JP013,Normal
光神テテュス,SR05-JP014,Normal
ヘカテリス,SR05-JP015,Normal
ジェルエンデュオ,SR05-JP016,Normal
コーリング・ノヴァ,SR05-JP017,Normal
オネスト,SR05-JP018,Normal
朱光の宣告者,SR05-JP019,N-Parallel
緑光の宣告者,SR05-JP020,Normal
紫光の宣告者,SR05-JP021,Normal
天輪の葬送士,SR05-JP022,Normal
異次元の精霊,SR05-JP023,Normal
ハネワタ,SR05-JP024,Normal
パーシアスの神域,SR05-JP025,Super
天空の聖域,SR05-JP026,Normal
天空の宝札,SR05-JP027,Normal
光神化,SR05-JP028,Normal
神の居城−ヴァルハラ,SR05-JP029,Normal
同胞の絆,SR05-JP030,N-Parallel
輪廻のパーシアス,SR05-JP031,Super
裁きの光,SR05-JP032,Normal
光の召集,SR05-JP033,Normal
奇跡の光臨,SR05-JP034,Normal
人造天使,SR05-JP035,Normal
神罰,SR05-JP036,Normal
神の宣告,SR05-JP037,Normal
神の警告,SR05-JP038,Normal
神の摂理,SR05-JP039,Normal
強烈なはたき落とし,SR05-JP040,Normal
イーバ,SR05-JP000,Ultra
人造天使トークン,SR05-JPTKN,Normal
