name,card_id,rare
Ｅ・ＨＥＲＯ シャドー・ミスト,SD27-JP001,Super
Ｅ・ＨＥＲＯ エアーマン,SD27-JP002,Normal
Ｅ・ＨＥＲＯ オーシャン,SD27-JP003,Normal
Ｅ・ＨＥＲＯ フォレストマン,SD27-JP004,Normal
Ｅ・ＨＥＲＯ ボルテック,SD27-JP005,Normal
Ｅ・ＨＥＲＯ ザ・ヒート,SD27-JP006,Normal
Ｅ・ＨＥＲＯ ネオス,SD27-JP007,Normal
Ｅ・ＨＥＲＯ アナザー・ネオス,SD27-JP008,Normal
Ｅ・ＨＥＲＯ エッジマン,SD27-JP009,Normal
Ｅ・ＨＥＲＯ ネクロダークマン,SD27-JP010,Normal
Ｅ・ＨＥＲＯ ワイルドマン,SD27-JP011,Normal
Ｅ・ＨＥＲＯ バブルマン,SD27-JP012,Normal
Ｎ・グラン・モール,SD27-JP013,Normal
オネスト,SD27-JP014,Normal
カードガンナー,SD27-JP015,Normal
ハネクリボー,SD27-JP016,Normal
召喚僧サモンプリースト,SD27-JP017,Normal
マスク・チェンジ・セカンド,SD27-JP018,Normal
フォーム・チェンジ,SD27-JP019,Normal
マスク・チャージ,SD27-JP020,Normal
マスク・チェンジ,SD27-JP021,Normal
融合,SD27-JP022,Normal
ミラクル・フュージョン,SD27-JP023,Normal
平行世界融合,SD27-JP024,Normal
ヒーローアライブ,SD27-JP025,Normal
ヒーロー・マスク,SD27-JP026,Normal
Ｈ−ヒートハート,SD27-JP027,Normal
Ｅ−エマージェンシーコール,SD27-JP028,Normal
Ｒ−ライトジャスティス,SD27-JP029,Normal
Ｏ−オーバーソウル,SD27-JP030,Normal
増援,SD27-JP031,Normal
戦士の生還,SD27-JP032,Normal
強欲で謙虚な壺,SD27-JP033,Normal
おろかな埋葬,SD27-JP034,Normal
ヒーロー・シグナル,SD27-JP035,Normal
ヒーロー・ブラスト,SD27-JP036,Normal
リビングデッドの呼び声,SD27-JP037,Normal
奈落の落とし穴,SD27-JP038,Normal
強制脱出装置,SD27-JP039,Normal
神の警告,SD27-JP040,Normal
Ｃ・ＨＥＲＯ カオス,SD27-JP041,Ultra
Ｍ・ＨＥＲＯ 光牙,SD27-JP042,Super
Ｍ・ＨＥＲＯ カミカゼ,SD27-JP043,Super
Ｍ・ＨＥＲＯ ダーク・ロウ,SD27-JP044,Super
Ｅ・ＨＥＲＯ ガイア,SD27-JP045,Normal
Ｅ・ＨＥＲＯ シャドー・ミスト,SD27-JP001,Super
Ｅ・ＨＥＲＯ エアーマン,SD27-JP002,Normal
Ｅ・ＨＥＲＯ オーシャン,SD27-JP003,Normal
Ｅ・ＨＥＲＯ フォレストマン,SD27-JP004,Normal
Ｅ・ＨＥＲＯ ボルテック,SD27-JP005,Normal
Ｅ・ＨＥＲＯ ザ・ヒート,SD27-JP006,Normal
Ｅ・ＨＥＲＯ ネオス,SD27-JP007,Normal
Ｅ・ＨＥＲＯ アナザー・ネオス,SD27-JP008,Normal
Ｅ・ＨＥＲＯ エッジマン,SD27-JP009,Normal
Ｅ・ＨＥＲＯ ネクロダークマン,SD27-JP010,Normal
Ｅ・ＨＥＲＯ ワイルドマン,SD27-JP011,Normal
Ｅ・ＨＥＲＯ バブルマン,SD27-JP012,Normal
Ｎ・グラン・モール,SD27-JP013,Normal
オネスト,SD27-JP014,Normal
カードガンナー,SD27-JP015,Normal
ハネクリボー,SD27-JP016,Normal
召喚僧サモンプリースト,SD27-JP017,Normal
マスク・チェンジ・セカンド,SD27-JP018,Normal
フォーム・チェンジ,SD27-JP019,Normal
マスク・チャージ,SD27-JP020,Normal
マスク・チェンジ,SD27-JP021,Normal
融合,SD27-JP022,Normal
ミラクル・フュージョン,SD27-JP023,Normal
平行世界融合,SD27-JP024,Normal
ヒーローアライブ,SD27-JP025,Normal
ヒーロー・マスク,SD27-JP026,Normal
Ｈ−ヒートハート,SD27-JP027,Normal
Ｅ−エマージェンシーコール,SD27-JP028,Normal
Ｒ−ライトジャスティス,SD27-JP029,Normal
Ｏ−オーバーソウル,SD27-JP030,Normal
増援,SD27-JP031,Normal
戦士の生還,SD27-JP032,Normal
強欲で謙虚な壺,SD27-JP033,Normal
おろかな埋葬,SD27-JP034,Normal
ヒーロー・シグナル,SD27-JP035,Normal
ヒーロー・ブラスト,SD27-JP036,Normal
リビングデッドの呼び声,SD27-JP037,Normal
奈落の落とし穴,SD27-JP038,Normal
強制脱出装置,SD27-JP039,Normal
神の警告,SD27-JP040,Normal
Ｃ・ＨＥＲＯ カオス,SD27-JP041,Ultra
Ｍ・ＨＥＲＯ 光牙,SD27-JP042,Super
Ｍ・ＨＥＲＯ カミカゼ,SD27-JP043,Super
Ｍ・ＨＥＲＯ ダーク・ロウ,SD27-JP044,Super
Ｅ・ＨＥＲＯ ガイア,SD27-JP045,Normal
