name,card_id,rare
真紅眼の不死竜,SD15-JP001,Ultra
邪神機−獄炎,SD15-JP002,Super
闇竜の黒騎士,SD15-JP003,Super
ゲルニア,SD15-JP004,Normal
デス・ラクーダ,SD15-JP005,Normal
カース・オブ・ヴァンパイア,SD15-JP006,Normal
ブラッド・サッカー,SD15-JP007,Normal
ヴァンパイア・ベビー,SD15-JP008,Normal
ノーブル・ド・ノワール,SD15-JP009,Normal
ピラミッド・タートル,SD15-JP010,Normal
龍骨鬼,SD15-JP011,Normal
再生ミイラ,SD15-JP012,Normal
リボーン・ゾンビ,SD15-JP013,Normal
傀儡虫,SD15-JP014,Normal
ゾンビ・マスター,SD15-JP015,Normal
アンデットワールド,SD15-JP016,Normal
魔法石の採掘,SD15-JP017,Normal
魔法効果の矢,SD15-JP018,Normal
ソウルテイカー,SD15-JP019,Normal
威圧する魔眼,SD15-JP020,Normal
大寒波,SD15-JP021,Normal
生還の宝札,SD15-JP022,Normal
強制転移,SD15-JP023,Normal
生者の書−禁断の呪術−,SD15-JP024,Normal
ミイラの呼び声,SD15-JP025,Normal
タイムカプセル,SD15-JP026,Normal
貪欲な壺,SD15-JP027,Normal
手札抹殺,SD15-JP028,Normal
フィールドバリア,SD15-JP029,Normal
王宮の鉄壁,SD15-JP030,Normal
生贄封じの仮面,SD15-JP031,Normal
奈落の落とし穴,SD15-JP032,Normal
ツタン仮面,SD15-JP033,Normal
亜空間物質転送装置,SD15-JP034,Normal
邪悪なるバリア −ダーク・フォース−,SD15-JP035,Normal
和睦の使者,SD15-JP036,Normal
マジックアーム・シールド,SD15-JP037,Normal
真紅眼の不死竜,SD15-JP001,Ultra
邪神機−獄炎,SD15-JP002,Super
闇竜の黒騎士,SD15-JP003,Super
ゲルニア,SD15-JP004,Normal
デス・ラクーダ,SD15-JP005,Normal
カース・オブ・ヴァンパイア,SD15-JP006,Normal
ブラッド・サッカー,SD15-JP007,Normal
ヴァンパイア・ベビー,SD15-JP008,Normal
ノーブル・ド・ノワール,SD15-JP009,Normal
ピラミッド・タートル,SD15-JP010,Normal
龍骨鬼,SD15-JP011,Normal
再生ミイラ,SD15-JP012,Normal
リボーン・ゾンビ,SD15-JP013,Normal
傀儡虫,SD15-JP014,Normal
ゾンビ・マスター,SD15-JP015,Normal
アンデットワールド,SD15-JP016,Normal
魔法石の採掘,SD15-JP017,Normal
魔法効果の矢,SD15-JP018,Normal
ソウルテイカー,SD15-JP019,Normal
威圧する魔眼,SD15-JP020,Normal
大寒波,SD15-JP021,Normal
生還の宝札,SD15-JP022,Normal
強制転移,SD15-JP023,Normal
生者の書−禁断の呪術−,SD15-JP024,Normal
ミイラの呼び声,SD15-JP025,Normal
タイムカプセル,SD15-JP026,Normal
貪欲な壺,SD15-JP027,Normal
手札抹殺,SD15-JP028,Normal
フィールドバリア,SD15-JP029,Normal
王宮の鉄壁,SD15-JP030,Normal
生贄封じの仮面,SD15-JP031,Normal
奈落の落とし穴,SD15-JP032,Normal
ツタン仮面,SD15-JP033,Normal
亜空間物質転送装置,SD15-JP034,Normal
邪悪なるバリア −ダーク・フォース−,SD15-JP035,Normal
和睦の使者,SD15-JP036,Normal
マジックアーム・シールド,SD15-JP037,Normal
