name,card_id,rare
フェニックス・ギア・フリード,SD17-JP001,Ultra
エヴォルテクター シュバリエ,SD17-JP002,Super
フェデライザー,SD17-JP003,Super
デュアル・ソルジャー,SD17-JP004,Normal
マジック・ストライカー,SD17-JP005,Normal
究極封印神エクゾディオス,SD17-JP006,Normal
聖導騎士イシュザーク,SD17-JP007,Normal
光帝クライス,SD17-JP008,Normal
無敗将軍 フリード,SD17-JP009,Normal
切り込み隊長,SD17-JP010,Normal
ならず者傭兵部隊,SD17-JP011,Normal
異次元の女戦士,SD17-JP012,Normal
カードガンナー,SD17-JP013,Normal
デュアル・サモナー,SD17-JP014,Normal
炎妖蝶ウィルプス,SD17-JP015,Normal
異次元の戦士,SD17-JP016,Normal
未来サムライ,SD17-JP017,Normal
戦士ラーズ,SD17-JP018,Normal
ダーク・ヴァルキリア,SD17-JP019,Normal
スーペルヴィス,SD17-JP020,Normal
精神操作,SD17-JP021,Normal
強者の苦痛,SD17-JP022,Normal
黙する死者,SD17-JP023,Normal
アームズ・ホール,SD17-JP024,Normal
増援,SD17-JP025,Normal
ビッグバン・シュート,SD17-JP026,Normal
闇の量産工場,SD17-JP027,Normal
神剣−フェニックスブレード,SD17-JP028,Normal
二重召喚,SD17-JP029,Normal
戦線復活の代償,SD17-JP030,Normal
思い出のブランコ,SD17-JP031,Normal
フォース・リリース,SD17-JP032,Normal
リボーンリボン,SD17-JP033,Normal
魔宮の賄賂,SD17-JP034,Normal
鎖付きブーメラン,SD17-JP035,Normal
炸裂装甲,SD17-JP036,Normal
ジャスティブレイク,SD17-JP037,Normal
正統なる血統,SD17-JP038,Normal
二重の落とし穴,SD17-JP039,Normal
フェニックス・ギア・フリード,SD17-JP001,Ultra
エヴォルテクター シュバリエ,SD17-JP002,Super
フェデライザー,SD17-JP003,Super
デュアル・ソルジャー,SD17-JP004,Normal
マジック・ストライカー,SD17-JP005,Normal
究極封印神エクゾディオス,SD17-JP006,Normal
聖導騎士イシュザーク,SD17-JP007,Normal
光帝クライス,SD17-JP008,Normal
無敗将軍 フリード,SD17-JP009,Normal
切り込み隊長,SD17-JP010,Normal
ならず者傭兵部隊,SD17-JP011,Normal
異次元の女戦士,SD17-JP012,Normal
カードガンナー,SD17-JP013,Normal
デュアル・サモナー,SD17-JP014,Normal
炎妖蝶ウィルプス,SD17-JP015,Normal
異次元の戦士,SD17-JP016,Normal
未来サムライ,SD17-JP017,Normal
戦士ラーズ,SD17-JP018,Normal
ダーク・ヴァルキリア,SD17-JP019,Normal
スーペルヴィス,SD17-JP020,Normal
精神操作,SD17-JP021,Normal
強者の苦痛,SD17-JP022,Normal
黙する死者,SD17-JP023,Normal
アームズ・ホール,SD17-JP024,Normal
増援,SD17-JP025,Normal
ビッグバン・シュート,SD17-JP026,Normal
闇の量産工場,SD17-JP027,Normal
神剣−フェニックスブレード,SD17-JP028,Normal
二重召喚,SD17-JP029,Normal
戦線復活の代償,SD17-JP030,Normal
思い出のブランコ,SD17-JP031,Normal
フォース・リリース,SD17-JP032,Normal
リボーンリボン,SD17-JP033,Normal
魔宮の賄賂,SD17-JP034,Normal
鎖付きブーメラン,SD17-JP035,Normal
炸裂装甲,SD17-JP036,Normal
ジャスティブレイク,SD17-JP037,Normal
正統なる血統,SD17-JP038,Normal
二重の落とし穴,SD17-JP039,Normal
