name,card_id,rare
アタッチメント・サイバーン,SD41-JP001,N-Parallel
サイバー・ダーク・キメラ,SD41-JP002,Super
サイバー・ドラゴン,SD41-JP003,Normal
サイバー・ドラゴン・ツヴァイ,SD41-JP004,Normal
サイバー・ドラゴン・ドライ,SD41-JP005,Normal
サイバー・ドラゴン・フィーア,SD41-JP006,Normal
サイバー・ドラゴン・ネクステア,SD41-JP007,Normal
サイバー・ドラゴン・コア,SD41-JP008,Normal
サイバー・ドラゴン・ヘルツ,SD41-JP009,Normal
サイバー・ファロス,SD41-JP010,Normal
サイバー・ヴァリー,SD41-JP011,Normal
サイバー・フェニックス,SD41-JP012,Normal
サイバー・ダーク・ホーン,SD41-JP013,Normal
サイバー・ダーク・エッジ,SD41-JP014,Normal
サイバー・ダーク・キール,SD41-JP015,Normal
サイバー・ダーク・カノン,SD41-JP016,Normal
サイバー・ダーク・クロー,SD41-JP017,Normal
比翼レンリン,SD41-JP018,Normal
壊星壊獣ジズキエル,SD41-JP019,Normal
機巧蛇−叢雲遠呂智,SD41-JP020,Normal
ゲール・ドグラ,SD41-JP021,Normal
エターナル・サイバー,SD41-JP022,N-Parallel
サイバーダーク・ワールド,SD41-JP023,Super
サイバー・リペア・プラント,SD41-JP024,Normal
エマージェンシー・サイバー,SD41-JP025,Normal
サイバーロード・フュージョン,SD41-JP026,Normal
サイバーダーク・インパクト！,SD41-JP027,Normal
サイバーダーク・インフェルノ,SD41-JP028,Normal
未来融合−フューチャー・フュージョン,SD41-JP029,Normal
融合派兵,SD41-JP030,Normal
融合識別,SD41-JP031,Normal
機械複製術,SD41-JP032,Normal
リミッター解除,SD41-JP033,Normal
ライトニング・ストーム,SD41-JP034,Normal
サイバーダーク・インヴェイジョン,SD41-JP035,N-Parallel
サイバネティック・レボリューション,SD41-JP036,Normal
無限泡影,SD41-JP037,Normal
パワー・ウォール,SD41-JP038,Normal
リビングデッドの呼び声,SD41-JP039,Normal
バージェストマ・カナディア,SD41-JP040,Normal
サイバー・エンド・ドラゴン,SD41-JP041,N-Parallel
キメラテック・オーバー・ドラゴン,SD41-JP042,N-Parallel
鎧獄竜−サイバー・ダークネス・ドラゴン,SD41-JP043,N-Parallel
アタッチメント・サイバーン,SD41-JP001,N-Parallel
サイバー・ダーク・キメラ,SD41-JP002,Super
サイバー・ドラゴン,SD41-JP003,Normal
サイバー・ドラゴン・ツヴァイ,SD41-JP004,Normal
サイバー・ドラゴン・ドライ,SD41-JP005,Normal
サイバー・ドラゴン・フィーア,SD41-JP006,Normal
サイバー・ドラゴン・ネクステア,SD41-JP007,Normal
サイバー・ドラゴン・コア,SD41-JP008,Normal
サイバー・ドラゴン・ヘルツ,SD41-JP009,Normal
サイバー・ファロス,SD41-JP010,Normal
サイバー・ヴァリー,SD41-JP011,Normal
サイバー・フェニックス,SD41-JP012,Normal
サイバー・ダーク・ホーン,SD41-JP013,Normal
サイバー・ダーク・エッジ,SD41-JP014,Normal
サイバー・ダーク・キール,SD41-JP015,Normal
サイバー・ダーク・カノン,SD41-JP016,Normal
サイバー・ダーク・クロー,SD41-JP017,Normal
比翼レンリン,SD41-JP018,Normal
壊星壊獣ジズキエル,SD41-JP019,Normal
機巧蛇−叢雲遠呂智,SD41-JP020,Normal
ゲール・ドグラ,SD41-JP021,Normal
エターナル・サイバー,SD41-JP022,N-Parallel
サイバーダーク・ワールド,SD41-JP023,Super
サイバー・リペア・プラント,SD41-JP024,Normal
エマージェンシー・サイバー,SD41-JP025,Normal
サイバーロード・フュージョン,SD41-JP026,Normal
サイバーダーク・インパクト！,SD41-JP027,Normal
サイバーダーク・インフェルノ,SD41-JP028,Normal
未来融合−フューチャー・フュージョン,SD41-JP029,Normal
融合派兵,SD41-JP030,Normal
融合識別,SD41-JP031,Normal
機械複製術,SD41-JP032,Normal
リミッター解除,SD41-JP033,Normal
ライトニング・ストーム,SD41-JP034,Normal
サイバーダーク・インヴェイジョン,SD41-JP035,N-Parallel
サイバネティック・レボリューション,SD41-JP036,Normal
無限泡影,SD41-JP037,Normal
パワー・ウォール,SD41-JP038,Normal
リビングデッドの呼び声,SD41-JP039,Normal
バージェストマ・カナディア,SD41-JP040,Normal
サイバー・エンド・ドラゴン,SD41-JP041,N-Parallel
キメラテック・オーバー・ドラゴン,SD41-JP042,N-Parallel
鎧獄竜−サイバー・ダークネス・ドラゴン,SD41-JP043,N-Parallel
