name,card_id,rare
暗黒界の龍神 グラファ,SD21-JP001,Ultra
暗黒界の術師 スノウ,SD21-JP002,Super
暗黒界の導師 セルリ,SD21-JP003,Super
暗黒界の斥候 スカー,SD21-JP004,Normal
暗黒界の刺客 カーキ,SD21-JP005,Normal
暗黒界の策士 グリン,SD21-JP006,Normal
暗黒界の狩人 ブラウ,SD21-JP007,Normal
暗黒界の尖兵 ベージ,SD21-JP008,Normal
暗黒界の狂王 ブロン,SD21-JP009,Normal
暗黒界の軍神 シルバ,SD21-JP010,Normal
暗黒界の武神 ゴルド,SD21-JP011,Normal
暗黒界の魔神 レイン,SD21-JP012,Normal
軍神ガープ,SD21-JP013,Normal
ダークネス・ネオスフィア,SD21-JP014,Normal
闇の侯爵ベリアル,SD21-JP015,Normal
トラゴエディア,SD21-JP016,Normal
ジャイアントウィルス,SD21-JP017,Normal
ダーク・ネクロフィア,SD21-JP018,Normal
クリッター,SD21-JP019,Normal
グレイブ・スクワーマー,SD21-JP020,Normal
バトルフェーダー,SD21-JP021,Normal
暗黒界の門,SD21-JP022,Normal
暗黒界の雷,SD21-JP023,Normal
暗黒界に続く結界通路,SD21-JP024,Normal
暗黒界の取引,SD21-JP025,Normal
悪夢再び,SD21-JP026,Normal
闇の誘惑,SD21-JP027,Normal
手札抹殺,SD21-JP028,Normal
団結の力,SD21-JP029,Normal
テラ・フォーミング,SD21-JP030,Normal
暗黒の謀略,SD21-JP031,Normal
暗黒よりの軍勢,SD21-JP032,Normal
魔のデッキ破壊ウイルス,SD21-JP033,Normal
闇のデッキ破壊ウイルス,SD21-JP034,Normal
マインドクラッシュ,SD21-JP035,Normal
転生の予言,SD21-JP036,Normal
闇次元の解放,SD21-JP037,Normal
魔宮の賄賂,SD21-JP038,Normal
暗黒界の龍神 グラファ,SD21-JP001,Ultra
暗黒界の術師 スノウ,SD21-JP002,Super
暗黒界の導師 セルリ,SD21-JP003,Super
暗黒界の斥候 スカー,SD21-JP004,Normal
暗黒界の刺客 カーキ,SD21-JP005,Normal
暗黒界の策士 グリン,SD21-JP006,Normal
暗黒界の狩人 ブラウ,SD21-JP007,Normal
暗黒界の尖兵 ベージ,SD21-JP008,Normal
暗黒界の狂王 ブロン,SD21-JP009,Normal
暗黒界の軍神 シルバ,SD21-JP010,Normal
暗黒界の武神 ゴルド,SD21-JP011,Normal
暗黒界の魔神 レイン,SD21-JP012,Normal
軍神ガープ,SD21-JP013,Normal
ダークネス・ネオスフィア,SD21-JP014,Normal
闇の侯爵ベリアル,SD21-JP015,Normal
トラゴエディア,SD21-JP016,Normal
ジャイアントウィルス,SD21-JP017,Normal
ダーク・ネクロフィア,SD21-JP018,Normal
クリッター,SD21-JP019,Normal
グレイブ・スクワーマー,SD21-JP020,Normal
バトルフェーダー,SD21-JP021,Normal
暗黒界の門,SD21-JP022,Normal
暗黒界の雷,SD21-JP023,Normal
暗黒界に続く結界通路,SD21-JP024,Normal
暗黒界の取引,SD21-JP025,Normal
悪夢再び,SD21-JP026,Normal
闇の誘惑,SD21-JP027,Normal
手札抹殺,SD21-JP028,Normal
団結の力,SD21-JP029,Normal
テラ・フォーミング,SD21-JP030,Normal
暗黒の謀略,SD21-JP031,Normal
暗黒よりの軍勢,SD21-JP032,Normal
魔のデッキ破壊ウイルス,SD21-JP033,Normal
闇のデッキ破壊ウイルス,SD21-JP034,Normal
マインドクラッシュ,SD21-JP035,Normal
転生の予言,SD21-JP036,Normal
闇次元の解放,SD21-JP037,Normal
魔宮の賄賂,SD21-JP038,Normal
