name,card_id,rare
ドングルドングリ,SD33-JP001,Normal
ガベージコレクター,SD33-JP002,Normal
シーアーカイバー,SD33-JP003,Super
フレイム・バッファロー,SD33-JP004,Super
レディ・デバッガー,SD33-JP005,Super
アンチエイリアン,SD33-JP006,Normal
ストームサイファー,SD33-JP007,N-Parallel
セグメンタル・ドラゴン,SD33-JP008,Ultra
サイバース・ガジェット,SD33-JP009,N-Parallel
トーチ・ゴーレム,SD33-JP010,N-Parallel
ジュラゲド,SD33-JP011,Normal
幻獣機テザーウルフ,SD33-JP012,Normal
輪廻天狗,SD33-JP013,Normal
スカル・マイスター,SD33-JP014,Normal
同族感染ウィルス,SD33-JP015,Normal
ゴブリンドバーグ,SD33-JP016,Normal
幻銃士,SD33-JP017,Normal
Ａ・ジェネクス・バードマン,SD33-JP018,Normal
魔導雑貨商人,SD33-JP019,Normal
クラスター・ペンデュラム,SD33-JP020,Normal
ドロール＆ロックバード,SD33-JP021,Normal
サイバネット・ストーム,SD33-JP022,Normal
ナイト・ショット,SD33-JP023,Normal
死者への供物,SD33-JP024,Normal
禁じられた聖杯,SD33-JP025,Normal
スケープ・ゴート,SD33-JP026,Normal
光の護封剣,SD33-JP027,Normal
名推理,SD33-JP028,Normal
ワン・フォー・ワン,SD33-JP029,Normal
盆回し,SD33-JP030,Normal
パケットリンク,SD33-JP031,N-Parallel
荒野の大竜巻,SD33-JP032,Normal
蟲惑の落とし穴,SD33-JP033,Normal
業炎のバリア −ファイヤー・フォース−,SD33-JP034,Normal
トラップ・スタン,SD33-JP035,Normal
安全地帯,SD33-JP036,Normal
リビングデッドの呼び声,SD33-JP037,Normal
無謀な欲張り,SD33-JP038,Normal
透破抜き,SD33-JP039,Normal
パワーコード・トーカー,SD33-JP040,Ultra
トラフィックゴースト,SD33-JP041,N-Parallel
ＬＡＮフォリンクス,SD33-JP042,N-Parallel
ドングルドングリ,SD33-JP001,Normal
ガベージコレクター,SD33-JP002,Normal
シーアーカイバー,SD33-JP003,Super
フレイム・バッファロー,SD33-JP004,Super
レディ・デバッガー,SD33-JP005,Super
アンチエイリアン,SD33-JP006,Normal
ストームサイファー,SD33-JP007,N-Parallel
セグメンタル・ドラゴン,SD33-JP008,Ultra
サイバース・ガジェット,SD33-JP009,N-Parallel
トーチ・ゴーレム,SD33-JP010,N-Parallel
ジュラゲド,SD33-JP011,Normal
幻獣機テザーウルフ,SD33-JP012,Normal
輪廻天狗,SD33-JP013,Normal
スカル・マイスター,SD33-JP014,Normal
同族感染ウィルス,SD33-JP015,Normal
ゴブリンドバーグ,SD33-JP016,Normal
幻銃士,SD33-JP017,Normal
Ａ・ジェネクス・バードマン,SD33-JP018,Normal
魔導雑貨商人,SD33-JP019,Normal
クラスター・ペンデュラム,SD33-JP020,Normal
ドロール＆ロックバード,SD33-JP021,Normal
サイバネット・ストーム,SD33-JP022,Normal
ナイト・ショット,SD33-JP023,Normal
死者への供物,SD33-JP024,Normal
禁じられた聖杯,SD33-JP025,Normal
スケープ・ゴート,SD33-JP026,Normal
光の護封剣,SD33-JP027,Normal
名推理,SD33-JP028,Normal
ワン・フォー・ワン,SD33-JP029,Normal
盆回し,SD33-JP030,Normal
パケットリンク,SD33-JP031,N-Parallel
荒野の大竜巻,SD33-JP032,Normal
蟲惑の落とし穴,SD33-JP033,Normal
業炎のバリア −ファイヤー・フォース−,SD33-JP034,Normal
トラップ・スタン,SD33-JP035,Normal
安全地帯,SD33-JP036,Normal
リビングデッドの呼び声,SD33-JP037,Normal
無謀な欲張り,SD33-JP038,Normal
透破抜き,SD33-JP039,Normal
パワーコード・トーカー,SD33-JP040,Ultra
トラフィックゴースト,SD33-JP041,N-Parallel
ＬＡＮフォリンクス,SD33-JP042,N-Parallel
