name,card_id,rare
アストログラフ・マジシャン,SD31-JP001,Ultra
クロノグラフ・マジシャン,SD31-JP002,Super
虹彩の魔術師,SD31-JP003,Super
黒牙の魔術師,SD31-JP004,Super
白翼の魔術師,SD31-JP005,Super
紫毒の魔術師,SD31-JP006,Super
星読みの魔術師,SD31-JP007,Normal
時読みの魔術師,SD31-JP008,Normal
相克の魔術師,SD31-JP009,Normal
相生の魔術師,SD31-JP010,Normal
刻剣の魔術師,SD31-JP011,Normal
曲芸の魔術師,SD31-JP012,Normal
降竜の魔術師,SD31-JP013,Normal
慧眼の魔術師,SD31-JP014,Normal
法眼の魔術師,SD31-JP015,Normal
調律の魔術師,SD31-JP016,Normal
フーコーの魔砲石,SD31-JP017,Normal
召喚師ライズベルト,SD31-JP018,Normal
ヒュプノシスター,SD31-JP019,Normal
エキセントリック・デーモン,SD31-JP020,Normal
解放のアリアドネ,SD31-JP021,Normal
ヨコシマウマ,SD31-JP022,Normal
星霜のペンデュラムグラフ,SD31-JP023,Normal
アメイジング・ペンデュラム,SD31-JP024,Normal
揺れる眼差し,SD31-JP025,Normal
金満な壺,SD31-JP026,Normal
魔力隔壁,SD31-JP027,Normal
ダブル・サイクロン,SD31-JP028,Normal
チキンレース,SD31-JP029,Normal
成金ゴブリン,SD31-JP030,Normal
ミラクルシンクロフュージョン,SD31-JP031,Normal
時空のペンデュラムグラフ,SD31-JP032,Normal
時空の落とし穴,SD31-JP033,Normal
ペンデュラム・リボーン,SD31-JP034,Normal
ペンデュラム・ホール,SD31-JP035,Normal
連成する振動,SD31-JP036,Normal
揺るがぬ絆,SD31-JP037,Normal
臨時収入,SD31-JP038,Normal
マジシャンズ・サークル,SD31-JP039,Normal
神の忠告,SD31-JP040,Normal
星刻の魔術師,SD31-JP041,Ultra
覚醒の魔導剣士,SD31-JP042,Normal
覇魔導士アーカナイト・マジシャン,SD31-JP043,Normal
アストログラフ・マジシャン,SD31-JP001,Ultra
クロノグラフ・マジシャン,SD31-JP002,Super
虹彩の魔術師,SD31-JP003,Super
黒牙の魔術師,SD31-JP004,Super
白翼の魔術師,SD31-JP005,Super
紫毒の魔術師,SD31-JP006,Super
星読みの魔術師,SD31-JP007,Normal
時読みの魔術師,SD31-JP008,Normal
相克の魔術師,SD31-JP009,Normal
相生の魔術師,SD31-JP010,Normal
刻剣の魔術師,SD31-JP011,Normal
曲芸の魔術師,SD31-JP012,Normal
降竜の魔術師,SD31-JP013,Normal
慧眼の魔術師,SD31-JP014,Normal
法眼の魔術師,SD31-JP015,Normal
調律の魔術師,SD31-JP016,Normal
フーコーの魔砲石,SD31-JP017,Normal
召喚師ライズベルト,SD31-JP018,Normal
ヒュプノシスター,SD31-JP019,Normal
エキセントリック・デーモン,SD31-JP020,Normal
解放のアリアドネ,SD31-JP021,Normal
ヨコシマウマ,SD31-JP022,Normal
星霜のペンデュラムグラフ,SD31-JP023,Normal
アメイジング・ペンデュラム,SD31-JP024,Normal
揺れる眼差し,SD31-JP025,Normal
金満な壺,SD31-JP026,Normal
魔力隔壁,SD31-JP027,Normal
ダブル・サイクロン,SD31-JP028,Normal
チキンレース,SD31-JP029,Normal
成金ゴブリン,SD31-JP030,Normal
ミラクルシンクロフュージョン,SD31-JP031,Normal
時空のペンデュラムグラフ,SD31-JP032,Normal
時空の落とし穴,SD31-JP033,Normal
ペンデュラム・リボーン,SD31-JP034,Normal
ペンデュラム・ホール,SD31-JP035,Normal
連成する振動,SD31-JP036,Normal
揺るがぬ絆,SD31-JP037,Normal
臨時収入,SD31-JP038,Normal
マジシャンズ・サークル,SD31-JP039,Normal
神の忠告,SD31-JP040,Normal
星刻の魔術師,SD31-JP041,Ultra
覚醒の魔導剣士,SD31-JP042,Normal
覇魔導士アーカナイト・マジシャン,SD31-JP043,Normal
