name,card_id,rare
ＤＤＤ極智王カオス・アポカリプス,SD30-JP001,Ultra
ＤＤ魔導賢者ニュートン,SD30-JP002,N-Parallel
ＤＤ魔導賢者コペルニクス,SD30-JP003,N-Parallel
ＤＤオルトロス,SD30-JP004,Super
ＤＤラミア,SD30-JP005,N-Parallel
ＤＤＤ死偉王ヘル・アーマゲドン,SD30-JP006,Normal
ＤＤケルベロス,SD30-JP007,Normal
ＤＤリリス,SD30-JP008,Normal
ＤＤナイト・ハウリング,SD30-JP009,Normal
ＤＤ魔導賢者ガリレイ,SD30-JP010,Normal
ＤＤ魔導賢者ケプラー,SD30-JP011,Normal
ＤＤＤ壊薙王アビス・ラグナロク,SD30-JP012,N-Parallel
ＤＤＤ制覇王カイゼル,SD30-JP013,Normal
ＤＤプラウド・オーガ,SD30-JP014,Normal
ＤＤプラウド・シュバリエ,SD30-JP015,Normal
ダーク・アームド・ドラゴン,SD30-JP016,Normal
ダーク・グレファー,SD30-JP017,Normal
終末の騎士,SD30-JP018,Normal
トランス・デーモン,SD30-JP019,Normal
魔界発現世行きデスガイド,SD30-JP020,Normal
クリバンデット,SD30-JP021,Normal
ヘルウェイ・パトロール,SD30-JP022,Normal
ヘル・セキュリティ,SD30-JP023,Normal
闇魔界の契約書,SD30-JP024,Super
地獄門の契約書,SD30-JP025,Normal
魔神王の契約書,SD30-JP026,Normal
おろかな埋葬,SD30-JP027,Normal
ワン・フォー・ワン,SD30-JP028,Normal
悪夢再び,SD30-JP029,Normal
闇の誘惑,SD30-JP030,Normal
ダーク・バースト,SD30-JP031,Normal
非常食,SD30-JP032,Normal
ＤＤリビルド,SD30-JP033,N-Parallel
ＤＤリクルート,SD30-JP034,Normal
ＤＤＤの人事権,SD30-JP035,Normal
戦乙女の契約書,SD30-JP036,Normal
契約洗浄,SD30-JP037,Normal
悪魔の憑代,SD30-JP038,Normal
闇次元の解放,SD30-JP039,Normal
活路への希望,SD30-JP040,Normal
ＤＤＤ剋竜王ベオウルフ,SD30-JP041,Ultra
ＤＤＤ呪血王サイフリート,SD30-JP042,Super
ＤＤＤ怒濤王シーザー,SD30-JP043,N-Parallel
ＤＤＤ極智王カオス・アポカリプス,SD30-JP001,Ultra
ＤＤ魔導賢者ニュートン,SD30-JP002,N-Parallel
ＤＤ魔導賢者コペルニクス,SD30-JP003,N-Parallel
ＤＤオルトロス,SD30-JP004,Super
ＤＤラミア,SD30-JP005,N-Parallel
ＤＤＤ死偉王ヘル・アーマゲドン,SD30-JP006,Normal
ＤＤケルベロス,SD30-JP007,Normal
ＤＤリリス,SD30-JP008,Normal
ＤＤナイト・ハウリング,SD30-JP009,Normal
ＤＤ魔導賢者ガリレイ,SD30-JP010,Normal
ＤＤ魔導賢者ケプラー,SD30-JP011,Normal
ＤＤＤ壊薙王アビス・ラグナロク,SD30-JP012,N-Parallel
ＤＤＤ制覇王カイゼル,SD30-JP013,Normal
ＤＤプラウド・オーガ,SD30-JP014,Normal
ＤＤプラウド・シュバリエ,SD30-JP015,Normal
ダーク・アームド・ドラゴン,SD30-JP016,Normal
ダーク・グレファー,SD30-JP017,Normal
終末の騎士,SD30-JP018,Normal
トランス・デーモン,SD30-JP019,Normal
魔界発現世行きデスガイド,SD30-JP020,Normal
クリバンデット,SD30-JP021,Normal
ヘルウェイ・パトロール,SD30-JP022,Normal
ヘル・セキュリティ,SD30-JP023,Normal
闇魔界の契約書,SD30-JP024,Super
地獄門の契約書,SD30-JP025,Normal
魔神王の契約書,SD30-JP026,Normal
おろかな埋葬,SD30-JP027,Normal
ワン・フォー・ワン,SD30-JP028,Normal
悪夢再び,SD30-JP029,Normal
闇の誘惑,SD30-JP030,Normal
ダーク・バースト,SD30-JP031,Normal
非常食,SD30-JP032,Normal
ＤＤリビルド,SD30-JP033,N-Parallel
ＤＤリクルート,SD30-JP034,Normal
ＤＤＤの人事権,SD30-JP035,Normal
戦乙女の契約書,SD30-JP036,Normal
契約洗浄,SD30-JP037,Normal
悪魔の憑代,SD30-JP038,Normal
闇次元の解放,SD30-JP039,Normal
活路への希望,SD30-JP040,Normal
ＤＤＤ剋竜王ベオウルフ,SD30-JP041,Ultra
ＤＤＤ呪血王サイフリート,SD30-JP042,Super
ＤＤＤ怒濤王シーザー,SD30-JP043,N-Parallel
