name,card_id,rare
マシンナーズ・フォートレス,SD18-JP001,Ultra
マシンナーズ・ギアフレーム,SD18-JP002,Super
マシンナーズ・ピースキーパー,SD18-JP003,Super
スクラップ・リサイクラー,SD18-JP004,Normal
督戦官コヴィントン,SD18-JP005,Normal
マシンナーズ・ソルジャー,SD18-JP006,Normal
マシンナーズ・スナイパー,SD18-JP007,Normal
マシンナーズ・ディフェンダー,SD18-JP008,Normal
マシンナーズ・フォース,SD18-JP009,Normal
サイファー・スカウター,SD18-JP010,Normal
スフィア・ボム 球体時限爆弾,SD18-JP011,Normal
強化支援メカ・ヘビーウェポン,SD18-JP012,Normal
サイバー・ドラゴン,SD18-JP013,Normal
プロト・サイバー・ドラゴン,SD18-JP014,Normal
グリーン・ガジェット,SD18-JP015,Normal
レッド・ガジェット,SD18-JP016,Normal
イエロー・ガジェット,SD18-JP017,Normal
アーマード・サイバーン,SD18-JP018,Normal
サイバー・ヴァリー,SD18-JP019,Normal
機甲部隊の最前線,SD18-JP020,Normal
禁止令,SD18-JP021,Normal
光の護封剣,SD18-JP022,Normal
収縮,SD18-JP023,Normal
前線基地,SD18-JP024,Normal
コンビネーション・アタック,SD18-JP025,Normal
波動キャノン,SD18-JP026,Normal
機械複製術,SD18-JP027,Normal
地獄の暴走召喚,SD18-JP028,Normal
手札断殺,SD18-JP029,Normal
カードトレーダー,SD18-JP030,Normal
時の機械−タイム・マシーン,SD18-JP031,Normal
次元幽閉,SD18-JP032,Normal
メタル化・魔法反射装甲,SD18-JP033,Normal
レアメタル化・魔法反射装甲,SD18-JP034,Normal
停戦協定,SD18-JP035,Normal
フォーメーション・ユニオン,SD18-JP036,Normal
強制脱出装置,SD18-JP037,Normal
ゲットライド！,SD18-JP038,Normal
マシンナーズ・フォートレス,SD18-JP001,Ultra
マシンナーズ・ギアフレーム,SD18-JP002,Super
マシンナーズ・ピースキーパー,SD18-JP003,Super
スクラップ・リサイクラー,SD18-JP004,Normal
督戦官コヴィントン,SD18-JP005,Normal
マシンナーズ・ソルジャー,SD18-JP006,Normal
マシンナーズ・スナイパー,SD18-JP007,Normal
マシンナーズ・ディフェンダー,SD18-JP008,Normal
マシンナーズ・フォース,SD18-JP009,Normal
サイファー・スカウター,SD18-JP010,Normal
スフィア・ボム 球体時限爆弾,SD18-JP011,Normal
強化支援メカ・ヘビーウェポン,SD18-JP012,Normal
サイバー・ドラゴン,SD18-JP013,Normal
プロト・サイバー・ドラゴン,SD18-JP014,Normal
グリーン・ガジェット,SD18-JP015,Normal
レッド・ガジェット,SD18-JP016,Normal
イエロー・ガジェット,SD18-JP017,Normal
アーマード・サイバーン,SD18-JP018,Normal
サイバー・ヴァリー,SD18-JP019,Normal
機甲部隊の最前線,SD18-JP020,Normal
禁止令,SD18-JP021,Normal
光の護封剣,SD18-JP022,Normal
収縮,SD18-JP023,Normal
前線基地,SD18-JP024,Normal
コンビネーション・アタック,SD18-JP025,Normal
波動キャノン,SD18-JP026,Normal
機械複製術,SD18-JP027,Normal
地獄の暴走召喚,SD18-JP028,Normal
手札断殺,SD18-JP029,Normal
カードトレーダー,SD18-JP030,Normal
時の機械−タイム・マシーン,SD18-JP031,Normal
次元幽閉,SD18-JP032,Normal
メタル化・魔法反射装甲,SD18-JP033,Normal
レアメタル化・魔法反射装甲,SD18-JP034,Normal
停戦協定,SD18-JP035,Normal
フォーメーション・ユニオン,SD18-JP036,Normal
強制脱出装置,SD18-JP037,Normal
ゲットライド！,SD18-JP038,Normal
