name,card_id,rare
レイテンシ,SD34-JP001,Normal
スワップリースト,SD34-JP002,N-Parallel
デフコンバード,SD34-JP003,N-Parallel
マイクロ・コーダー,SD34-JP004,Ultra
プロフィビット・スネーク,SD34-JP005,N-Parallel
コード・ラジエーター,SD34-JP006,Super
サルベージェント・ドライバー,SD34-JP007,Normal
サイバース・ウィザード,SD34-JP008,Normal
ランチャー・コマンダー,SD34-JP009,Normal
ビットルーパー,SD34-JP010,Normal
バックアップ・セクレタリー,SD34-JP011,Normal
サイバース・コンバーター,SD34-JP012,Normal
スタック・リバイバー,SD34-JP013,Normal
リンク・インフライヤー,SD34-JP014,Normal
護封剣の剣士,SD34-JP015,Normal
亡龍の戦慄−デストルドー,SD34-JP016,Normal
カオス・ソーサラー,SD34-JP017,Normal
こけコッコ,SD34-JP018,Normal
超電磁タートル,SD34-JP019,Normal
ファイヤー・ハンド,SD34-JP020,Normal
アイス・ハンド,SD34-JP021,Normal
スプール・コード,SD34-JP022,Normal
サイバネット・オプティマイズ,SD34-JP023,Super
サイバネット・コーデック,SD34-JP024,Super
ワンタイム・パスコード,SD34-JP025,Normal
二重召喚,SD34-JP026,Normal
禁じられた聖典,SD34-JP027,Normal
皆既日蝕の書,SD34-JP028,Normal
手札断殺,SD34-JP029,Normal
大欲な壺,SD34-JP030,Normal
端末世界,SD34-JP031,Normal
サイバネット・コンフリクト,SD34-JP032,N-Parallel
サイバース・ビーコン,SD34-JP033,Normal
戦線復帰,SD34-JP034,Normal
タイフーン,SD34-JP035,Normal
ブレイクスルー・スキル,SD34-JP036,Normal
妖怪のいたずら,SD34-JP037,Normal
和睦の使者,SD34-JP038,Normal
串刺しの落とし穴,SD34-JP039,Normal
異次元グランド,SD34-JP040,Normal
シューティングコード・トーカー,SD34-JP041,Ultra
エルフェーズ,SD34-JP042,N-Parallel
トークバック・ランサー,SD34-JP043,N-Parallel
コード・トーカー,SD34-JP044,Normal
レイテンシ,SD34-JP001,Normal
スワップリースト,SD34-JP002,N-Parallel
デフコンバード,SD34-JP003,N-Parallel
マイクロ・コーダー,SD34-JP004,Ultra
プロフィビット・スネーク,SD34-JP005,N-Parallel
コード・ラジエーター,SD34-JP006,Super
サルベージェント・ドライバー,SD34-JP007,Normal
サイバース・ウィザード,SD34-JP008,Normal
ランチャー・コマンダー,SD34-JP009,Normal
ビットルーパー,SD34-JP010,Normal
バックアップ・セクレタリー,SD34-JP011,Normal
サイバース・コンバーター,SD34-JP012,Normal
スタック・リバイバー,SD34-JP013,Normal
リンク・インフライヤー,SD34-JP014,Normal
護封剣の剣士,SD34-JP015,Normal
亡龍の戦慄−デストルドー,SD34-JP016,Normal
カオス・ソーサラー,SD34-JP017,Normal
こけコッコ,SD34-JP018,Normal
超電磁タートル,SD34-JP019,Normal
ファイヤー・ハンド,SD34-JP020,Normal
アイス・ハンド,SD34-JP021,Normal
スプール・コード,SD34-JP022,Normal
サイバネット・オプティマイズ,SD34-JP023,Super
サイバネット・コーデック,SD34-JP024,Super
ワンタイム・パスコード,SD34-JP025,Normal
二重召喚,SD34-JP026,Normal
禁じられた聖典,SD34-JP027,Normal
皆既日蝕の書,SD34-JP028,Normal
手札断殺,SD34-JP029,Normal
大欲な壺,SD34-JP030,Normal
端末世界,SD34-JP031,Normal
サイバネット・コンフリクト,SD34-JP032,N-Parallel
サイバース・ビーコン,SD34-JP033,Normal
戦線復帰,SD34-JP034,Normal
タイフーン,SD34-JP035,Normal
ブレイクスルー・スキル,SD34-JP036,Normal
妖怪のいたずら,SD34-JP037,Normal
和睦の使者,SD34-JP038,Normal
串刺しの落とし穴,SD34-JP039,Normal
異次元グランド,SD34-JP040,Normal
シューティングコード・トーカー,SD34-JP041,Ultra
エルフェーズ,SD34-JP042,N-Parallel
トークバック・ランサー,SD34-JP043,N-Parallel
コード・トーカー,SD34-JP044,Normal
