name,card_id,rare
氷結界の虎将 ウェイン,SD40-JP001,N-Parallel
氷結界の照魔師,SD40-JP002,SR-Parallel
氷結界の依巫,SD40-JP003,SR-Parallel
氷結界の霜精,SD40-JP004,N-Parallel
氷結界の番人 ブリズド,SD40-JP005,Normal
氷結界の術者,SD40-JP006,Normal
氷結界の伝道師,SD40-JP007,N-Parallel
氷結界の守護陣,SD40-JP008,Normal
氷結界の破術師,SD40-JP009,Normal
氷結界の封魔団,SD40-JP010,Normal
氷結界の軍師,SD40-JP011,Normal
氷結界の舞姫,SD40-JP012,N-Parallel
氷結界の大僧正,SD40-JP013,Normal
氷結界の虎将 ライホウ,SD40-JP014,Normal
氷結界の交霊師,SD40-JP015,Normal
氷結界の虎将 ガンターラ,SD40-JP016,Normal
氷結界の虎将 グルナード,SD40-JP017,Normal
ジェネクス・コントローラー,SD40-JP018,Normal
ジェネクス・ウンディーネ,SD40-JP019,Normal
水の精霊 アクエリア,SD40-JP020,Normal
魔知ガエル,SD40-JP021,Normal
粋カエル,SD40-JP022,Normal
フィッシュボーグ−ランチャー,SD40-JP023,Normal
氷霊神ムーラングレイス,SD40-JP024,Normal
サイレント・アングラー,SD40-JP025,Normal
氷結界に至る晴嵐,SD40-JP026,SR-Parallel
氷結界の晶壁,SD40-JP027,N-Parallel
氷結界の三方陣,SD40-JP028,Normal
氷結界の紋章,SD40-JP029,N-Parallel
氷結界の鏡,SD40-JP030,Normal
サルベージ,SD40-JP031,N-Parallel
浮上,SD40-JP032,Normal
ワンチャン！？,SD40-JP033,Normal
抹殺の指名者,SD40-JP034,Normal
紅蓮の指名者,SD40-JP035,Normal
デモンズ・チェーン,SD40-JP036,Normal
虚無空間,SD40-JP037,Normal
メンタルドレイン,SD40-JP038,Normal
砂塵の大嵐,SD40-JP039,Normal
大捕り物,SD40-JP040,Normal
氷結界の虎王 ドゥローレン,SD40-JP041,N-Parallel
氷結界の虎将 ウェイン,SD40-JP001,N-Parallel
氷結界の照魔師,SD40-JP002,SR-Parallel
氷結界の依巫,SD40-JP003,SR-Parallel
氷結界の霜精,SD40-JP004,N-Parallel
氷結界の番人 ブリズド,SD40-JP005,Normal
氷結界の術者,SD40-JP006,Normal
氷結界の伝道師,SD40-JP007,N-Parallel
氷結界の守護陣,SD40-JP008,Normal
氷結界の破術師,SD40-JP009,Normal
氷結界の封魔団,SD40-JP010,Normal
氷結界の軍師,SD40-JP011,Normal
氷結界の舞姫,SD40-JP012,N-Parallel
氷結界の大僧正,SD40-JP013,Normal
氷結界の虎将 ライホウ,SD40-JP014,Normal
氷結界の交霊師,SD40-JP015,Normal
氷結界の虎将 ガンターラ,SD40-JP016,Normal
氷結界の虎将 グルナード,SD40-JP017,Normal
ジェネクス・コントローラー,SD40-JP018,Normal
ジェネクス・ウンディーネ,SD40-JP019,Normal
水の精霊 アクエリア,SD40-JP020,Normal
魔知ガエル,SD40-JP021,Normal
粋カエル,SD40-JP022,Normal
フィッシュボーグ−ランチャー,SD40-JP023,Normal
氷霊神ムーラングレイス,SD40-JP024,Normal
サイレント・アングラー,SD40-JP025,Normal
氷結界に至る晴嵐,SD40-JP026,SR-Parallel
氷結界の晶壁,SD40-JP027,N-Parallel
氷結界の三方陣,SD40-JP028,Normal
氷結界の紋章,SD40-JP029,N-Parallel
氷結界の鏡,SD40-JP030,Normal
サルベージ,SD40-JP031,N-Parallel
浮上,SD40-JP032,Normal
ワンチャン！？,SD40-JP033,Normal
抹殺の指名者,SD40-JP034,Normal
紅蓮の指名者,SD40-JP035,Normal
デモンズ・チェーン,SD40-JP036,Normal
虚無空間,SD40-JP037,Normal
メンタルドレイン,SD40-JP038,Normal
砂塵の大嵐,SD40-JP039,Normal
大捕り物,SD40-JP040,Normal
氷結界の虎王 ドゥローレン,SD40-JP041,N-Parallel
