name,card_id,rare
守護神エクゾード,SD7-JP001,Ultra
グレート・スピリット,SD7-JP002,Normal
巨大ネズミ,SD7-JP003,Normal
磨破羅魏,SD7-JP004,Normal
守護者スフィンクス,SD7-JP005,Normal
ギガンテス,SD7-JP006,Normal
アステカの石像,SD7-JP007,Normal
番兵ゴーレム,SD7-JP008,Normal
ヒエラコスフィンクス,SD7-JP009,Normal
クリオスフィンクス,SD7-JP010,Normal
モアイ迎撃砲,SD7-JP011,Normal
メガロック・ドラゴン,SD7-JP012,Normal
ガーディアン・スタチュー,SD7-JP013,Normal
メデューサ・ワーム,SD7-JP014,Normal
サンドモス,SD7-JP015,Normal
断層地帯,SD7-JP016,Normal
サイクロン,SD7-JP017,Normal
早すぎた埋葬,SD7-JP018,Normal
光の護封剣,SD7-JP019,Normal
右手に盾を左手に剣を,SD7-JP020,Normal
打ち出の小槌,SD7-JP021,Normal
ハンマーシュート,SD7-JP022,Normal
エクトプラズマー,SD7-JP023,Normal
洗脳−ブレインコントロール,SD7-JP024,Normal
うごめく影,SD7-JP025,Normal
和睦の使者,SD7-JP026,Normal
血の代償,SD7-JP027,Normal
マジック・ドレイン,SD7-JP028,Normal
追い剥ぎゴブリン,SD7-JP029,Normal
旅人の試練,SD7-JP030,Normal
無謀な欲張り,SD7-JP031,Normal
強制脱出装置,SD7-JP032,Normal
守護神エクゾード,SD7-JP001,Ultra
グレート・スピリット,SD7-JP002,Normal
巨大ネズミ,SD7-JP003,Normal
磨破羅魏,SD7-JP004,Normal
守護者スフィンクス,SD7-JP005,Normal
ギガンテス,SD7-JP006,Normal
アステカの石像,SD7-JP007,Normal
番兵ゴーレム,SD7-JP008,Normal
ヒエラコスフィンクス,SD7-JP009,Normal
クリオスフィンクス,SD7-JP010,Normal
モアイ迎撃砲,SD7-JP011,Normal
メガロック・ドラゴン,SD7-JP012,Normal
ガーディアン・スタチュー,SD7-JP013,Normal
メデューサ・ワーム,SD7-JP014,Normal
サンドモス,SD7-JP015,Normal
断層地帯,SD7-JP016,Normal
サイクロン,SD7-JP017,Normal
早すぎた埋葬,SD7-JP018,Normal
光の護封剣,SD7-JP019,Normal
右手に盾を左手に剣を,SD7-JP020,Normal
打ち出の小槌,SD7-JP021,Normal
ハンマーシュート,SD7-JP022,Normal
エクトプラズマー,SD7-JP023,Normal
洗脳−ブレインコントロール,SD7-JP024,Normal
うごめく影,SD7-JP025,Normal
和睦の使者,SD7-JP026,Normal
血の代償,SD7-JP027,Normal
マジック・ドレイン,SD7-JP028,Normal
追い剥ぎゴブリン,SD7-JP029,Normal
旅人の試練,SD7-JP030,Normal
無謀な欲張り,SD7-JP031,Normal
強制脱出装置,SD7-JP032,Normal
