name,card_id,rare
宝玉獣 ルビー・カーバンクル,SD44-JP001,N-Parallel
宝玉獣 アメジスト・キャット,SD44-JP002,N-Parallel
宝玉獣 エメラルド・タートル,SD44-JP003,N-Parallel
宝玉獣 トパーズ・タイガー,SD44-JP004,N-Parallel
宝玉獣 アンバー・マンモス,SD44-JP005,N-Parallel
宝玉獣 コバルト・イーグル,SD44-JP006,N-Parallel
宝玉獣 サファイア・ペガサス,SD44-JP007,N-Parallel
究極宝玉神 レインボー・ダーク・ドラゴン,SD44-JP008,Normal
宝玉の先導者,SD44-JP009,Normal
宝玉の守護者,SD44-JP010,Normal
降雷皇ハモン,SD44-JP011,Normal
ディメンション・アトラクター,SD44-JP012,Normal
接触するＧ,SD44-JP013,Normal
灰流うらら,SD44-JP014,Normal
屋敷わらし,SD44-JP015,Normal
宝玉神覚醒,SD44-JP016,N-Parallel
宝玉の加護,SD44-JP017,Normal
虹の古代都市−レインボー・ルイン,SD44-JP018,Normal
虹の架け橋,SD44-JP019,Normal
宝玉の導き,SD44-JP020,Normal
宝玉の恵み,SD44-JP021,Normal
宝玉の氾濫,SD44-JP022,Normal
宝玉の契約,SD44-JP023,Normal
宝玉の樹,SD44-JP024,Normal
宝玉の解放,SD44-JP025,Normal
レア・ヴァリュー,SD44-JP026,Normal
オーバー・ザ・レインボー,SD44-JP027,Normal
アドバンスド・ダーク,SD44-JP028,Normal
ドラゴン・目覚めの旋律,SD44-JP029,Normal
おろかな副葬,SD44-JP030,Normal
コズミック・サイクロン,SD44-JP031,Normal
宝玉の祝福,SD44-JP032,Normal
宝玉の奇跡,SD44-JP033,N-Parallel
宝玉の玲瓏,SD44-JP034,Normal
宝玉の双璧,SD44-JP035,Normal
宝玉の集結,SD44-JP036,Normal
究極宝玉陣,SD44-JP037,Normal
カウンター・ジェム,SD44-JP038,Normal
イタチの大暴発,SD44-JP039,Normal
メタバース,SD44-JP040,Normal
宝玉獣 ルビー・カーバンクル,SD44-JP001,N-Parallel
宝玉獣 アメジスト・キャット,SD44-JP002,N-Parallel
宝玉獣 エメラルド・タートル,SD44-JP003,N-Parallel
宝玉獣 トパーズ・タイガー,SD44-JP004,N-Parallel
宝玉獣 アンバー・マンモス,SD44-JP005,N-Parallel
宝玉獣 コバルト・イーグル,SD44-JP006,N-Parallel
宝玉獣 サファイア・ペガサス,SD44-JP007,N-Parallel
究極宝玉神 レインボー・ダーク・ドラゴン,SD44-JP008,Normal
宝玉の先導者,SD44-JP009,Normal
宝玉の守護者,SD44-JP010,Normal
降雷皇ハモン,SD44-JP011,Normal
ディメンション・アトラクター,SD44-JP012,Normal
接触するＧ,SD44-JP013,Normal
灰流うらら,SD44-JP014,Normal
屋敷わらし,SD44-JP015,Normal
宝玉神覚醒,SD44-JP016,N-Parallel
宝玉の加護,SD44-JP017,Normal
虹の古代都市−レインボー・ルイン,SD44-JP018,Normal
虹の架け橋,SD44-JP019,Normal
宝玉の導き,SD44-JP020,Normal
宝玉の恵み,SD44-JP021,Normal
宝玉の氾濫,SD44-JP022,Normal
宝玉の契約,SD44-JP023,Normal
宝玉の樹,SD44-JP024,Normal
宝玉の解放,SD44-JP025,Normal
レア・ヴァリュー,SD44-JP026,Normal
オーバー・ザ・レインボー,SD44-JP027,Normal
アドバンスド・ダーク,SD44-JP028,Normal
ドラゴン・目覚めの旋律,SD44-JP029,Normal
おろかな副葬,SD44-JP030,Normal
コズミック・サイクロン,SD44-JP031,Normal
宝玉の祝福,SD44-JP032,Normal
宝玉の奇跡,SD44-JP033,N-Parallel
宝玉の玲瓏,SD44-JP034,Normal
宝玉の双璧,SD44-JP035,Normal
宝玉の集結,SD44-JP036,Normal
究極宝玉陣,SD44-JP037,Normal
カウンター・ジェム,SD44-JP038,Normal
イタチの大暴発,SD44-JP039,Normal
メタバース,SD44-JP040,Normal
