name,card_id,rare
フェルグラントドラゴン,SD13-JP001,Ultra
ダークブレイズドラゴン,SD13-JP002,Super
創世の預言者,SD13-JP003,Super
デコイドラゴン,SD13-JP004,Normal
メタモルポット,SD13-JP005,Normal
カイザー・シーホース,SD13-JP006,Normal
タイラント・ドラゴン,SD13-JP007,Normal
八俣大蛇,SD13-JP008,Normal
魂を削る死霊,SD13-JP009,Normal
異次元竜 トワイライトゾーンドラゴン,SD13-JP010,Normal
守護天使 ジャンヌ,SD13-JP011,Normal
深淵の暗殺者,SD13-JP012,Normal
仮面竜,SD13-JP013,Normal
創世神,SD13-JP014,Normal
創世者の化身,SD13-JP015,Normal
炎を支配する者,SD13-JP016,Normal
光神機−轟龍,SD13-JP017,Normal
トレード・イン,SD13-JP018,Normal
おろかな埋葬,SD13-JP019,Normal
浅すぎた墓穴,SD13-JP020,Normal
早すぎた埋葬,SD13-JP021,Normal
生還の宝札,SD13-JP022,Normal
巨竜の羽ばたき,SD13-JP023,Normal
テラ・フォーミング,SD13-JP024,Normal
神秘の中華なべ,SD13-JP025,Normal
軽量化,SD13-JP026,Normal
ライトニング・ボルテックス,SD13-JP027,Normal
フォース,SD13-JP028,Normal
死皇帝の陵墓,SD13-JP029,Normal
ツイスター,SD13-JP030,Normal
邪神の大災害,SD13-JP031,Normal
リビングデッドの呼び声,SD13-JP032,Normal
マジック・ジャマー,SD13-JP033,Normal
亜空間物質転送装置,SD13-JP034,Normal
アヌビスの裁き,SD13-JP035,Normal
ゴブリンのやりくり上手,SD13-JP036,Normal
フェルグラントドラゴン,SD13-JP001,Ultra
ダークブレイズドラゴン,SD13-JP002,Super
創世の預言者,SD13-JP003,Super
デコイドラゴン,SD13-JP004,Normal
メタモルポット,SD13-JP005,Normal
カイザー・シーホース,SD13-JP006,Normal
タイラント・ドラゴン,SD13-JP007,Normal
八俣大蛇,SD13-JP008,Normal
魂を削る死霊,SD13-JP009,Normal
異次元竜 トワイライトゾーンドラゴン,SD13-JP010,Normal
守護天使 ジャンヌ,SD13-JP011,Normal
深淵の暗殺者,SD13-JP012,Normal
仮面竜,SD13-JP013,Normal
創世神,SD13-JP014,Normal
創世者の化身,SD13-JP015,Normal
炎を支配する者,SD13-JP016,Normal
光神機−轟龍,SD13-JP017,Normal
トレード・イン,SD13-JP018,Normal
おろかな埋葬,SD13-JP019,Normal
浅すぎた墓穴,SD13-JP020,Normal
早すぎた埋葬,SD13-JP021,Normal
生還の宝札,SD13-JP022,Normal
巨竜の羽ばたき,SD13-JP023,Normal
テラ・フォーミング,SD13-JP024,Normal
神秘の中華なべ,SD13-JP025,Normal
軽量化,SD13-JP026,Normal
ライトニング・ボルテックス,SD13-JP027,Normal
フォース,SD13-JP028,Normal
死皇帝の陵墓,SD13-JP029,Normal
ツイスター,SD13-JP030,Normal
邪神の大災害,SD13-JP031,Normal
リビングデッドの呼び声,SD13-JP032,Normal
マジック・ジャマー,SD13-JP033,Normal
亜空間物質転送装置,SD13-JP034,Normal
アヌビスの裁き,SD13-JP035,Normal
ゴブリンのやりくり上手,SD13-JP036,Normal
