name,card_id,rare
邪帝ガイウス,SD14-JP001,Ultra
次元合成師,SD14-JP002,Super
カイザー・サクリファイス,SD14-JP003,Super
異次元の戦士,SD14-JP004,Normal
炎の女暗殺者,SD14-JP005,Normal
光の追放者,SD14-JP006,Normal
異次元の偵察機,SD14-JP007,Normal
カオスライダー グスタフ,SD14-JP008,Normal
雷帝ザボルグ,SD14-JP009,Normal
氷帝メビウス,SD14-JP010,Normal
炎帝テスタロス,SD14-JP011,Normal
地帝グランマーグ,SD14-JP012,Normal
異次元の生還者,SD14-JP013,Normal
Ｄ・Ｄ・Ｍ,SD14-JP014,Normal
閃光の追放者,SD14-JP015,Normal
風帝ライザー,SD14-JP016,Normal
Ｄ・Ｄ・Ｒ,SD14-JP017,Normal
収縮,SD14-JP018,Normal
クロス・ソウル,SD14-JP019,Normal
抹殺の使徒,SD14-JP020,Normal
魂の解放,SD14-JP021,Normal
ビッグバン・シュート,SD14-JP022,Normal
次元の歪み,SD14-JP023,Normal
魂吸収,SD14-JP024,Normal
エネミーコントローラー,SD14-JP025,Normal
天よりの宝札,SD14-JP026,Normal
洗脳−ブレインコントロール,SD14-JP027,Normal
次元の裂け目,SD14-JP028,Normal
トルネード,SD14-JP029,Normal
エンペラー・オーダー,SD14-JP030,Normal
異次元からの帰還,SD14-JP031,Normal
砂塵の大竜巻,SD14-JP032,Normal
死霊の巣,SD14-JP033,Normal
神の宣告,SD14-JP034,Normal
黄金の邪神像,SD14-JP035,Normal
マクロコスモス,SD14-JP036,Normal
カウンター・カウンター,SD14-JP037,Normal
邪帝ガイウス,SD14-JP001,Ultra
次元合成師,SD14-JP002,Super
カイザー・サクリファイス,SD14-JP003,Super
異次元の戦士,SD14-JP004,Normal
炎の女暗殺者,SD14-JP005,Normal
光の追放者,SD14-JP006,Normal
異次元の偵察機,SD14-JP007,Normal
カオスライダー グスタフ,SD14-JP008,Normal
雷帝ザボルグ,SD14-JP009,Normal
氷帝メビウス,SD14-JP010,Normal
炎帝テスタロス,SD14-JP011,Normal
地帝グランマーグ,SD14-JP012,Normal
異次元の生還者,SD14-JP013,Normal
Ｄ・Ｄ・Ｍ,SD14-JP014,Normal
閃光の追放者,SD14-JP015,Normal
風帝ライザー,SD14-JP016,Normal
Ｄ・Ｄ・Ｒ,SD14-JP017,Normal
収縮,SD14-JP018,Normal
クロス・ソウル,SD14-JP019,Normal
抹殺の使徒,SD14-JP020,Normal
魂の解放,SD14-JP021,Normal
ビッグバン・シュート,SD14-JP022,Normal
次元の歪み,SD14-JP023,Normal
魂吸収,SD14-JP024,Normal
エネミーコントローラー,SD14-JP025,Normal
天よりの宝札,SD14-JP026,Normal
洗脳−ブレインコントロール,SD14-JP027,Normal
次元の裂け目,SD14-JP028,Normal
トルネード,SD14-JP029,Normal
エンペラー・オーダー,SD14-JP030,Normal
異次元からの帰還,SD14-JP031,Normal
砂塵の大竜巻,SD14-JP032,Normal
死霊の巣,SD14-JP033,Normal
神の宣告,SD14-JP034,Normal
黄金の邪神像,SD14-JP035,Normal
マクロコスモス,SD14-JP036,Normal
カウンター・カウンター,SD14-JP037,Normal
