name,card_id,rare
超伝導恐獣,SD09-JP001,Ultra
大くしゃみのカバザウルス,SD09-JP002,Normal
セイバーザウルス,SD09-JP003,Normal
猛進する剣角獣,SD09-JP004,Normal
俊足のギラザウルス,SD09-JP005,Normal
暗黒ドリケラトプス,SD09-JP006,Normal
ハイパーハンマーヘッド,SD09-JP007,Normal
暗黒恐獣,SD09-JP008,Normal
ディノインフィニティ,SD09-JP009,Normal
ハイドロゲドン,SD09-JP010,Normal
オキシゲドン,SD09-JP011,Normal
暗黒プテラ,SD09-JP012,Normal
暗黒ステゴ,SD09-JP013,Normal
究極恐獣,SD09-JP014,Normal
奇跡のジュラシック・エッグ,SD09-JP015,Normal
ベビケラサウルス,SD09-JP016,Normal
大進化薬,SD09-JP017,Normal
テールスイング,SD09-JP018,Normal
ジュラシックワールド,SD09-JP019,Normal
セベクの祝福,SD09-JP020,Normal
フォース,SD09-JP021,Normal
催眠術,SD09-JP022,Normal
サイクロン,SD09-JP023,Normal
巨大化,SD09-JP024,Normal
大嵐,SD09-JP025,Normal
ライトニング・ボルテックス,SD09-JP026,Normal
打ち出の小槌,SD09-JP027,Normal
狩猟本能,SD09-JP028,Normal
生存本能,SD09-JP029,Normal
大噴火,SD09-JP030,Normal
大地震,SD09-JP031,Normal
マジックアーム・シールド,SD09-JP032,Normal
攻撃の無力化,SD09-JP033,Normal
ゴブリンのその場しのぎ,SD09-JP034,Normal
誤作動,SD09-JP035,Normal
化石発掘,SD09-JP036,Normal
超伝導恐獣,SD09-JP001,Ultra
大くしゃみのカバザウルス,SD09-JP002,Normal
セイバーザウルス,SD09-JP003,Normal
猛進する剣角獣,SD09-JP004,Normal
俊足のギラザウルス,SD09-JP005,Normal
暗黒ドリケラトプス,SD09-JP006,Normal
ハイパーハンマーヘッド,SD09-JP007,Normal
暗黒恐獣,SD09-JP008,Normal
ディノインフィニティ,SD09-JP009,Normal
ハイドロゲドン,SD09-JP010,Normal
オキシゲドン,SD09-JP011,Normal
暗黒プテラ,SD09-JP012,Normal
暗黒ステゴ,SD09-JP013,Normal
究極恐獣,SD09-JP014,Normal
奇跡のジュラシック・エッグ,SD09-JP015,Normal
ベビケラサウルス,SD09-JP016,Normal
大進化薬,SD09-JP017,Normal
テールスイング,SD09-JP018,Normal
ジュラシックワールド,SD09-JP019,Normal
セベクの祝福,SD09-JP020,Normal
フォース,SD09-JP021,Normal
催眠術,SD09-JP022,Normal
サイクロン,SD09-JP023,Normal
巨大化,SD09-JP024,Normal
大嵐,SD09-JP025,Normal
ライトニング・ボルテックス,SD09-JP026,Normal
打ち出の小槌,SD09-JP027,Normal
狩猟本能,SD09-JP028,Normal
生存本能,SD09-JP029,Normal
大噴火,SD09-JP030,Normal
大地震,SD09-JP031,Normal
マジックアーム・シールド,SD09-JP032,Normal
攻撃の無力化,SD09-JP033,Normal
ゴブリンのその場しのぎ,SD09-JP034,Normal
誤作動,SD09-JP035,Normal
化石発掘,SD09-JP036,Normal
