name,card_id,rare
古代の機械巨竜,SD10-JP001,Ultra
古代の機械合成獣,SD10-JP002,Normal
古代の機械工兵,SD10-JP003,Normal
起動兵士デッドリボルバー,SD10-JP004,Normal
メカ・ハンター,SD10-JP005,Normal
グリーン・ガジェット,SD10-JP006,Normal
レッド・ガジェット,SD10-JP007,Normal
イエロー・ガジェット,SD10-JP008,Normal
キャノン・ソルジャー,SD10-JP009,Normal
機動砦のギア・ゴーレム,SD10-JP010,Normal
強化支援メカ・ヘビーウェポン,SD10-JP011,Normal
古代の機械巨人,SD10-JP012,Normal
古代の機械獣,SD10-JP013,Normal
古代の機械兵士,SD10-JP014,Normal
古代の歯車,SD10-JP015,Normal
古代の機械砲台,SD10-JP016,Normal
古代の整備場,SD10-JP017,Normal
古代の機械戦車,SD10-JP018,Normal
古代の機械爆弾,SD10-JP019,Normal
古代の機械掌,SD10-JP020,Normal
古代の機械工場,SD10-JP021,Normal
古代の採掘機,SD10-JP022,Normal
古代の機械城,SD10-JP023,Normal
サイクロン,SD10-JP024,Normal
リミッター解除,SD10-JP025,Normal
大嵐,SD10-JP026,Normal
エネミーコントローラー,SD10-JP027,Normal
ウェポンチェンジ,SD10-JP028,Normal
機械複製術,SD10-JP029,Normal
貪欲な壺,SD10-JP030,Normal
機動砦 ストロング・ホールド,SD10-JP031,Normal
血の代償,SD10-JP032,Normal
炸裂装甲,SD10-JP033,Normal
ミクロ光線,SD10-JP034,Normal
レアメタル化・魔法反射装甲,SD10-JP035,Normal
援護射撃,SD10-JP036,Normal
ゲットライド！,SD10-JP037,Normal
古代の機械巨竜,SD10-JP001,Ultra
古代の機械合成獣,SD10-JP002,Normal
古代の機械工兵,SD10-JP003,Normal
起動兵士デッドリボルバー,SD10-JP004,Normal
メカ・ハンター,SD10-JP005,Normal
グリーン・ガジェット,SD10-JP006,Normal
レッド・ガジェット,SD10-JP007,Normal
イエロー・ガジェット,SD10-JP008,Normal
キャノン・ソルジャー,SD10-JP009,Normal
機動砦のギア・ゴーレム,SD10-JP010,Normal
強化支援メカ・ヘビーウェポン,SD10-JP011,Normal
古代の機械巨人,SD10-JP012,Normal
古代の機械獣,SD10-JP013,Normal
古代の機械兵士,SD10-JP014,Normal
古代の歯車,SD10-JP015,Normal
古代の機械砲台,SD10-JP016,Normal
古代の整備場,SD10-JP017,Normal
古代の機械戦車,SD10-JP018,Normal
古代の機械爆弾,SD10-JP019,Normal
古代の機械掌,SD10-JP020,Normal
古代の機械工場,SD10-JP021,Normal
古代の採掘機,SD10-JP022,Normal
古代の機械城,SD10-JP023,Normal
サイクロン,SD10-JP024,Normal
リミッター解除,SD10-JP025,Normal
大嵐,SD10-JP026,Normal
エネミーコントローラー,SD10-JP027,Normal
ウェポンチェンジ,SD10-JP028,Normal
機械複製術,SD10-JP029,Normal
貪欲な壺,SD10-JP030,Normal
機動砦 ストロング・ホールド,SD10-JP031,Normal
血の代償,SD10-JP032,Normal
炸裂装甲,SD10-JP033,Normal
ミクロ光線,SD10-JP034,Normal
レアメタル化・魔法反射装甲,SD10-JP035,Normal
援護射撃,SD10-JP036,Normal
ゲットライド！,SD10-JP037,Normal
